layer_name,layer_idx,sublayer,QZR_mean,CCR,theta
bert.encoder.layer.0.attention.self.key,0,K,0.6056746728718281,0.008391927083333334,0.00014798420306760818
bert.encoder.layer.0.attention.output.dense,0,O,0.12052198473364115,0.008810221354166667,0.0004223940195515752
bert.encoder.layer.0.attention.self.query,0,Q,0.08949738685041667,0.008746744791666667,0.00012230168795213103
bert.encoder.layer.0.attention.self.value,0,V,0.5973571220040321,0.00861328125,0.00031470038811676204
bert.encoder.layer.1.attention.self.key,1,K,0.6214296565949917,0.008564453125,0.00021619003382511437
bert.encoder.layer.1.attention.output.dense,1,O,0.12117155406624079,0.0088525390625,0.0004661693819798529
bert.encoder.layer.1.attention.self.query,1,Q,0.128408696167171,0.008836263020833334,0.00020348309772089124
bert.encoder.layer.1.attention.self.value,1,V,0.6132876406610012,0.008894856770833333,0.0003381208807695657
bert.encoder.layer.2.attention.self.key,2,K,0.6367964290082455,0.0084326171875,0.00018971528334077448
bert.encoder.layer.2.attention.output.dense,2,O,0.12463042505085468,0.008743489583333333,0.00045000293175689876
bert.encoder.layer.2.attention.self.query,2,Q,0.20528608314692975,0.0088525390625,0.000160474082804285
bert.encoder.layer.2.attention.self.value,2,V,0.6198442690074444,0.008968098958333334,0.0004275988903827965
bert.encoder.layer.3.attention.self.key,3,K,0.6215138955414296,0.008264973958333333,0.0002202847826993093
bert.encoder.layer.3.attention.output.dense,3,O,0.13949264079332352,0.008995768229166666,0.0008345686364918947
bert.encoder.layer.3.attention.self.query,3,Q,0.1250109302997589,0.008829752604166666,0.00013276058598421514
bert.encoder.layer.3.attention.self.value,3,V,0.6118369673192501,0.0084326171875,0.0004904708475805819
bert.encoder.layer.4.attention.self.key,4,K,0.6417714335024357,0.008154296875,0.000272448844043538
bert.encoder.layer.4.attention.output.dense,4,O,0.13127103954553604,0.008977864583333333,0.0006788119208067656
bert.encoder.layer.4.attention.self.query,4,Q,0.109508006721735,0.008946940104166667,0.0001512188173364848
bert.encoder.layer.4.attention.self.value,4,V,0.614804402589798,0.009148763020833334,0.0003637723857536912
bert.encoder.layer.5.attention.self.key,5,K,0.6442312522232533,0.008141276041666666,0.00027303927345201373
bert.encoder.layer.5.attention.output.dense,5,O,0.12950564458966254,0.00884765625,0.0006559466710314155
bert.encoder.layer.5.attention.self.query,5,Q,0.1464704865962267,0.0089599609375,0.0001534852635813877
bert.encoder.layer.5.attention.self.value,5,V,0.6190034680068492,0.009267578125,0.0004753567336592823
bert.encoder.layer.6.attention.self.key,6,K,0.6493524011969566,0.0084814453125,0.00033125324989669025
bert.encoder.layer.6.attention.output.dense,6,O,0.12403791710734367,0.00859375,0.0005587305058725178
bert.encoder.layer.6.attention.self.query,6,Q,0.14178469277918337,0.008824869791666667,0.00016643988783471286
bert.encoder.layer.6.attention.self.value,6,V,0.6161681678891182,0.009322916666666667,0.0005411391612142324
bert.encoder.layer.7.attention.self.key,7,K,0.6770434853434563,0.008448893229166667,0.0003440658620093018
bert.encoder.layer.7.attention.output.dense,7,O,0.12151154473423958,0.008771158854166667,0.0005623286706395447
bert.encoder.layer.7.attention.self.query,7,Q,0.16494586504995823,0.009002278645833334,0.00010598779772408307
bert.encoder.layer.7.attention.self.value,7,V,0.6372837573289871,0.009122721354166667,0.0006567617529071867
bert.encoder.layer.8.attention.self.key,8,K,0.6574998140335083,0.008323567708333333,0.000367923901649192
bert.encoder.layer.8.attention.output.dense,8,O,0.12066785033792257,0.008942057291666666,0.000525795214343816
bert.encoder.layer.8.attention.self.query,8,Q,0.1468612225353718,0.0089697265625,0.00017917373043019325
bert.encoder.layer.8.attention.self.value,8,V,0.6145013266801834,0.009104817708333334,0.000459978444268927
bert.encoder.layer.9.attention.self.key,9,K,0.6627588841319084,0.008199869791666667,0.0003409399650990963
bert.encoder.layer.9.attention.output.dense,9,O,0.12009198781102896,0.00904296875,0.0002675367286428809
bert.encoder.layer.9.attention.self.query,9,Q,0.09716325405985117,0.008972981770833333,9.298784425482154e-05
bert.encoder.layer.9.attention.self.value,9,V,0.6243391725420951,0.009173177083333333,0.0005403229733929038
bert.encoder.layer.10.attention.self.key,10,K,0.6635367649793625,0.008499348958333333,0.0002376321208430454
bert.encoder.layer.10.attention.output.dense,10,O,0.12223690949380397,0.009143880208333333,0.00019386521307751536
bert.encoder.layer.10.attention.self.query,10,Q,0.13520749371498822,0.009178059895833333,5.268778477329761e-05
bert.encoder.layer.10.attention.self.value,10,V,0.6318548689782619,0.0083349609375,0.0005217650323174894
bert.encoder.layer.11.attention.self.key,11,K,0.6609457741677761,0.008694661458333334,0.00021859348635189235
bert.encoder.layer.11.attention.output.dense,11,O,0.12175472982227803,0.007125651041666667,0.00015827768947929144
bert.encoder.layer.11.attention.self.query,11,Q,0.1474641479551792,0.0081689453125,1.3674658475792967e-05
bert.encoder.layer.11.attention.self.value,11,V,0.624233420342207,0.008277994791666667,0.0004020151973236352
