layer_name,layer_idx,sublayer,QZR_mean,cosine_sim
bert.encoder.layer.0.attention.self.key,0,K,0.6063497479259968,0.44268258303403857
bert.encoder.layer.0.attention.output.dense,0,O,0.12063135650008917,0.9998627379536629
bert.encoder.layer.0.attention.self.query,0,Q,0.0898617646098137,0.9994357204437256
bert.encoder.layer.0.attention.self.value,0,V,0.5979693895578384,0.4426912565529346
bert.encoder.layer.1.attention.self.key,1,K,0.622048339098692,0.44265333235263826
bert.encoder.layer.1.attention.output.dense,1,O,0.1212487206980586,0.9998542097210884
bert.encoder.layer.1.attention.self.query,1,Q,0.12895379293709994,0.9994468852877617
bert.encoder.layer.1.attention.self.value,1,V,0.6140122449398041,0.44265548050403597
bert.encoder.layer.2.attention.self.key,2,K,0.6378069972991943,0.4426552227139473
bert.encoder.layer.2.attention.output.dense,2,O,0.12471755027770996,0.9998083111643791
bert.encoder.layer.2.attention.self.query,2,Q,0.2056937699764967,0.9992362010478973
bert.encoder.layer.2.attention.self.value,2,V,0.6208289343118668,0.44269602090120314
bert.encoder.layer.3.attention.self.key,3,K,0.6220419597625733,0.44265818208456037
bert.encoder.layer.3.attention.output.dense,3,O,0.13978261031210423,0.9994776573777199
bert.encoder.layer.3.attention.self.query,3,Q,0.12560371086001396,0.999422812461853
bert.encoder.layer.3.attention.self.value,3,V,0.612238071411848,0.44269947305321694
bert.encoder.layer.4.attention.self.key,4,K,0.6425889962911606,0.44259604036808015
bert.encoder.layer.4.attention.output.dense,4,O,0.1314417665451765,0.9996636709570885
bert.encoder.layer.4.attention.self.query,4,Q,0.11006157625466585,0.9994826582074166
bert.encoder.layer.4.attention.self.value,4,V,0.6152615147829056,0.4427125889062882
bert.encoder.layer.5.attention.self.key,5,K,0.6450530757009983,0.44262042820453645
bert.encoder.layer.5.attention.output.dense,5,O,0.12971300952136516,0.9996998092532158
bert.encoder.layer.5.attention.self.query,5,Q,0.1471678901463747,0.9994627606868743
bert.encoder.layer.5.attention.self.value,5,V,0.6193227203190327,0.44273151144385336
bert.encoder.layer.6.attention.self.key,6,K,0.6499343229830266,0.4425749334692955
bert.encoder.layer.6.attention.output.dense,6,O,0.12416055325418711,0.9998122382164002
bert.encoder.layer.6.attention.self.query,6,Q,0.1426019198447466,0.9994174075126648
bert.encoder.layer.6.attention.self.value,6,V,0.6165713532269002,0.44272679165005685
bert.encoder.layer.7.attention.self.key,7,K,0.6776733732223511,0.44253652781248093
bert.encoder.layer.7.attention.output.dense,7,O,0.12161023736000061,0.9998509103059768
bert.encoder.layer.7.attention.self.query,7,Q,0.16591205559670924,0.9994516077637673
bert.encoder.layer.7.attention.self.value,7,V,0.6378063100576401,0.4427061019837856
bert.encoder.layer.8.attention.self.key,8,K,0.6581437246501446,0.44258681789040566
bert.encoder.layer.8.attention.output.dense,8,O,0.12075981639325618,0.9998623794317245
bert.encoder.layer.8.attention.self.query,8,Q,0.1479626988619566,0.9993337661027908
bert.encoder.layer.8.attention.self.value,8,V,0.61481451228261,0.4427212865650654
bert.encoder.layer.9.attention.self.key,9,K,0.6632837317883968,0.44263722956180573
bert.encoder.layer.9.attention.output.dense,9,O,0.12020855262875557,0.9998701521754265
bert.encoder.layer.9.attention.self.query,9,Q,0.09778766080737114,0.9995377749204636
bert.encoder.layer.9.attention.self.value,9,V,0.6247409902513027,0.4427184085547924
bert.encoder.layer.10.attention.self.key,10,K,0.6642865516245365,0.4426586551964283
bert.encoder.layer.10.attention.output.dense,10,O,0.12237488321959972,0.9998414739966393
bert.encoder.layer.10.attention.self.query,10,Q,0.13607744771987199,0.9994381830096245
bert.encoder.layer.10.attention.self.value,10,V,0.6323210215568542,0.44270649313926697
bert.encoder.layer.11.attention.self.key,11,K,0.6616730412840843,0.4426756739616394
bert.encoder.layer.11.attention.output.dense,11,O,0.12184226002544164,0.9998525494337082
bert.encoder.layer.11.attention.self.query,11,Q,0.14824895799160004,0.9995034822821617
bert.encoder.layer.11.attention.self.value,11,V,0.6249439005553722,0.4427260075509548
