step,module_name,layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,24.662192653930035,0.0034179897606608873,0.9979925751686096,0.0,0.0932464599609375,0.04497266188263893,0.03554493188858032,0.11816850304603577
1,bert.encoder.layer.0.attention.self.query,0,Q,24.02177723482589,0.003960947165884173,0.9977026581764221,0.0,0.0930870920419693,0.0476715974509716,0.03740060329437256,0.127041757106781
2,bert.encoder.layer.0.attention.self.query,0,Q,24.571200746027785,0.003490299134423269,0.997978150844574,0.0,0.092926025390625,0.045444194227457047,0.03604039549827576,0.1188545972108841
3,bert.encoder.layer.0.attention.self.query,0,Q,23.913339544800493,0.004061181190283005,0.9976334571838379,0.0,0.0933295339345932,0.04811813309788704,0.037558943033218384,0.1293068528175354
4,bert.encoder.layer.0.attention.self.query,0,Q,24.378609631242707,0.003648578540741679,0.9978918433189392,0.0,0.09310446679592133,0.046199340373277664,0.036488115787506104,0.12159919738769531
5,bert.encoder.layer.0.attention.self.query,0,Q,24.4637260351152,0.0035777847741915603,0.9979038238525391,0.0,0.0932464599609375,0.04584260284900665,0.03616690635681152,0.12091593444347382
6,bert.encoder.layer.0.attention.self.query,0,Q,24.267983302488346,0.003742705089957578,0.9978089928627014,0.0,0.09310785681009293,0.04658249020576477,0.036525726318359375,0.1241685003042221
7,bert.encoder.layer.0.attention.self.query,0,Q,24.094322909433178,0.0038954254156149245,0.9977360367774963,0.0,0.09295230358839035,0.047369178384542465,0.03707188367843628,0.12657952308654785
8,bert.encoder.layer.0.attention.self.query,0,Q,24.528613755336828,0.00352472123939819,0.9979405999183655,0.0,0.0931498184800148,0.045472487807273865,0.03580641746520996,0.12022945284843445
9,bert.encoder.layer.0.attention.self.query,0,Q,24.1851801637169,0.0038147438245642352,0.9977911114692688,0.0,0.0934397354722023,0.04701334983110428,0.03693521022796631,0.12499735504388809
10,bert.encoder.layer.0.attention.self.query,0,Q,24.584169199004226,0.00347992327669606,0.9979708790779114,0.0,0.093109130859375,0.04533255845308304,0.03580504655838013,0.11914470791816711
11,bert.encoder.layer.0.attention.self.query,0,Q,24.264611673118726,0.0037456327103848053,0.9978249669075012,0.0,0.09261152148246765,0.0466749481856823,0.036713480949401855,0.12363994866609573
12,bert.encoder.layer.0.attention.self.query,0,Q,24.580985908624065,0.003482506033381687,0.9979767799377441,0.0,0.09267383068799973,0.04543944075703621,0.03597232699394226,0.11902844905853271
13,bert.encoder.layer.0.attention.self.query,0,Q,24.748353463920306,0.00335082899128169,0.998051643371582,0.0,0.09342490136623383,0.044713083654642105,0.03547224402427673,0.11660446971654892
14,bert.encoder.layer.0.attention.self.query,0,Q,24.50720032988666,0.0035421341509575973,0.9979434609413147,0.0,0.09293238073587418,0.04561814293265343,0.03601884841918945,0.12001872062683105
15,bert.encoder.layer.0.attention.self.query,0,Q,24.12166183580969,0.003870958530745169,0.9977464079856873,0.0,0.09327782690525055,0.04712119325995445,0.03680074214935303,0.12647277116775513
16,bert.encoder.layer.0.attention.self.query,0,Q,24.142563829799467,0.0038523762749423356,0.9977733492851257,0.0,0.0927869975566864,0.04724307730793953,0.03712454438209534,0.125502809882164
17,bert.encoder.layer.0.attention.self.query,0,Q,24.391293935525155,0.0036379529445552676,0.9978837966918945,0.0,0.09315744787454605,0.04615528881549835,0.036391377449035645,0.12182089686393738
18,bert.encoder.layer.0.attention.self.query,0,Q,24.34061805240498,0.003680615899922259,0.9978768229484558,0.0,0.09278403222560883,0.04627437889575958,0.03645068407058716,0.12231326103210449
