layer_name,layer_idx,sublayer,ODR_mean,QZR_mean,p_clip_in,cosine_sim,absmax_q50,absmax_q90,absmax_q99,absmax_q999
bert.encoder.layer.0.attention.self.key,0,K,10.240212020874024,0.6063497479259968,0.0,0.44268258303403857,6.968027025777701e-07,3.185950283295824e-05,0.00013270208870380884,0.00035191647621104496
bert.encoder.layer.0.attention.output.dense,0,O,6.129813141822815,0.12063135650008917,0.0,0.9998627379536629,1.0418726387797506e-05,7.274656909430632e-05,0.0003799828153569251,0.001729704664903693
bert.encoder.layer.0.attention.self.query,0,Q,16.337053389549254,0.0898617646098137,0.0,0.9994357204437256,3.151926059103971e-06,2.1658717687387253e-05,0.0001097646020934917,0.00038544465649465565
bert.encoder.layer.0.attention.self.value,0,V,8.740535070896149,0.5979693895578384,0.0,0.4426912565529346,1.2994685630474122e-06,5.585694625551696e-05,0.0002815631432895316,0.0007535304955672473
bert.encoder.layer.1.attention.self.key,1,K,13.115968508720398,0.622048339098692,0.0,0.44265333235263826,7.416072514843108e-07,3.954844951294945e-05,0.00019488801764964593,0.0005971715289342683
bert.encoder.layer.1.attention.output.dense,1,O,6.345323851108551,0.1212487206980586,0.0,0.9998542097210884,1.3185173284000484e-05,7.32714567493531e-05,0.0004191789566539228,0.0018223936768481507
bert.encoder.layer.1.attention.self.query,1,Q,22.066128644943237,0.12895379293709994,0.0,0.9994468852877617,5.393535388975579e-06,3.277702543527994e-05,0.00018277419345395175,0.000746416209731251
bert.encoder.layer.1.attention.self.value,1,V,11.557078227996826,0.6140122449398041,0.0,0.44265548050403597,1.1240326739425656e-06,5.413993092588498e-05,0.0003047814364981605,0.001286731082946062
bert.encoder.layer.2.attention.self.key,2,K,14.760005474090576,0.6378069972991943,0.0,0.4426552227139473,6.169499579300463e-07,3.5640526803035755e-05,0.00017075674280931708,0.0004782608618552331
bert.encoder.layer.2.attention.output.dense,2,O,7.312296102046966,0.12471755027770996,0.0,0.9998083111643791,9.200778397371323e-06,6.9129252442508e-05,0.00040421873884042723,0.0018104167096316813
bert.encoder.layer.2.attention.self.query,2,Q,29.42184151649475,0.2056937699764967,0.0,0.9992362010478973,4.380024247438996e-06,2.583474166385713e-05,0.00014459364723734325,0.000532146822224604
