layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.0.attention.self.key,0,K,0.9,1.0,5.483491258928552e-05,0.10000257236617265,0.10091819357326368,0.9969185579682717
bert.encoder.layer.0.attention.self.key,0,K,0.9,1.1,6.031840384821408e-05,0.08577738743141888,0.10220559203220675,0.9973449506289436
bert.encoder.layer.0.attention.self.key,0,K,0.9,1.2,6.580189510714262e-05,0.07470151365375216,0.10326607583045548,0.9976800472580414
bert.encoder.layer.0.attention.self.key,0,K,0.95,1.0,8.463058475172147e-05,0.05000312358749536,0.10583297765123378,0.9984107600239598
bert.encoder.layer.0.attention.self.key,0,K,0.95,1.1,9.309364322689362e-05,0.04303201125961422,0.1066358133289556,0.9986126448334025
bert.encoder.layer.0.attention.self.key,0,K,0.95,1.2,0.00010155670170206576,0.0369649019009786,0.10728997715077554,0.9987677906681904
bert.encoder.layer.0.attention.self.key,0,K,0.99,1.0,0.0002019793028011918,0.010002829602789915,0.11034452323310083,0.9993670141810872
bert.encoder.layer.0.attention.self.key,0,K,0.99,1.1,0.000222177233081311,0.008018432841031445,0.11054263275161987,0.9993974461916119
bert.encoder.layer.0.attention.self.key,0,K,0.99,1.2,0.00024237516336143015,0.006482362755077667,0.1106881226441419,0.9994199543956226
bert.encoder.layer.0.attention.self.key,0,K,0.995,1.0,0.0002708944957703352,0.005001414801394957,0.11083537816747169,0.9994414290596532
bert.encoder.layer.0.attention.self.key,0,K,0.995,1.1,0.00029798394534736873,0.003965118714698868,0.11093318167346229,0.9994552095927209
bert.encoder.layer.0.attention.self.key,0,K,0.995,1.2,0.0003250733949244022,0.003123587495360554,0.11100367292836708,0.9994649708036439
bert.encoder.layer.0.attention.self.key,0,K,0.999,1.0,0.0004807709774468094,0.0010032228073334484,0.11116925464680176,0.9994858712787967
bert.encoder.layer.0.attention.self.key,0,K,0.999,1.1,0.0005288480751914904,0.0006835144401612506,0.11118552333175127,0.9994878235209813
bert.encoder.layer.0.attention.self.key,0,K,0.999,1.2,0.0005769251729361713,0.0004924243816215461,0.11119621281474457,0.999488971898737
bert.encoder.layer.0.attention.output.dense,0,O,0.9,1.0,0.0001329608930973336,0.10000257236617265,0.02157849775622201,0.9972906323611014
bert.encoder.layer.0.attention.output.dense,0,O,0.9,1.1,0.00014625698240706698,0.08775810938435928,0.02170187667599092,0.9976027614350863
bert.encoder.layer.0.attention.output.dense,0,O,0.9,1.2,0.00015955307171680033,0.07798679273710785,0.021801979162477565,0.9978546006768998
bert.encoder.layer.0.attention.output.dense,0,O,0.95,1.0,0.00022045947844162583,0.05000312358749536,0.022085757057964315,0.998572681287506
bert.encoder.layer.0.attention.output.dense,0,O,0.95,1.1,0.00024250542628578844,0.04374859897913811,0.022147707035261022,0.9987343728755012
bert.encoder.layer.0.attention.output.dense,0,O,0.95,1.2,0.000264551374129951,0.03857079335447573,0.02219709369326901,0.9988670105062785
bert.encoder.layer.0.attention.output.dense,0,O,0.99,1.0,0.0007752596284262836,0.010002829602789915,0.0225022871833791,0.9997501130003712
bert.encoder.layer.0.attention.output.dense,0,O,0.99,1.1,0.000852785591268912,0.009047379310091393,0.02251636044032249,0.9997793966331402
bert.encoder.layer.0.attention.output.dense,0,O,0.99,1.2,0.0009303115541115403,0.008154400767300082,0.0225285888086526,0.9997999525949662
bert.encoder.layer.0.attention.output.dense,0,O,0.995,1.0,0.00130214705131948,0.005001414801394957,0.022566975251845374,0.9998478399473767
bert.encoder.layer.0.attention.output.dense,0,O,0.995,1.1,0.001432361756451428,0.00414885915560243,0.02257546067613009,0.9998539263494817
bert.encoder.layer.0.attention.output.dense,0,O,0.995,1.2,0.0015625764615833759,0.0033514256420809707,0.022581654610523385,0.9998578308338508
bert.encoder.layer.0.attention.output.dense,0,O,0.999,1.0,0.0022635210771113634,0.0010032228073334484,0.022597705673127123,0.999865180451487
bert.encoder.layer.0.attention.output.dense,0,O,0.999,1.1,0.0024898731848225,0.0006761648225251082,0.022599614361922996,0.9998655249648137
bert.encoder.layer.0.attention.output.dense,0,O,0.999,1.2,0.002716225292533636,0.00042260301407819257,0.022600810615346592,0.9998657546403649
bert.encoder.layer.0.attention.self.query,0,Q,0.9,1.0,3.984793147537857e-05,0.10000257236617265,0.06930222935579601,0.9967360807428993
bert.encoder.layer.0.attention.self.query,0,Q,0.9,1.1,4.3832724622916436e-05,0.0875780437522738,0.06976848508154174,0.9971166531311209
bert.encoder.layer.0.attention.self.query,0,Q,0.9,1.2,4.7817517770454285e-05,0.0775200920172128,0.07014826796187346,0.9974218919385719
bert.encoder.layer.0.attention.self.query,0,Q,0.95,1.0,6.470813241321594e-05,0.05000312358749536,0.07117456359719151,0.9982334504984878
bert.encoder.layer.0.attention.self.query,0,Q,0.95,1.1,7.117894565453753e-05,0.0434950371706912,0.07142023987955852,0.998422817990394
bert.encoder.layer.0.attention.self.query,0,Q,0.95,1.2,7.764975889585912e-05,0.038111442252216826,0.0716158564613544,0.9985738296652616
bert.encoder.layer.0.attention.self.query,0,Q,0.99,1.0,0.00019355214317329228,0.010002829602789915,0.07269525021340328,0.9993371563594404
bert.encoder.layer.0.attention.self.query,0,Q,0.99,1.1,0.00021290735749062152,0.008551280119651776,0.07274499889499743,0.9993648322633515
