layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.0.intermediate.dense,0,FFN1,baseline,7,0.0006190030919970013,0.6168626296520233,0.616625417470932,246.00516456604004,0.9992137467861175,0.004513758511748165,0.037280350401997564,0.2600683382898569,0.0,3.728116450474772e-05,0.00013323804625542835,0.0006228615368308965,0.0017567075687111356,0.0007137749003595672,0.7256747537851334
bert.encoder.layer.0.output.dense,0,FFN2,baseline,7,0.10002523709088564,0.12052089855074882,0.022773591643199323,6.088897006511688,0.999966804087162,0.16579004809260367,0.4636814525723457,0.7696717181801795,0.0,2.3963237090356415e-05,8.89232780173188e-05,0.0005191903750528581,0.0016021452765562572,0.0999794501811266,0.12126994568854571
bert.encoder.layer.0.attention.self.key,0,K,baseline,7,5.380509833230462e-09,0.1118752620369196,0.11187525723129511,23.34720230102539,0.999870029091835,0.05362713387235999,0.24402860067784787,0.6226729899644852,0.0,1.710199145691149e-05,5.5052962416084484e-05,0.00019826710456982255,0.00046342554698640013,0.5570914739370346,0.6067070995271205
bert.encoder.layer.0.attention.output.dense,0,O,baseline,7,0.10001762874424458,0.12051659353077411,0.022777075953781603,6.113833262920379,0.9999660116434097,0.1653617438673973,0.46267429426312445,0.7682564821839333,0.0,3.7064330972498285e-05,0.00013341625599423424,0.0007348529859154951,0.0022168899478856472,0.09999825838953257,0.12079474456608295
bert.encoder.layer.0.attention.self.query,0,Q,baseline,7,4.6502975692419565e-09,0.07358926258981228,0.07358925826847554,15.812497668266296,0.9998638746142388,0.06704036142677068,0.23837035052478314,0.5776042455434799,0.0,1.0703433142680296e-05,4.0109958990797165e-05,0.00018757398593152174,0.0005425472905335482,6.357828823411182e-09,0.0905328631028533
bert.encoder.layer.0.attention.self.value,0,V,baseline,7,0.0,0.0927867617458105,0.0927867617458105,19.791952018737792,0.9998754581809044,0.06322741366922856,0.25965958446264265,0.6278837418556213,0.0,3.095880786531779e-05,9.717999935674016e-05,0.000442268581391545,0.00093033639510395,0.557091471850872,0.5982702989876271
bert.encoder.layer.1.intermediate.dense,1,FFN1,baseline,7,0.0007973506371490658,0.5826119682192803,0.5822790464758874,207.14501831054687,0.9991107472777366,0.005375792987179011,0.04053593296557665,0.25551530785858634,0.0,4.0211966625065545e-05,0.0001453929597118986,0.0006627277824736666,0.0017591343927779236,0.0011485211190301924,0.6820550048351288
bert.encoder.layer.1.output.dense,1,FFN2,baseline,7,0.1000517750158906,0.12077487979084253,0.023027005363255738,6.175516097545624,0.9999659517407418,0.16364975720643998,0.45958500549197195,0.766574587225914,0.0,2.8553253987411153e-05,0.00010633295816660393,0.000619787608156912,0.0018396135658258572,0.10004071030765772,0.12302056726068258
bert.encoder.layer.1.attention.self.key,1,K,baseline,7,4.755600286898698e-09,0.14734878055751324,0.1473487764596939,29.92284016609192,0.9998522782325745,0.04448225062340498,0.22754358880221845,0.6012636986374855,0.0,1.9695874466378883e-05,7.292162203157205e-05,0.0003100073464156594,0.0008917191873479169,0.5570914739370346,0.6224782349169254
bert.encoder.layer.1.attention.output.dense,1,O,baseline,7,0.09995366934686899,0.12049971714615822,0.02282775806263089,6.127017977237702,0.999966195821762,0.16486689634621143,0.4612660332024097,0.7673278790712357,0.0,3.649867342573998e-05,0.00013593969346402445,0.0008053978938551154,0.0022738612222019585,0.09996887937188148,0.12141800001263618
