layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.0.intermediate.dense,0,FFN1,sweep,4,0.39992043375968933,0.8737738132476807,0.7897158066431681,458205.7708333333,0.9830664793650309,0.0020064940908923745,0.08775317172209422,0.3402530451615651,0.0,0.009639656015982231,0.02359575219452381,0.13350669542948404,0.459186057249705,0.3818451166152954,0.9042562047640482
bert.encoder.layer.0.output.dense,0,FFN2,sweep,4,0.09943718711535136,0.30619917313257855,0.2295925517876943,6.9025468826293945,0.9971160093943278,0.1502999116977056,0.4495622217655182,0.7639671762784322,0.0,0.006775206808621685,0.015586715036382278,0.10675724844137828,0.24167480071385702,0.09973370532194774,0.30639536182085675
bert.encoder.layer.0.attention.self.key,0,K,sweep,4,0.0,0.6401501893997192,0.6401501893997192,33.03324762980143,0.9895433982213339,0.043613042682409286,0.21991601089636484,0.6097566882769266,3.8580246837227605e-06,0.008911809884011745,0.03324804423997799,0.11595374594132106,0.6196498076121012,0.5998263855775198,0.8568945924441019
bert.encoder.layer.0.attention.output.dense,0,O,sweep,4,0.10018135855595271,0.30887719988822937,0.23192940652370453,6.98611577351888,0.9967729250590006,0.14671332140763602,0.4302877386411031,0.7453964551289877,0.0,0.01398242979000012,0.03129761045177778,0.2352547893921534,0.6516639987627665,0.10014230261246364,0.30956749121348065
bert.encoder.layer.0.attention.self.query,0,Q,sweep,4,0.0,0.5043723980585734,0.5043723980585734,14.986871083577475,0.9898413022359213,0.07060190041859944,0.24924802283445993,0.5960318843523661,0.0,0.00393814139533788,0.011121484450995922,0.08620805852115154,0.4996287326018016,3.616898175096139e-05,0.5130943059921265
bert.encoder.layer.0.attention.self.value,0,V,sweep,4,0.0,0.5822240710258484,0.5822240710258484,24.8822504679362,0.9894962310791016,0.05492647116382917,0.235231747229894,0.6035144726435343,1.9290123418613803e-06,0.01978544487307469,0.053472450003027916,0.29287531475226086,0.6500169237454733,0.5998263855775198,0.834429144859314
bert.encoder.layer.1.intermediate.dense,1,FFN1,sweep,4,0.43020664652188617,0.8787379463513693,0.7871899406115214,511294.2916666667,0.9853339195251465,0.00024257519301803163,0.08846563845872879,0.3562967777252197,0.0,0.006814179942011833,0.015682973122845095,0.14608086521426836,0.47987301150957745,0.4378125270207723,0.8828045924504598
bert.encoder.layer.1.output.dense,1,FFN2,sweep,4,0.09991351515054703,0.3105810781319936,0.2340531349182129,7.04266897837321,0.9969290494918823,0.14748730262120566,0.4459571937719981,0.762973407904307,0.0,0.00503260704378287,0.010508191306143999,0.09352317390342553,0.25561290234327316,0.100218599041303,0.3197699586550395
bert.encoder.layer.1.attention.self.key,1,K,sweep,4,0.0,0.7631635864575704,0.7631635864575704,48.495293935139976,0.9856759111086527,0.026032290731867153,0.147236630320549,0.5473377704620361,0.0,0.007101727416738868,0.02340699639171362,0.0775896708170573,0.1285047878821691,0.5998263855775198,0.9043081800142924
bert.encoder.layer.1.attention.output.dense,1,O,sweep,4,0.10016796986262004,0.3039149343967438,0.2264303465684255,6.8411838213602705,0.9968511064847311,0.14896319806575775,0.4370199640591939,0.7538378437360128,0.0,0.008315305535991987,0.01810728820661704,0.2224739429851373,0.6315675179163615,0.1001858189702034,0.3162005345026652
bert.encoder.layer.1.attention.self.query,1,Q,sweep,4,0.0,0.5459574262301127,0.5459574262301127,17.075295130411785,0.9890350500742594,0.062452865143617,0.24088329076766968,0.6021405061086019,0.0,0.002260596491396427,0.00505839226146539,0.05045786655197541,0.15871626138687134,0.00014467592700384557,0.4948284129301707
bert.encoder.layer.1.attention.self.value,1,V,sweep,4,0.0,0.5968649784723917,0.5968649784723917,25.09209950764974,0.9902428189913431,0.051450811326503754,0.23775407671928406,0.6028204162915548,0.0,0.010804243385791779,0.031034027847150963,0.11742758750915527,0.5673157771428426,0.5998263855775198,0.8409960667292277
bert.encoder.layer.2.intermediate.dense,2,FFN1,sweep,4,0.466760794321696,0.8587526480356852,0.7352388699849447,377932.171875,0.9855471253395081,8.885048431276725e-05,0.10219722489515941,0.35961774984995526,0.0,0.004242176345239083,0.009580716645965973,0.187596104418238,0.3697773814201355,0.46420033772786456,0.8464585940043131
bert.encoder.layer.2.output.dense,2,FFN2,sweep,4,0.10004680852095287,0.4069707194964091,0.341037392616272,11.930332819620768,0.9934351444244385,0.10052693138519923,0.41014283895492554,0.7387914260228475,0.0,0.0031408489060898623,0.007499837161352237,0.05832903149227301,0.22821268190940222,0.100173386434714,0.4621005654335022
bert.encoder.layer.2.attention.self.key,2,K,sweep,4,0.0,0.7960824966430664,0.7960824966430664,61.99151865641276,0.9837314287821451,0.02106061764061451,0.12937649339437485,0.4858024020989736,0.0,0.003733812947757542,0.011190373140076796,0.038304497177402176,0.09798907240231831,0.5998263855775198,0.9181665579477946
bert.encoder.layer.2.attention.output.dense,2,O,sweep,4,0.09980737417936325,0.33339696129163104,0.2594843804836273,8.029219150543213,0.995597759882609,0.13585983961820602,0.4217552940050761,0.7427005370457967,0.0,0.005312805762514472,0.01350377577667435,0.1739101049800714,0.5979077021280924,0.09974896411101024,0.36828669905662537
