layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.0.intermediate.dense,0,FFN1,baseline,7,0.0005992490914650261,0.6057765007019043,0.6055407524108887,232.26576232910156,0.9992475032806396,0.004770632181316614,0.039357370138168334,0.26952075958251953,0.0,0.00016225962899625302,0.0005050009523984045,0.0021043095272034406,0.0038255232386291025,0.0007102966425009072,0.7279056191444397
bert.encoder.layer.0.output.dense,0,FFN2,baseline,7,0.09927303642034531,0.11936583369970322,0.022307392582297324,6.023362350463867,0.9999675631523133,0.16733081340789796,0.4659062743186951,0.7702092528343201,0.0,0.00010708504851209,0.0003603564284276217,0.0020105414208956064,0.004750462714582682,0.09961581826210023,0.12065870612859726
bert.encoder.layer.0.attention.self.key,0,K,baseline,7,0.0,0.10757430046796798,0.10757430046796798,22.209410858154296,0.9998718857765198,0.05520129352807999,0.24533149003982543,0.6196020603179931,0.0,7.512343727285042e-05,0.00021601937478408218,0.0006712665432132781,0.0013004492968320847,0.5869791626930236,0.6324059367179871
bert.encoder.layer.0.attention.output.dense,0,O,baseline,7,0.100245401263237,0.12050051689147949,0.022511877492070197,6.041912460327149,0.999966835975647,0.16699743866920472,0.46525539755821227,0.7691863417625427,0.0,0.00016596035566180946,0.0005474214209243655,0.002920275437645614,0.006909273099154234,0.1002010777592659,0.12086046040058136
bert.encoder.layer.0.attention.self.query,0,Q,baseline,7,0.0,0.07544173747301101,0.07544173747301101,16.214063262939455,0.9998624205589295,0.06554678082466125,0.23402920365333557,0.5732162714004516,0.0,4.99353016493842e-05,0.0001690558303380385,0.000675941607914865,0.002093843091279268,0.0,0.09415554404258727
bert.encoder.layer.0.attention.self.value,0,V,baseline,7,0.0,0.09139039516448974,0.09139039516448974,19.48776779174805,0.9998724579811096,0.06315841302275657,0.25531320869922636,0.6174576878547668,0.0,0.00014467016444541514,0.0004118615994229913,0.0018103228649124503,0.0035183291416615247,0.5869791626930236,0.6252529740333557
bert.encoder.layer.1.intermediate.dense,1,FFN1,baseline,7,0.0007315393653698265,0.5718924283981324,0.5715790152549743,195.6429931640625,0.9991570472717285,0.005671572126448155,0.0418221153318882,0.2620244652032852,0.0,0.00017253700352739542,0.0005996961845085025,0.0025322761619463565,0.006976495962589979,0.0011132982093840838,0.6841788530349732
bert.encoder.layer.1.output.dense,1,FFN2,baseline,7,0.09989613741636276,0.12030373960733413,0.02267242595553398,6.112463760375976,0.9999665379524231,0.1650735229253769,0.4607915461063385,0.7658912897109985,0.0,0.0001274356371141039,0.0004429588501807302,0.0025567660573869943,0.006818893179297447,0.10014479011297225,0.12281799465417861
bert.encoder.layer.1.attention.self.key,1,K,baseline,7,0.0,0.13558818399906158,0.13558818399906158,26.516162490844728,0.9998605489730835,0.047946575284004214,0.23432252705097198,0.6076033353805542,0.0,8.794501336524263e-05,0.0002884183661080897,0.0009949974715709685,0.00142592613119632,0.5869791626930236,0.6438357830047607
bert.encoder.layer.1.attention.output.dense,1,O,baseline,7,0.10017154961824418,0.12019454389810562,0.02225195840001106,6.097539806365967,0.9999665975570678,0.1654367834329605,0.4628208339214325,0.7709665179252625,0.0,0.0001666059106355533,0.0005830093461554498,0.003504290245473385,0.007292046211659908,0.1000542551279068,0.1210140660405159
