step,module_name,layer_idx,sublayer,out_bound,out_res,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.56258192585613,0.0003496497084815481,0.9998250603675842,0.0,0.012589996680617332,0.011578499339520931,0.008057206869125366,0.03491976484656334
1,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.35760568044174,0.00029110241851176784,0.9998554587364197,0.0,0.012992527335882187,0.010842160321772099,0.007887840270996094,0.03051072359085083
2,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.420186585878625,0.0002869068918013485,0.9998531937599182,0.0,0.012740211561322212,0.010863346979022026,0.007912948727607727,0.030895819887518883
3,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.30569409440594,0.00023404816062288036,0.9998809099197388,0.0,0.013717086054384708,0.009850675240159035,0.007245540618896484,0.02702471800148487
4,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.90212440208754,0.0003233373334385279,0.9998404383659363,0.0,0.013210720382630825,0.011229397729039192,0.007986664772033691,0.03241948410868645
5,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.8845904626705,0.0003246675246997453,0.9998369216918945,0.0,0.01357421837747097,0.011311451904475689,0.008059501647949219,0.03286374360322952
6,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.55508048459295,0.00022099051306855307,0.9998873472213745,0.0,0.013758933171629906,0.009724370203912258,0.007252812385559082,0.026263654232025146
7,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.37346267435599,0.00029004888887819,0.9998536705970764,0.0,0.012265625409781933,0.010818317532539368,0.007836401462554932,0.030771689489483833
8,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.56784842967358,0.0002203436072347911,0.9998888969421387,0.0,0.013427734375,0.009644838981330395,0.00717848539352417,0.02581433765590191
9,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,37.08017898365293,0.00019583364819413313,0.999900758266449,0.0,0.01409129612147808,0.009354306384921074,0.0071416497230529785,0.02463422901928425
10,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.572665313506874,0.0003488110669495961,0.9998251795768738,0.0,0.012930410914123058,0.011686962097883224,0.008252382278442383,0.03452730178833008
11,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.23268310905546,0.0002996115579709057,0.999849796295166,0.0,0.012829766608774662,0.011025599204003811,0.008030861616134644,0.031043756753206253
12,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.81452926571452,0.00032993344168939266,0.9998360872268677,0.0,0.013274015858769417,0.011381776072084904,0.008118659257888794,0.03305813670158386
13,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.66465484324822,0.0002712291425024366,0.9998624920845032,0.0,0.01338975690305233,0.010529790073633194,0.007656842470169067,0.029869496822357178
14,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.80223842778349,0.0002627504152112727,0.9998666644096375,0.0,0.013104838319122791,0.010374470613896847,0.007605016231536865,0.028997182846069336
15,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.16701587493473,0.000304179918029145,0.999847948551178,0.0,0.012325402349233627,0.011082815006375313,0.008040308952331543,0.03150108456611633
16,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.541060950768355,0.0002217014388426758,0.9998869299888611,0.0,0.013904389925301075,0.009751474484801292,0.007279753684997559,0.02632223255932331
17,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.82529300266219,0.0002613499917947005,0.9998685717582703,0.0,0.013065733015537262,0.010386960580945015,0.007652014493942261,0.028758617118000984
18,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.058620606154406,0.0002476837384728127,0.9998757839202881,0.0,0.013547091744840145,0.010089896619319916,0.007415890693664551,0.027859874069690704
19,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.49064800876029,0.0002823323931113728,0.999859631061554,0.0,0.01318359375,0.010592860169708729,0.007650315761566162,0.030052196234464645
20,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.906096685314914,0.00032304214736215866,0.9998387694358826,0.0,0.013106497004628181,0.011329824104905128,0.008163213729858398,0.03229612112045288
21,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.37619240037432,0.00028987484968614335,0.9998562335968018,0.0,0.01328434981405735,0.01073980052024126,0.007724404335021973,0.030453737825155258
22,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.77985641022991,0.00026413023414916014,0.9998645186424255,0.0,0.013405540026724339,0.01044246181845665,0.0075956955552101135,0.02965068817138672
23,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.176575565058435,0.0003035228026093627,0.9998459815979004,0.0,0.012532551772892475,0.011092375963926315,0.00801229476928711,0.03171825408935547
24,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.63367039463928,0.00027318476447925637,0.9998657703399658,0.0,0.013050425797700882,0.010408292524516582,0.007531166076660156,0.02905583381652832
25,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.34670821596403,0.00023181096633207026,0.9998834133148193,0.0,0.014035692438483238,0.009800726547837257,0.0072321295738220215,0.026586875319480896
26,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.07650516828555,0.00024672805860050535,0.9998722672462463,0.0,0.013334998860955238,0.010287631303071976,0.0076236724853515625,0.028495023027062416
27,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.46162539503167,0.0002841495287076124,0.9998555183410645,0.0,0.013189205899834633,0.01077449694275856,0.00781923532485962,0.030822157859802246
28,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.646905261759436,0.00034289018506576083,0.9998295903205872,0.0,0.0128038190305233,0.011546599678695202,0.00817883014678955,0.034096717834472656
29,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.58831583482573,0.0002760145787394353,0.9998605847358704,0.0,0.01355561800301075,0.010628716088831425,0.007731050252914429,0.030138254165649414
30,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.21725522138414,0.00030069059382386687,0.9998473525047302,0.0,0.01282552070915699,0.010978009551763535,0.007863163948059082,0.03185967355966568
31,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.42768962773979,0.00022757777166315126,0.9998810887336731,0.0,0.0138776283711195,0.01001073233783245,0.00750306248664856,0.027422398328781128
32,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.83379935063035,0.0002608874024043802,0.9998696446418762,0.0,0.013033353723585606,0.010267826728522778,0.007501721382141113,0.028509916737675667
33,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.880580556577115,0.00032494834792506645,0.999838650226593,0.0,0.013731839135289192,0.011261899024248123,0.007994130253791809,0.03282269835472107
34,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.657203341432115,0.00021585734655333097,0.9998899102210999,0.0,0.013937849551439285,0.009589271619915962,0.007150024175643921,0.025825466960668564
35,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.14261272339687,0.0002429704479205913,0.9998776912689209,0.0,0.01306966133415699,0.009978121146559715,0.007334768772125244,0.027576744556427002
36,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.73924714932149,0.00026660831127530587,0.9998645782470703,0.0,0.013099588453769684,0.010468111373484135,0.007642894983291626,0.029457449913024902
37,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.42290788028418,0.00028673716380489154,0.999854564666748,0.0,0.012922014109790325,0.010880310088396072,0.007953852415084839,0.03090771660208702
38,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.56204193937219,0.000349683074793,0.9998267889022827,0.0,0.012618719600141048,0.01156928762793541,0.008071482181549072,0.03455444425344467
39,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.17300471177512,0.00030373770951005823,0.9998458027839661,0.0,0.013141396455466747,0.011163178831338882,0.008128762245178223,0.03176020085811615
40,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.199710639126614,0.00023980846295413482,0.9998775124549866,0.0,0.01351841539144516,0.009988857433199883,0.007327079772949219,0.027678966522216797
41,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,33.89863598213092,0.0004074825603246979,0.9998002648353577,0.0,0.013088650070130825,0.012380212545394897,0.008417189121246338,0.038344286382198334
42,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.622224206148125,0.00021759843753550552,0.9998908042907715,0.0,0.013727678917348385,0.009557033888995647,0.007100462913513184,0.0254824161529541
43,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.669314855632145,0.00027091363805473704,0.9998635053634644,0.0,0.0129859559237957,0.01044793613255024,0.007594078779220581,0.02962327003479004
44,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.116426259296915,0.0002444603855277614,0.9998742341995239,0.0,0.013397960923612118,0.010237917304039001,0.007609069347381592,0.02820718288421631
45,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.19135035038114,0.00024028819441298662,0.9998760223388672,0.0,0.01381022110581398,0.010047012940049171,0.007392585277557373,0.027965320274233818
46,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.80805282166982,0.0003304040477132195,0.999836266040802,0.0,0.013140762224793434,0.011379352770745754,0.008126437664031982,0.03306591510772705
47,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.825956454764224,0.0002613292189599329,0.9998689889907837,0.0,0.01332891546189785,0.010357811115682125,0.007600188255310059,0.028662770986557007
48,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.615345034648826,0.0002743357659395439,0.999862551689148,0.0,0.012720352970063686,0.010555478744208813,0.007701307535171509,0.02960388921201229
49,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.50120651674874,0.00022373555676526643,0.9998854994773865,0.0,0.013579397462308407,0.009838846512138844,0.0073476433753967285,0.02673506736755371
50,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.65247416480381,0.0002719931887376815,0.9998615980148315,0.0,0.01301540806889534,0.01062275841832161,0.007746607065200806,0.03006887622177601
51,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.55610611075371,0.00027810109362158634,0.9998612999916077,0.0,0.012441406026482582,0.01064714789390564,0.007804811000823975,0.02978806383907795
52,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,36.318820524895536,0.0002333362711814809,0.9998809695243835,0.0,0.013372053392231464,0.00988012459129095,0.007265448570251465,0.02726786583662033
53,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.397160582045785,0.0002884488202794419,0.9998522996902466,0.0,0.01320529542863369,0.010897465981543064,0.007918238639831543,0.031114716082811356
54,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.26991702913362,0.00029703342265331,0.9998492002487183,0.0,0.012720352970063686,0.011051618494093418,0.008061826229095459,0.03142913430929184
55,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.43179882631817,0.0002861941718675739,0.9998565316200256,0.0,0.012808537110686302,0.010754664428532124,0.007798194885253906,0.030278421938419342
56,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.73533548102215,0.0002668595091895975,0.999863862991333,0.0,0.013503864407539368,0.010448300279676914,0.007622480392456055,0.029538927599787712
57,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,34.12070192806307,0.00038717227484915925,0.9998083710670471,0.0,0.01318359375,0.012237307615578175,0.008481979370117188,0.03661012649536133
58,bert.encoder.layer.0.attention.self.query,0,Q,12.0,0.0009784735812133072,35.24000023073629,0.00029916066895849046,0.9998543858528137,0.0,0.01248468179255724,0.01061841007322073,0.007498264312744141,0.0307542085647583
