step,module_name,layer_idx,sublayer,out_bound,out_res,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,15.366806645340843,0.02905413687608711,0.9861151576042175,0.00033509498462080956,0.36064836382865906,0.1002667099237442,0.0669373869895935,0.31493985652923584
1,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,16.04150999119596,0.024868539352598806,0.9880948066711426,0.0006368886097334325,0.35591456294059753,0.0940311849117279,0.0649484395980835,0.2835451066493988
2,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,15.972024510677436,0.02526783281383238,0.9876635074615479,0.0006005298346281052,0.3514727056026459,0.09576830267906189,0.06642913818359375,0.2862190008163452
3,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,16.597310116052107,0.02188446598840976,0.9893791675567627,0.0006058304570615292,0.3611653745174408,0.08692973107099533,0.060065895318984985,0.25661909580230713
4,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,15.605700287822241,0.027497748840230648,0.9869062900543213,0.0004249855410307646,0.35990849137306213,0.09793329238891602,0.0662122368812561,0.3034687340259552
5,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,15.701957724926334,0.026896246958084968,0.987033486366272,0.0005696614389307797,0.3603759706020355,0.09714566916227341,0.06579041481018066,0.29743969440460205
6,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,16.650753782573357,0.021617726768938417,0.9894439578056335,0.0005337027832865715,0.3622327744960785,0.08685420453548431,0.06086993217468262,0.2513163983821869
7,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,16.00832852424315,0.025060490173105597,0.9878240823745728,0.0007421874906867743,0.3565950393676758,0.09447190910577774,0.06485003232955933,0.28496018052101135
8,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,16.7619442239582,0.021071103460127232,0.9898325204849243,0.0005653782864101231,0.36182495951652527,0.08526350557804108,0.059476494789123535,0.24475297331809998
9,bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,0.07142857142857142,17.07793224822164,0.019593223937701024,0.9904651045799255,0.0005821814993396401,0.36866486072540283,0.08282060921192169,0.05928012728691101,0.2256453037261963
