module,layer_idx,sublayer,calibrated_out_bound,baseline_out_bound
bert.encoder.layer.0.attention.self.query,0,Q,4.618619728088379,12.0
bert.encoder.layer.0.attention.self.key,0,K,6.1865886926651,12.0
bert.encoder.layer.0.attention.self.value,0,V,2.031161141395569,12.0
bert.encoder.layer.0.attention.output.dense,0,O,1.651341909170151,12.0
bert.encoder.layer.0.intermediate.dense,0,FFN1,8.936741924285888,12.0
bert.encoder.layer.0.output.dense,0,FFN2,12.0,12.0
bert.encoder.layer.1.attention.self.query,1,Q,4.315574741363526,12.0
bert.encoder.layer.1.attention.self.key,1,K,5.196382284164429,12.0
bert.encoder.layer.1.attention.self.value,1,V,2.4559149384498595,12.0
bert.encoder.layer.1.attention.output.dense,1,O,1.3062376320362092,12.0
bert.encoder.layer.1.intermediate.dense,1,FFN1,8.435200738906861,12.0
bert.encoder.layer.1.output.dense,1,FFN2,12.0,12.0
bert.encoder.layer.2.attention.self.query,2,Q,5.372835087776184,12.0
bert.encoder.layer.2.attention.self.key,2,K,5.074623656272888,12.0
bert.encoder.layer.2.attention.self.value,2,V,2.7316596508026123,12.0
bert.encoder.layer.2.attention.output.dense,2,O,1.0051451683044434,12.0
bert.encoder.layer.2.intermediate.dense,2,FFN1,6.426320314407349,12.0
bert.encoder.layer.2.output.dense,2,FFN2,2.1873719930648803,12.0
bert.encoder.layer.3.attention.self.query,3,Q,4.389986157417297,12.0
bert.encoder.layer.3.attention.self.key,3,K,5.042622756958008,12.0
bert.encoder.layer.3.attention.self.value,3,V,3.1918965697288515,12.0
bert.encoder.layer.3.attention.output.dense,3,O,0.9881964325904846,12.0
bert.encoder.layer.3.intermediate.dense,3,FFN1,10.34646978378296,12.0
bert.encoder.layer.3.output.dense,3,FFN2,1.8905564546585083,12.0
bert.encoder.layer.4.attention.self.query,4,Q,4.6729148626327515,12.0
bert.encoder.layer.4.attention.self.key,4,K,4.023617541790009,12.0
bert.encoder.layer.4.attention.self.value,4,V,2.7641176700592043,12.0
bert.encoder.layer.4.attention.output.dense,4,O,1.1904750108718873,12.0
bert.encoder.layer.4.intermediate.dense,4,FFN1,9.878827571868896,12.0
bert.encoder.layer.4.output.dense,4,FFN2,1.6018397748470308,12.0
bert.encoder.layer.5.attention.self.query,5,Q,4.619800329208374,12.0
bert.encoder.layer.5.attention.self.key,5,K,3.945526134967804,12.0
bert.encoder.layer.5.attention.self.value,5,V,2.6557051420211795,12.0
bert.encoder.layer.5.attention.output.dense,5,O,1.1328037977218628,12.0
bert.encoder.layer.5.intermediate.dense,5,FFN1,8.290845465660096,12.0
bert.encoder.layer.5.output.dense,5,FFN2,1.505379456281662,12.0
bert.encoder.layer.6.attention.self.query,6,Q,5.008811902999878,12.0
bert.encoder.layer.6.attention.self.key,6,K,4.085738790035248,12.0
bert.encoder.layer.6.attention.self.value,6,V,2.669848322868347,12.0
bert.encoder.layer.6.attention.output.dense,6,O,1.141997766494751,12.0
bert.encoder.layer.6.intermediate.dense,6,FFN1,6.561477112770081,12.0
bert.encoder.layer.6.output.dense,6,FFN2,1.509453856945038,12.0
bert.encoder.layer.7.attention.self.query,7,Q,5.169665551185608,12.0
bert.encoder.layer.7.attention.self.key,7,K,4.137939584255219,12.0
bert.encoder.layer.7.attention.self.value,7,V,2.355994427204132,12.0
bert.encoder.layer.7.attention.output.dense,7,O,1.0634191989898683,12.0
bert.encoder.layer.7.intermediate.dense,7,FFN1,6.176881527900696,12.0
bert.encoder.layer.7.output.dense,7,FFN2,1.5355683982372283,12.0
bert.encoder.layer.8.attention.self.query,8,Q,4.469937086105347,12.0
bert.encoder.layer.8.attention.self.key,8,K,3.953610098361969,12.0
bert.encoder.layer.8.attention.self.value,8,V,2.748076665401459,12.0
bert.encoder.layer.8.attention.output.dense,8,O,0.9652167677879334,12.0
bert.encoder.layer.8.intermediate.dense,8,FFN1,5.422861933708191,12.0
bert.encoder.layer.8.output.dense,8,FFN2,1.7217231094837189,12.0
bert.encoder.layer.9.attention.self.query,9,Q,4.670300316810608,12.0
bert.encoder.layer.9.attention.self.key,9,K,3.9019700646400453,12.0
bert.encoder.layer.9.attention.self.value,9,V,2.737283277511597,12.0
bert.encoder.layer.9.attention.output.dense,9,O,0.9572384476661683,12.0
bert.encoder.layer.9.intermediate.dense,9,FFN1,7.224276494979859,12.0
bert.encoder.layer.9.output.dense,9,FFN2,2.4337646484375,12.0
bert.encoder.layer.10.attention.self.query,10,Q,4.6395711421966555,12.0
bert.encoder.layer.10.attention.self.key,10,K,4.187349092960358,12.0
bert.encoder.layer.10.attention.self.value,10,V,3.1166600346565247,12.0
bert.encoder.layer.10.attention.output.dense,10,O,0.9487963736057282,12.0
bert.encoder.layer.10.intermediate.dense,10,FFN1,5.14871563911438,12.0
bert.encoder.layer.10.output.dense,10,FFN2,2.4386685490608215,12.0
bert.encoder.layer.11.attention.self.query,11,Q,4.431160998344422,12.0
bert.encoder.layer.11.attention.self.key,11,K,4.062138783931732,12.0
bert.encoder.layer.11.attention.self.value,11,V,2.9381138920783996,12.0
bert.encoder.layer.11.attention.output.dense,11,O,0.9370297282934189,12.0
bert.encoder.layer.11.intermediate.dense,11,FFN1,4.6439440727233885,12.0
bert.encoder.layer.11.output.dense,11,FFN2,3.4908722877502445,12.0
