step,module_name,layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,9.057124943655849,0.12424453662390815,0.9403867721557617,0.0,0.6716766357421875,0.26404276490211487,0.20214152336120605,0.7105438709259033
1,bert.encoder.layer.0.attention.self.query,0,Q,8.416647346513576,0.14398314822055178,0.9325723648071289,0.0,0.6720924377441406,0.278937965631485,0.21131503582000732,0.7632859349250793
2,bert.encoder.layer.0.attention.self.query,0,Q,8.944436351939968,0.1275082287837884,0.9392778873443604,0.0,0.6698299050331116,0.26717114448547363,0.2048979103565216,0.7170326709747314
3,bert.encoder.layer.0.attention.self.query,0,Q,8.316410633358966,0.14734797997184146,0.9313066005706787,0.0,0.6723242998123169,0.2812856435775757,0.21213290095329285,0.7753526568412781
4,bert.encoder.layer.0.attention.self.query,0,Q,8.760201575953781,0.13303433654856586,0.9371662139892578,0.0,0.6718254089355469,0.2712930738925934,0.20713543891906738,0.7332064509391785
5,bert.encoder.layer.0.attention.self.query,0,Q,8.866537476673264,0.12981743868645904,0.938262939453125,0.0,0.6710264682769775,0.2686501741409302,0.20494645833969116,0.7256330251693726
6,bert.encoder.layer.0.attention.self.query,0,Q,8.665882297787485,0.13595449662531645,0.9358945488929749,0.0,0.671177327632904,0.27280759811401367,0.20716118812561035,0.7440178394317627
7,bert.encoder.layer.0.attention.self.query,0,Q,8.500727171184124,0.14122576354065858,0.9338614344596863,0.0,0.6707560420036316,0.27716976404190063,0.20994210243225098,0.7596235275268555
8,bert.encoder.layer.0.attention.self.query,0,Q,8.923635663515686,0.12812137544419827,0.9390351176261902,0.0,0.6704046726226807,0.2669185400009155,0.2038435935974121,0.7209796905517578
9,bert.encoder.layer.0.attention.self.query,0,Q,8.582226640227864,0.13859914754085997,0.9349717497825623,0.0,0.6730855107307434,0.27532142400741577,0.20903778076171875,0.7500969171524048
10,bert.encoder.layer.0.attention.self.query,0,Q,8.958371993533634,0.1271010425544608,0.9396729469299316,0.0,0.6703898310661316,0.26651135087013245,0.20392334461212158,0.7169504165649414
11,bert.encoder.layer.0.attention.self.query,0,Q,8.65956962339111,0.13615343282214398,0.9356732964515686,0.0,0.66988205909729,0.2736993730068207,0.20840001106262207,0.7435433864593506
12,bert.encoder.layer.0.attention.self.query,0,Q,8.954983219547177,0.1272010334208971,0.9396023154258728,0.0,0.6690830588340759,0.26715317368507385,0.20474863052368164,0.7163578271865845
13,bert.encoder.layer.0.attention.self.query,0,Q,9.138896183590074,0.1219263621225443,0.941739559173584,0.0,0.6711387634277344,0.2628791332244873,0.20223721861839294,0.7038991451263428
14,bert.encoder.layer.0.attention.self.query,0,Q,8.900814872256312,0.12879610074398684,0.9391128420829773,0.0,0.6702698469161987,0.26772207021713257,0.2046976089477539,0.7219756245613098
15,bert.encoder.layer.0.attention.self.query,0,Q,8.542031716085518,0.13988796925757654,0.9344696402549744,0.0,0.6702792048454285,0.27533596754074097,0.20812126994132996,0.7546197175979614
16,bert.encoder.layer.0.attention.self.query,0,Q,8.51672825863346,0.1407051788109838,0.9340939521789551,0.0,0.6700024008750916,0.27722668647766113,0.21058928966522217,0.7553300857543945
17,bert.encoder.layer.0.attention.self.query,0,Q,8.78185255368935,0.1323732634313862,0.9374064803123474,0.0,0.6705555319786072,0.270818829536438,0.20673784613609314,0.7316776514053345
18,bert.encoder.layer.0.attention.self.query,0,Q,8.735517166435727,0.13379213956667158,0.9371140599250793,0.0,0.6696569919586182,0.2714731693267822,0.2072218656539917,0.734548807144165
19,bert.encoder.layer.0.attention.self.query,0,Q,8.741779087116889,0.13359824562112482,0.9370039105415344,0.0,0.6715037226676941,0.27143096923828125,0.20685505867004395,0.7359861135482788
20,bert.encoder.layer.0.attention.self.query,0,Q,8.636020871051123,0.13689191813316245,0.9354776740074158,0.0,0.671637237071991,0.27421653270721436,0.2087341547012329,0.7451603412628174
21,bert.encoder.layer.0.attention.self.query,0,Q,8.892613345208801,0.12903998843596756,0.9386971592903137,0.0,0.6711871027946472,0.26762041449546814,0.20445215702056885,0.721808910369873
22,bert.encoder.layer.0.attention.self.query,0,Q,8.450275624000138,0.14287337881502418,0.9333916306495667,0.0,0.67284095287323,0.2776292562484741,0.20970097184181213,0.7628934979438782
23,bert.encoder.layer.0.attention.self.query,0,Q,8.586798129601084,0.13845347215605305,0.9348238110542297,0.0,0.6693255305290222,0.27530109882354736,0.20889580249786377,0.7509907484054565
24,bert.encoder.layer.0.attention.self.query,0,Q,9.173992541925323,0.12094542206827609,0.9421701431274414,0.0,0.670674204826355,0.26180389523506165,0.20143043994903564,0.6996705532073975
