layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err,label
0,FFN1,26.473253903159115,0.0007250158636005175,0.9995714113116264,0.00027434772899141534,0.006794482353143394,0.043468211069703104,0.02430127317085862,0.16793755657970905,mp_base6_adc6
0,FFN2,19.304899523269565,0.011748598001827936,0.9850318294763565,0.0018346108292462305,0.20589950107038021,0.13283027116209267,0.1058509923890233,0.3402231754362583,mp_base6_adc6
0,K,24.72652084467247,0.00337044679994616,0.9983373263478279,0.0,0.17423963077366353,0.04597381144762039,0.03509692158550024,0.1236701549589634,mp_base6_adc6
0,O,22.784852241347398,0.005274507019184087,0.9972383233904839,0.0,0.7153709161281586,0.01212150638923049,0.009937463561072946,0.02992679089307785,mp_base6_adc6
0,Q,24.418891875158362,0.00362255194912625,0.9978939235210419,0.0,0.18498303301632404,0.046048600897192954,0.03629751684144139,0.12158033210784197,mp_base6_adc6
0,V,28.29139402089943,0.0014805703321116048,0.9992032653093338,0.0,0.17702273465692997,0.014317889488302172,0.011535391127690673,0.03678114203736186,mp_base6_adc6
1,FFN1,20.36737895114901,0.0025486700551436863,0.9987790098786354,0.00017205556265253107,0.007430392913520336,0.09096420623362064,0.06841776724904776,0.24900819309055805,mp_base6_adc6
1,FFN2,12.929243325406746,0.051048686421164516,0.9731592041254044,0.00037889692444878167,0.36932923838496207,0.08932098846882582,0.07182530961930751,0.21984277829527854,mp_base6_adc6
1,K,22.52214757836647,0.005593003982602544,0.9972153034806251,0.0,0.17305458523333073,0.06447156090289355,0.05254755610600114,0.1663210444152355,mp_base6_adc6
1,O,19.595570777661226,0.010980525714926583,0.9943014514446259,0.0,0.6998653715848923,0.017196403332054615,0.014084264636039734,0.04282046228647232,mp_base6_adc6
1,Q,22.32399388029493,0.005847597990090356,0.9970840564370156,0.0,0.1676196923851967,0.06338346105068922,0.051984620727598664,0.16222257509827614,mp_base6_adc6
1,V,26.428087754253987,0.002274367680442834,0.9987286120653153,0.0,0.16042171649634837,0.020433150753378867,0.016583604151383043,0.052713482175022364,mp_base6_adc6
2,FFN1,18.499076453167113,0.0034979626805291797,0.9983308631181717,0.00029232660876004956,0.006205947143025696,0.10984980054199696,0.08439170867204666,0.29594938576221463,mp_base6_adc6
2,FFN2,13.41082948820519,0.04559708957979249,0.9613981935381889,6.781684078305261e-06,0.4718169942498207,0.0754807424545288,0.06155284412205219,0.1860261632502079,mp_base6_adc6
2,K,17.988927086740212,0.015926030652184835,0.9915701049566269,4.238552548940788e-09,0.15851101331412792,0.12658000443130732,0.10416862823069095,0.32493503630161286,mp_base6_adc6
2,O,19.42931902448597,0.011406470420935576,0.9941495969891548,0.0,0.6707979473471641,0.01816802129149437,0.015069413455203176,0.04529472893103957,mp_base6_adc6
2,Q,18.4008506847563,0.014456895083973438,0.9922781169414521,3.178914411705591e-08,0.15937278904020785,0.12671616774052383,0.10452356729656458,0.32217374607920646,mp_base6_adc6
2,V,22.272403441572646,0.005942409945517827,0.996309044957161,0.0,0.15541571266949178,0.03559626955538988,0.03022319348528981,0.08675594367086888,mp_base6_adc6
3,FFN1,19.49741872893978,0.002937221614917951,0.998607457280159,0.0003311824805859942,0.0070347377960570156,0.09703900244086981,0.07369892366230488,0.26282490476965903,mp_base6_adc6
3,FFN2,12.029765815454503,0.062667777396726,0.9693269404768944,6.306966108695633e-06,0.43136985406279565,0.07114650525152683,0.05807415060698986,0.17950868755578994,mp_base6_adc6
