step,module_name,layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,15.173775118901066,0.030385834384141556,0.9885735511779785,0.0003386603493709117,0.062338512390851974,0.05957302823662758,0.016054391860961914,0.3043668270111084
1,bert.encoder.layer.0.attention.self.query,0,Q,15.393935032490349,0.028882189455393177,0.9891391396522522,0.00033738877391442657,0.062236785888671875,0.0586591437458992,0.016768455505371094,0.2957392632961273
2,bert.encoder.layer.0.attention.self.query,0,Q,15.263252275997239,0.029765680680509617,0.9888141751289368,0.00032467313576489687,0.062089283019304276,0.05933361500501633,0.016233086585998535,0.30483686923980713
3,bert.encoder.layer.0.attention.self.query,0,Q,15.511712338414345,0.02810893033322702,0.9893805384635925,0.00042004056740552187,0.062361400574445724,0.05775817111134529,0.016801953315734863,0.2882378101348877
4,bert.encoder.layer.0.attention.self.query,0,Q,15.349586523328016,0.02917964163391449,0.9889981150627136,0.00036960176657885313,0.0623101145029068,0.05852247774600983,0.016389906406402588,0.29613590240478516
5,bert.encoder.layer.0.attention.self.query,0,Q,15.267512030059438,0.029736505862678293,0.9888498187065125,0.00032848783303052187,0.06234826147556305,0.05905201658606529,0.016266286373138428,0.2994324862957001
6,bert.encoder.layer.0.attention.self.query,0,Q,15.315144594026012,0.029411898210904085,0.9889800548553467,0.00031534829759038985,0.062263913452625275,0.05905028060078621,0.016439437866210938,0.2995367646217346
7,bert.encoder.layer.0.attention.self.query,0,Q,15.407952525910195,0.02878957782700127,0.9891576766967773,0.00035137601662427187,0.061943478882312775,0.058602042496204376,0.016645193099975586,0.2957422137260437
8,bert.encoder.layer.0.attention.self.query,0,Q,15.214436893621508,0.030102199047979793,0.9887022972106934,0.00030941434670239687,0.062288496643304825,0.05962931364774704,0.016179382801055908,0.30457034707069397
9,bert.encoder.layer.0.attention.self.query,0,Q,15.459450792267706,0.02844951998894557,0.9891872406005859,0.0004531012673396617,0.06253814697265625,0.05778752267360687,0.016526073217391968,0.2896960973739624
10,bert.encoder.layer.0.attention.self.query,0,Q,15.237220114311897,0.029945216758038722,0.9887602925300598,0.00035688612842932343,0.0622100830078125,0.05930032953619957,0.016161799430847168,0.30239224433898926
11,bert.encoder.layer.0.attention.self.query,0,Q,15.393847398176682,0.02888325709541418,0.9891392588615417,0.00029712251853197813,0.061735790222883224,0.05849876627326012,0.01648414134979248,0.2957422137260437
12,bert.encoder.layer.0.attention.self.query,0,Q,15.306295566957992,0.02947200148922886,0.9889079928398132,0.00033399794483557343,0.0619761161506176,0.058833613991737366,0.01619499921798706,0.2995913028717041
13,bert.encoder.layer.0.attention.self.query,0,Q,15.183157750077537,0.03032002105653427,0.9885869026184082,0.00035222372389398515,0.0624474436044693,0.059653203934431076,0.016005396842956543,0.30560103058815
14,bert.encoder.layer.0.attention.self.query,0,Q,15.281956959200018,0.029637476861094407,0.9888439178466797,0.00032170614576898515,0.062114715576171875,0.05917491391301155,0.01621764898300171,0.3027048110961914
15,bert.encoder.layer.0.attention.self.query,0,Q,15.390510950844723,0.02890484276257272,0.9891124367713928,0.00032764009665697813,0.062397852540016174,0.05870578810572624,0.016559898853302002,0.29660239815711975
16,bert.encoder.layer.0.attention.self.query,0,Q,15.495404960477083,0.028215058106914413,0.9893047213554382,0.00041453042649663985,0.0620591901242733,0.05813766270875931,0.016661643981933594,0.2936989963054657
17,bert.encoder.layer.0.attention.self.query,0,Q,15.306896984381225,0.02946769331617626,0.9889082908630371,0.00032467313576489687,0.0622982457280159,0.05903330072760582,0.016373097896575928,0.30033576488494873
18,bert.encoder.layer.0.attention.self.query,0,Q,15.411380914312566,0.028766559232832625,0.9891217350959778,0.0003517998557072133,0.062143538147211075,0.05827583745121956,0.016373395919799805,0.2953583002090454
19,bert.encoder.layer.0.attention.self.query,0,Q,15.36791099102177,0.029056013075937977,0.9890268445014954,0.00038189359474927187,0.06220753863453865,0.05843304097652435,0.016351938247680664,0.29510974884033203
20,bert.encoder.layer.0.attention.self.query,0,Q,15.395357279734998,0.028873240135891542,0.989095151424408,0.00036112466477788985,0.06251483410596848,0.058467134833335876,0.016519665718078613,0.2960205078125
21,bert.encoder.layer.0.attention.self.query,0,Q,15.251890259340444,0.029843786425039074,0.9888059496879578,0.00031280517578125,0.06236352026462555,0.059105291962623596,0.01620301604270935,0.3003919720649719
22,bert.encoder.layer.0.attention.self.query,0,Q,15.381028822643852,0.028967872605128193,0.9890443682670593,0.0004013909201603383,0.0623728446662426,0.05862494185566902,0.016670912504196167,0.2961457371711731
23,bert.encoder.layer.0.attention.self.query,0,Q,15.369922672914129,0.029042588780725888,0.9890897274017334,0.0002928839821834117,0.061991795897483826,0.05886330083012581,0.016581445932388306,0.29845309257507324
24,bert.encoder.layer.0.attention.self.query,0,Q,15.18475899093638,0.03030904338230781,0.9886021018028259,0.000335693359375,0.0623592808842659,0.059454545378685,0.015953272581100464,0.3045058846473694
25,bert.encoder.layer.0.attention.self.query,0,Q,15.351945895407653,0.029163292883552974,0.9890459179878235,0.0003204345703125,0.06213633343577385,0.05864601582288742,0.01644676923751831,0.29718321561813354
26,bert.encoder.layer.0.attention.self.query,0,Q,15.288500546445738,0.029592494625381667,0.9888768196105957,0.0003157721657771617,0.06228213757276535,0.05921159312129021,0.01642480492591858,0.3010394871234894
27,bert.encoder.layer.0.attention.self.query,0,Q,15.269288939814746,0.029723983460148557,0.9888424873352051,0.00031026205397211015,0.06221432238817215,0.0594513863325119,0.016308307647705078,0.30443477630615234
28,bert.encoder.layer.0.attention.self.query,0,Q,15.186625096830507,0.03029611064662697,0.9886098504066467,0.0003556145529728383,0.0621490478515625,0.059907879680395126,0.01619821786880493,0.3066384196281433
29,bert.encoder.layer.0.attention.self.query,0,Q,15.44208387273274,0.02856337574056962,0.9892129302024841,0.00035519071388989687,0.06225331500172615,0.05840921401977539,0.016672581434249878,0.29413092136383057
30,bert.encoder.layer.0.attention.self.query,0,Q,15.408784055745606,0.028783134310978495,0.9891660213470459,0.0002593994140625,0.0620252825319767,0.05889727547764778,0.0167313814163208,0.29973405599594116
31,bert.encoder.layer.0.attention.self.query,0,Q,15.516280439115697,0.028079546075061856,0.9893186688423157,0.00041029189014807343,0.06229570135474205,0.05779346451163292,0.016678929328918457,0.2904359996318817
32,bert.encoder.layer.0.attention.self.query,0,Q,15.300131857412707,0.02951432955540086,0.9889058470726013,0.00034459432936273515,0.0622321218252182,0.059219200164079666,0.01641213893890381,0.30136388540267944
33,bert.encoder.layer.0.attention.self.query,0,Q,15.189448486295493,0.030276304377039574,0.9886080622673035,0.00035603842115961015,0.06213293969631195,0.05956629291176796,0.016014695167541504,0.30497220158576965
34,bert.encoder.layer.0.attention.self.query,0,Q,15.905662559156525,0.025669992637853082,0.9900559782981873,0.0005077786045148969,0.062111325562000275,0.056054871529340744,0.017459988594055176,0.2761389911174774
35,bert.encoder.layer.0.attention.self.query,0,Q,15.214846860446682,0.030100410432037542,0.9886983036994934,0.00036282010842114687,0.06229061633348465,0.059260740876197815,0.016044288873672485,0.3022294044494629
36,bert.encoder.layer.0.attention.self.query,0,Q,15.249100405333898,0.029863069120359954,0.9887792468070984,0.00031407675123773515,0.06235673651099205,0.059322748333215714,0.01627032458782196,0.3017701506614685
