step,module_name,layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,15.224001074888873,0.030036626635359005,0.9888083338737488,0.00025007460499182343,0.0038935344200581312,0.05257343873381615,0.008667141199111938,0.3038210868835449
1,bert.encoder.layer.0.attention.self.query,0,Q,15.45486931867784,0.028479903737658702,0.9894073605537415,0.00026957193040288985,0.0038282605819404125,0.05122458189725876,0.009031437337398529,0.2951090931892395
2,bert.encoder.layer.0.attention.self.query,0,Q,15.315289200257617,0.02941133902069374,0.9890510439872742,0.00025304159498773515,0.0038617451209574938,0.052269451320171356,0.008747100830078125,0.30414319038391113
3,bert.encoder.layer.0.attention.self.query,0,Q,15.576913379986582,0.027690192912965744,0.9896586537361145,0.00033738877391442657,0.003841823898255825,0.05019765347242355,0.009037673473358154,0.2876302897930145
4,bert.encoder.layer.0.attention.self.query,0,Q,15.405359381386488,0.028807408745696147,0.9892461895942688,0.00029118856764398515,0.0038320752792060375,0.051317520439624786,0.008827567100524902,0.2951732575893402
5,bert.encoder.layer.0.attention.self.query,0,Q,15.32109493885553,0.029372030428420168,0.9890950322151184,0.0002509223122615367,0.00386810302734375,0.0518939346075058,0.008766353130340576,0.2987840473651886
6,bert.encoder.layer.0.attention.self.query,0,Q,15.372338941810016,0.02902725789472931,0.9892380237579346,0.0002509223122615367,0.0038380092009902,0.051768913865089417,0.00885695219039917,0.2987842559814453
7,bert.encoder.layer.0.attention.self.query,0,Q,15.46762540784279,0.0283967855807872,0.9894188046455383,0.0002831353049259633,0.0038613213691860437,0.05122172087430954,0.00896543264389038,0.2950475215911865
8,bert.encoder.layer.0.attention.self.query,0,Q,15.266698520286049,0.029742312077890767,0.9889451861381531,0.00024244521046057343,0.0038138495292514563,0.0525544136762619,0.00872918963432312,0.3039107322692871
9,bert.encoder.layer.0.attention.self.query,0,Q,15.519505092637903,0.02805898158554476,0.989446222782135,0.00035985311842523515,0.0038897197227925062,0.05043249949812889,0.008898243308067322,0.28890296816825867
10,bert.encoder.layer.0.attention.self.query,0,Q,15.288714201144845,0.029592451252845237,0.9889970421791077,0.00028228759765625,0.0039032830391079187,0.05223308131098747,0.008715718984603882,0.3019605875015259
11,bert.encoder.layer.0.attention.self.query,0,Q,15.45228370799213,0.028497320759626688,0.989396333694458,0.000225067138671875,0.0038350422400981188,0.051198747009038925,0.008868217468261719,0.29517579078674316
12,bert.encoder.layer.0.attention.self.query,0,Q,15.358825851722864,0.029117765225944482,0.9891447424888611,0.00025600858498364687,0.0038740369491279125,0.051750894635915756,0.008736073970794678,0.298809289932251
13,bert.encoder.layer.0.attention.self.query,0,Q,15.232429997075432,0.02997815086737775,0.9888169765472412,0.00027211508131586015,0.00390582624822855,0.05271637812256813,0.008639350533485413,0.3053392469882965
14,bert.encoder.layer.0.attention.self.query,0,Q,15.334878034057649,0.029278675080812538,0.9890843033790588,0.00024583603953942657,0.0038778516463935375,0.052090633660554886,0.008753903210163116,0.3026183247566223
15,bert.encoder.layer.0.attention.self.query,0,Q,15.450717369575226,0.02850702153616183,0.9893776774406433,0.0002593994140625,0.0038634405937045813,0.051332492381334305,0.008910655975341797,0.295782208442688
16,bert.encoder.layer.0.attention.self.query,0,Q,15.556898538790623,0.027818452489377865,0.9895660281181335,0.00033823648118413985,0.0038371616974473,0.05075864493846893,0.008971035480499268,0.2929903268814087
17,bert.encoder.layer.0.attention.self.query,0,Q,15.362456605396531,0.02909324962525013,0.9891579747200012,0.00024541220045648515,0.0038621691055595875,0.05183923617005348,0.008826926350593567,0.29967665672302246
18,bert.encoder.layer.0.attention.self.query,0,Q,15.468248624243099,0.028392466424614873,0.9893701076507568,0.00027720132493413985,0.003856235183775425,0.051054518669843674,0.00882112979888916,0.29454827308654785
19,bert.encoder.layer.0.attention.self.query,0,Q,15.424674873248406,0.028678855559809646,0.9892764091491699,0.0003060234885197133,0.0038774278946220875,0.05121113359928131,0.0088176429271698,0.29431992769241333
20,bert.encoder.layer.0.attention.self.query,0,Q,15.454001298531514,0.028486170660663963,0.9893522262573242,0.00028779770946130157,0.00386004988104105,0.051169294863939285,0.008898138999938965,0.29518187046051025
21,bert.encoder.layer.0.attention.self.query,0,Q,15.30491471092932,0.02948175360153324,0.9890491366386414,0.00023820664500817657,0.003849453292787075,0.05200379714369774,0.008737921714782715,0.30010294914245605
22,bert.encoder.layer.0.attention.self.query,0,Q,15.441740756906864,0.028565824216082232,0.9893119931221008,0.0003195868630427867,0.0038740369491279125,0.05121929198503494,0.008978784084320068,0.29564368724823
23,bert.encoder.layer.0.attention.self.query,0,Q,15.428501577357117,0.028653616214792937,0.9893494248390198,0.00021998088050168008,0.00383037980645895,0.05152813717722893,0.008915245532989502,0.29773128032684326
24,bert.encoder.layer.0.attention.self.query,0,Q,15.233472836624127,0.029971119458740272,0.9888303875923157,0.0002509223122615367,0.00388336181640625,0.052524492144584656,0.008601158857345581,0.3038431704044342
25,bert.encoder.layer.0.attention.self.query,0,Q,15.409643033631802,0.028778588093972175,0.9893023371696472,0.0002449883322697133,0.003826565109193325,0.05137277767062187,0.008868291974067688,0.29635441303253174
26,bert.encoder.layer.0.attention.self.query,0,Q,15.343942725664391,0.02921726419738768,0.9891297221183777,0.000247955322265625,0.0038731892127543688,0.051986005157232285,0.00885230302810669,0.30039119720458984
27,bert.encoder.layer.0.attention.self.query,0,Q,15.322605860976665,0.029361515905979452,0.9890846610069275,0.00024456449318677187,0.0038655598182231188,0.05233309045433998,0.008797526359558105,0.30387985706329346
28,bert.encoder.layer.0.attention.self.query,0,Q,15.238950960536133,0.029933474676273976,0.9888536930084229,0.00028059218311682343,0.0038498772773891687,0.05283559113740921,0.008731722831726074,0.3062647581100464
29,bert.encoder.layer.0.attention.self.query,0,Q,15.503734656121157,0.028160901284773367,0.9894796013832092,0.00028271146584302187,0.0038053723983466625,0.05096473917365074,0.008968591690063477,0.2932811379432678
30,bert.encoder.layer.0.attention.self.query,0,Q,15.469519353721006,0.028383548433769844,0.9894309043884277,0.00019582112145144492,0.003834194503724575,0.05150064080953598,0.008999228477478027,0.2990128695964813
31,bert.encoder.layer.0.attention.self.query,0,Q,15.57827377797192,0.0276816597392363,0.9895804524421692,0.00033230253029614687,0.0038918389473110437,0.05037311837077141,0.00896298885345459,0.29007741808891296
32,bert.encoder.layer.0.attention.self.query,0,Q,15.355677774290443,0.02913932088003044,0.9891562461853027,0.00027592977858148515,0.0038655598182231188,0.05201262980699539,0.00883471965789795,0.30116426944732666
33,bert.encoder.layer.0.attention.self.query,0,Q,15.238599213948916,0.029935847316461574,0.9888374209403992,0.00028016831493005157,0.0038664075545966625,0.05260434374213219,0.008642077445983887,0.30432766675949097
34,bert.encoder.layer.0.attention.self.query,0,Q,15.986307999658907,0.025197763069581738,0.9903614521026611,0.0004280938010197133,0.00379986222833395,0.04807859659194946,0.009386956691741943,0.2754404544830322
35,bert.encoder.layer.0.attention.self.query,0,Q,15.265000348149249,0.029754993951414146,0.988930881023407,0.0002755059103947133,0.003811306320130825,0.052274711430072784,0.008658170700073242,0.3019397556781769
36,bert.encoder.layer.0.attention.self.query,0,Q,15.303031241193386,0.029494640711709517,0.989027202129364,0.00024541220045648515,0.00386004988104105,0.05217902734875679,0.008775115013122559,0.3013648986816406
37,bert.encoder.layer.0.attention.self.query,0,Q,15.302388562935045,0.02949890629065837,0.989057719707489,0.00024837919045239687,0.0038541157264262438,0.05215569585561752,0.008773207664489746,0.3015047609806061
38,bert.encoder.layer.0.attention.self.query,0,Q,15.42540329965101,0.028674192724009884,0.989355742931366,0.0002488030295353383,0.003864712081849575,0.05152839049696922,0.008997440338134766,0.29641008377075195
39,bert.encoder.layer.0.attention.self.query,0,Q,15.217955546024772,0.03007936672338628,0.9887568950653076,0.00028822157764807343,0.0038922626990824938,0.05261872708797455,0.00852501392364502,0.3052862584590912
40,bert.encoder.layer.0.attention.self.query,0,Q,15.388040342920473,0.028922282641510245,0.9892356395721436,0.00027720132493413985,0.0038736131973564625,0.051662251353263855,0.008844971656799316,0.29822874069213867
41,bert.encoder.layer.0.attention.self.query,0,Q,15.408458351227207,0.02878651980751427,0.9892610907554626,0.00028101602219976485,0.0038274128455668688,0.05132731422781944,0.008785486221313477,0.29640984535217285
42,bert.encoder.layer.0.attention.self.query,0,Q,15.211766985297807,0.03012158965367471,0.9887619614601135,0.00028101602219976485,0.003863864578306675,0.05279633030295372,0.008617948740720749,0.30581414699554443
43,bert.encoder.layer.0.attention.self.query,0,Q,15.22131356731908,0.030055801475092202,0.9887861609458923,0.00030305649852380157,0.0038350422400981188,0.05262557044625282,0.00858992338180542,0.30481386184692383
44,bert.encoder.layer.0.attention.self.query,0,Q,15.515108914284127,0.02808724145343859,0.9895250201225281,0.00029797025490552187,0.003879970870912075,0.05067901685833931,0.008997350931167603,0.29048991203308105
45,bert.encoder.layer.0.attention.self.query,0,Q,15.588801379139332,0.027614713073415648,0.9896487593650818,0.0003250969748478383,0.00381512101739645,0.05027076229453087,0.009016275405883789,0.289078950881958
46,bert.encoder.layer.0.attention.self.query,0,Q,15.334255998715996,0.029283760204549446,0.9890646934509277,0.00026914809131994843,0.0038481818046420813,0.051878973841667175,0.00869983434677124,0.29945260286331177
47,bert.encoder.layer.0.attention.self.query,0,Q,15.33518495270002,0.029276945656039676,0.9890837669372559,0.00028567842673510313,0.0038498772773891687,0.05213930457830429,0.008767366409301758,0.30267900228500366
48,bert.encoder.layer.0.attention.self.query,0,Q,15.291778329378714,0.029571861147804406,0.9890046715736389,0.00027041963767260313,0.003833770751953125,0.05232569947838783,0.008701622486114502,0.30288517475128174
49,bert.encoder.layer.0.attention.self.query,0,Q,15.478490290526626,0.028325028547509692,0.9894084930419922,0.00028483071946538985,0.00389141496270895,0.051155950874090195,0.008947789669036865,0.29473090171813965
50,bert.encoder.layer.0.attention.self.query,0,Q,15.35440920864138,0.02914707944412014,0.9891185164451599,0.000255584716796875,0.0038778516463935375,0.051960669457912445,0.008844971656799316,0.30052947998046875
51,bert.encoder.layer.0.attention.self.query,0,Q,15.49760891959222,0.028200904220605477,0.9894350171089172,0.00033442178391851485,0.0038435193710029125,0.05061511695384979,0.008870691061019897,0.2907223105430603
