module,layer_idx,sublayer,calibrated_out_bound,baseline_out_bound
bert.encoder.layer.0.attention.self.query,0,Q,3.986342239379883,12.0
bert.encoder.layer.0.attention.self.key,0,K,4.982570314407349,12.0
bert.encoder.layer.0.attention.self.value,0,V,2.1820655465126038,12.0
bert.encoder.layer.0.attention.output.dense,0,O,1.6620663285255433,12.0
bert.encoder.layer.0.intermediate.dense,0,FFN1,8.236742091178895,12.0
bert.encoder.layer.0.output.dense,0,FFN2,3.6710621595382693,12.0
bert.encoder.layer.1.attention.self.query,1,Q,5.3358018636703495,12.0
bert.encoder.layer.1.attention.self.key,1,K,5.133206605911255,12.0
bert.encoder.layer.1.attention.self.value,1,V,2.7818061590194705,12.0
bert.encoder.layer.1.attention.output.dense,1,O,1.2968861997127534,12.0
bert.encoder.layer.1.intermediate.dense,1,FFN1,9.047815561294556,12.0
bert.encoder.layer.1.output.dense,1,FFN2,1.7614046752452852,12.0
bert.encoder.layer.2.attention.self.query,2,Q,6.587220025062561,12.0
bert.encoder.layer.2.attention.self.key,2,K,5.98337709903717,12.0
bert.encoder.layer.2.attention.self.value,2,V,2.8484665632247927,12.0
bert.encoder.layer.2.attention.output.dense,2,O,1.1531170964241029,12.0
bert.encoder.layer.2.intermediate.dense,2,FFN1,6.804265379905701,12.0
bert.encoder.layer.2.output.dense,2,FFN2,1.6604048252105714,12.0
bert.encoder.layer.3.attention.self.query,3,Q,5.290436339378357,12.0
bert.encoder.layer.3.attention.self.key,3,K,4.8168520689010625,12.0
bert.encoder.layer.3.attention.self.value,3,V,2.8658854365348816,12.0
bert.encoder.layer.3.attention.output.dense,3,O,1.194906896352768,12.0
bert.encoder.layer.3.intermediate.dense,3,FFN1,10.67328600883484,12.0
bert.encoder.layer.3.output.dense,3,FFN2,1.5711213648319244,12.0
bert.encoder.layer.4.attention.self.query,4,Q,5.850135898590088,12.0
bert.encoder.layer.4.attention.self.key,4,K,4.891950917243958,12.0
bert.encoder.layer.4.attention.self.value,4,V,3.048862838745117,12.0
bert.encoder.layer.4.attention.output.dense,4,O,1.2640869677066804,12.0
bert.encoder.layer.4.intermediate.dense,4,FFN1,9.897193479537965,12.0
bert.encoder.layer.4.output.dense,4,FFN2,1.5083864092826844,12.0
bert.encoder.layer.5.attention.self.query,5,Q,5.93282904624939,12.0
bert.encoder.layer.5.attention.self.key,5,K,5.39462513923645,12.0
bert.encoder.layer.5.attention.self.value,5,V,3.0507118463516236,12.0
bert.encoder.layer.5.attention.output.dense,5,O,1.3037629008293152,12.0
bert.encoder.layer.5.intermediate.dense,5,FFN1,8.583101320266724,12.0
bert.encoder.layer.5.output.dense,5,FFN2,1.5843841016292572,12.0
bert.encoder.layer.6.attention.self.query,6,Q,6.21999249458313,12.0
bert.encoder.layer.6.attention.self.key,6,K,5.2591063499450685,12.0
bert.encoder.layer.6.attention.self.value,6,V,3.0078800082206727,12.0
bert.encoder.layer.6.attention.output.dense,6,O,1.2107985734939575,12.0
bert.encoder.layer.6.intermediate.dense,6,FFN1,6.801952743530274,12.0
bert.encoder.layer.6.output.dense,6,FFN2,1.4817663073539735,12.0
bert.encoder.layer.7.attention.self.query,7,Q,6.8548870325088505,12.0
bert.encoder.layer.7.attention.self.key,7,K,5.237615704536438,12.0
bert.encoder.layer.7.attention.self.value,7,V,2.6265483498573303,12.0
bert.encoder.layer.7.attention.output.dense,7,O,1.1363325834274292,12.0
bert.encoder.layer.7.intermediate.dense,7,FFN1,6.201451349258423,12.0
bert.encoder.layer.7.output.dense,7,FFN2,1.5521972000598907,12.0
bert.encoder.layer.8.attention.self.query,8,Q,5.725327634811402,12.0
bert.encoder.layer.8.attention.self.key,8,K,4.912537837028504,12.0
bert.encoder.layer.8.attention.self.value,8,V,3.010308802127838,12.0
bert.encoder.layer.8.attention.output.dense,8,O,1.0702171683311463,12.0
bert.encoder.layer.8.intermediate.dense,8,FFN1,5.670431184768677,12.0
bert.encoder.layer.8.output.dense,8,FFN2,2.57292412519455,12.0
bert.encoder.layer.9.attention.self.query,9,Q,5.295713996887208,12.0
bert.encoder.layer.9.attention.self.key,9,K,4.575022602081299,12.0
bert.encoder.layer.9.attention.self.value,9,V,2.9294296145439147,12.0
bert.encoder.layer.9.attention.output.dense,9,O,1.1463665664196014,12.0
bert.encoder.layer.9.intermediate.dense,9,FFN1,7.103695964813233,12.0
bert.encoder.layer.9.output.dense,9,FFN2,3.162409579753876,12.0
bert.encoder.layer.10.attention.self.query,10,Q,5.207623529434204,12.0
bert.encoder.layer.10.attention.self.key,10,K,5.533629655838013,12.0
bert.encoder.layer.10.attention.self.value,10,V,3.1311637043952945,12.0
bert.encoder.layer.10.attention.output.dense,10,O,0.8749795764684678,12.0
bert.encoder.layer.10.intermediate.dense,10,FFN1,5.212738966941834,12.0
bert.encoder.layer.10.output.dense,10,FFN2,2.761814045906067,12.0
bert.encoder.layer.11.attention.self.query,11,Q,4.817621111869812,12.0
bert.encoder.layer.11.attention.self.key,11,K,5.196322703361512,12.0
bert.encoder.layer.11.attention.self.value,11,V,3.3809003949165346,12.0
bert.encoder.layer.11.attention.output.dense,11,O,1.5426462471485138,12.0
bert.encoder.layer.11.intermediate.dense,11,FFN1,4.727685642242432,12.0
bert.encoder.layer.11.output.dense,11,FFN2,4.290009570121765,12.0
