step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
0,tiki,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0001509133435320109,1.0,0.0,0.0,12.348464012145996,1.59293794631958,0.0008391599985770881,2.948601104435511e-05,1.0,1.0,0.0,0.67578125,0.203125,0.0006744835409335792,1.0,0.0,0.0,-0.07813730090856552,0.0,0.00011873035691678524,0.190040722489357,0.99822998046875,0.0,0.0
0,tiki,0,K,bert.encoder.layer.0.attention.self.key,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00014453203766606748,1.0,0.0,0.0,12.348464012145996,1.59293794631958,0.0006771007319912314,2.753376611508429e-05,1.0,1.0,0.0,0.703125,0.169921875,0.0006077527068555355,1.0,0.0,0.0,0.0383547879755497,0.0,0.00011953586363233626,0.23755088448524475,0.9981977674696181,0.0,0.0
0,tiki,0,V,bert.encoder.layer.0.attention.self.value,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00036449890467338264,1.0,0.0,0.0,12.348464012145996,1.59293794631958,0.0017163401935249567,5.374157626647502e-05,1.0,1.0,0.0,0.306640625,0.3671875,0.0016653635539114475,1.0,0.0,0.0,-0.03427813947200775,0.0,0.00012710748706012964,0.190040722489357,0.9981214735243056,0.0,0.0
0,tiki,0,O,bert.encoder.layer.0.attention.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0004159494419582188,1.0,0.0,0.0,2.783843994140625,0.7105172872543335,0.003919390961527824,0.00021309772273525596,1.0,1.0,0.0,0.2109375,0.416015625,0.002012613695114851,1.0,0.0,0.0,0.0028064625803381205,0.0,0.00012541595788206905,0.23755088448524475,0.9981892903645834,0.0,0.0
0,tiki,0,FFN1,bert.encoder.layer.0.intermediate.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00028169818688184023,1.0,0.0,0.0,64.84825897216797,2.9288346767425537,0.0036220760084688663,2.430715539958328e-05,1.0,1.0,0.0,0.62109375,0.220703125,0.0009502190514467657,1.0,0.0,0.0,-0.01383637823164463,0.0,0.00012122745101805776,0.23755088448524475,0.9982024298773872,0.0,0.0
0,tiki,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00023459584917873144,1.0,0.0,0.0,10.115874290466309,1.4161628484725952,0.002715167123824358,0.0001442919747205451,1.0,1.0,0.0,0.67578125,0.19140625,0.0007105841068550944,1.0,0.0,0.0,-0.005634515546262264,0.0,9.237047925125808e-05,0.23755088448524475,0.9986360337999132,0.0,0.0
0,tiki,1,Q,bert.encoder.layer.1.attention.self.query,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00027818733360618353,1.0,0.0,0.0,9.831274032592773,1.682476282119751,0.0037822218146175146,3.949595702579245e-05,1.0,1.0,0.0,0.5703125,0.208984375,0.000994206522591412,1.0,0.0,0.0,-0.0398147813975811,0.0,0.00012436884571798146,0.190040722489357,0.9981757269965278,0.0,0.0
0,tiki,1,K,bert.encoder.layer.1.attention.self.key,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.00020074474741704762,1.0,0.0,0.0,9.831274032592773,1.682476282119751,0.0023316184524446726,3.776912490138784e-05,1.0,1.0,0.0,0.578125,0.26171875,0.0008906101575121284,1.0,0.0,0.0,0.015295184217393398,0.0,0.00012203292862977833,0.23755088448524475,0.9981875949435763,0.0,0.0
0,tiki,1,V,bert.encoder.layer.1.attention.self.value,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0003812971117440611,1.0,0.0,0.0,9.831274032592773,1.682476282119751,0.0027595178689807653,5.373885505832732e-05,1.0,1.0,0.0,0.259765625,0.40625,0.0018624505028128624,1.0,0.0,0.0,0.02436082251369953,0.0,0.00012364389840513468,0.190040722489357,0.9981621636284722,0.0,0.0
0,tiki,1,O,bert.encoder.layer.1.attention.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0005013225600123405,1.0,0.0,0.0,3.2079808712005615,0.7887023687362671,0.004783251788467169,0.0002208948426414281,1.0,1.0,0.0,0.201171875,0.400390625,0.0022097420878708363,1.0,0.0,0.0,0.04091307893395424,0.0,0.00012106629583286121,0.23755088448524475,0.9981858995225694,0.0,0.0
