layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,FFN1,0.975390625,0.024609375,2.9699751848966116e-06,4.988717846572399e-05,0.00024303309619426726,0.0,0.00012096101563656703,0.0,0.0,0.00029927341383881865,1.0,0.0768472645431757,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.983984375,46272.340625,0.024609375,1.0,0.0,0.0,1.0
0,FFN2,0.97890625,0.02109375,2.861403572751442e-06,8.20118933916092e-05,0.0002304278314113617,0.0,0.00012339789682300762,0.0,0.0,0.00023442412784788758,1.0,-0.0009612239897251129,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,46258.828125,0.02109375,0.9780029296875,0.0,0.0,1.0
0,K,0.98671875,0.01328125,1.916018572956091e-06,7.000043988227844e-05,0.0002631181851029396,0.0,5.573514717980288e-05,0.0,0.0,0.00015584086650051178,1.0,0.04974676854908466,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.99140625,41439.31171875,0.01328125,0.756005859375,0.0,0.0,1.0
0,O,0.921875,0.078125,7.64794931455981e-06,1.973658800125122e-05,0.0003568238578736782,1.5129232451727148e-06,0.0001234633949934505,0.0,0.0,0.0004451633431017399,1.0,0.0047224961221218106,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.962890625,71606.00234375,0.078125,1.0,0.0,0.0,1.0
0,Q,0.98515625,0.01484375,2.1269092712827843e-06,6.979936733841896e-05,0.0002396203577518463,0.0,0.00010065059395856225,0.0,0.0,0.00017571399948792532,1.0,0.01835644543170929,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.991796875,41913.7625,0.01484375,0.9780029296875,0.0,0.0,1.0
0,V,0.932421875,0.067578125,6.142610163806239e-06,1.5152152627706528e-05,0.00017375051975250245,0.0,0.00012727036664728075,0.0,0.0,0.000374565803213045,1.0,0.050982695142738524,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.96328125,57728.89921875,0.067578125,1.0,0.0,0.0,1.0
1,FFN1,0.975390625,0.024609375,2.8493880563473793e-06,4.837512969970703e-05,0.00020389423589222132,0.0,0.00011040219978895039,0.0,0.0,0.0002918787067756057,1.0,0.17797382734715939,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984765625,43908.95,0.024609375,1.0,0.0,0.0,1.0
1,FFN2,0.977734375,0.022265625,3.022405007868656e-06,7.361434400081635e-05,0.00022284351289272308,0.0,0.00012702719977824016,0.0,0.0,0.0002547326439525932,1.0,0.050779938139021395,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,47579.98515625,0.022265625,1.0,0.0,0.0,1.0
1,K,0.97734375,0.02265625,3.473927108643693e-06,7.77553766965866e-05,0.0002538861706852913,0.0,0.00014731333358213304,0.0,0.0,0.00022036141308490187,1.0,0.035726354084908964,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984765625,54866.7453125,0.02265625,1.0,0.0,0.0,1.0
1,O,0.90234375,0.09765625,8.58244266055408e-06,2.4538673460483552e-05,0.0003163507208228111,9.998604946304113e-06,0.00012797628151020035,0.0,0.0,0.00045752658043056725,1.0,0.03222094401717186,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.948828125,70421.634375,0.09765625,1.0,0.0,0.0,1.0
1,Q,0.97421875,0.02578125,3.784368254855508e-06,5.3936592303216456e-05,0.0003211753442883492,0.0,0.00014471656177192927,0.0,0.0,0.0003274160088039935,1.0,0.035476038977503774,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98515625,59457.89375,0.02578125,1.0,0.0,0.0,1.0
1,V,0.9375,0.0625,5.5891596275614575e-06,2.3917946964502335e-05,0.0001803626772016287,0.0,0.00011825828405562789,0.0,0.0,0.00042565176263451574,1.0,0.1114038072526455,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.960546875,53609.08671875,0.0625,1.0,0.0,0.0,1.0
2,FFN1,0.97421875,0.02578125,3.3941811125259847e-06,5.226805806159973e-05,0.00024719778448343275,0.0,0.00013578699727077038,0.0,0.0,0.00029212821391411126,1.0,0.14042593091726302,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.983203125,51602.9140625,0.02578125,1.0,0.0,0.0,1.0
2,FFN2,0.980078125,0.019921875,2.849739348675939e-06,7.910430431365967e-05,0.00023887082934379578,0.0,0.00011865997803397476,0.0,0.0,0.00025340814027003945,1.0,0.044839538633823395,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9859375,47275.86171875,0.019921875,0.9780029296875,0.0,0.0,1.0
2,K,0.985546875,0.014453125,2.178811746489373e-06,7.691392675042152e-05,0.00028979405760765076,0.0,8.49856369313784e-05,0.0,0.0,0.00017183124728035182,1.0,-0.04732670783996582,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.992578125,45037.70390625,0.014453125,0.8,0.0,0.0,1.0
2,O,0.90625,0.09375,7.594718954351265e-06,6.689009023830295e-06,0.00016751866787672042,9.061852324521169e-06,0.0001156204627477564,0.0,0.0,0.0005470176984090358,1.0,0.06939849173650145,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.945703125,60285.771875,0.09375,1.0,0.0,0.0,1.0
2,Q,0.973828125,0.026171875,3.656023909570649e-06,8.234195411205292e-05,0.00022503957152366638,0.0,0.0001408642259775661,0.0,0.0,0.00019013267010450363,1.0,-0.0050468535628169775,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.985546875,53188.0109375,0.026171875,1.0,0.0,0.0,1.0
2,V,0.905078125,0.094921875,7.778344206599286e-06,1.2606708332896233e-05,0.00017908472800627352,8.32494188216515e-06,0.00012325681746006012,0.0,0.0,0.0005815786425955594,1.0,0.1370253160595894,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.94921875,61804.88828125,0.094921875,1.0,0.0,0.0,1.0
3,FFN1,0.966796875,0.033203125,4.2042182030854745e-06,3.37461824528873e-05,0.00040871910750865935,0.0,0.00013637722295243294,0.0,0.0,0.0004832078644540161,1.0,0.5635023981332778,1.9166271924972533,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.976171875,20526.617228889467,0.033203125,1.0,0.0,0.0,1.0
3,FFN2,0.97734375,0.02265625,3.2488976103195457e-06,7.733339443802834e-05,0.00021252427250146867,0.0,0.00011870145972352475,0.0,0.0,0.00023968076275195926,1.0,0.015697722136974335,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.987109375,49869.79921875,0.02265625,0.8,0.0,0.0,1.0
3,K,0.980078125,0.019921875,2.8302207738306605e-06,7.355064153671264e-05,0.0002116406336426735,0.0,0.00011450599558884277,0.0,0.0,0.00019783794705290346,1.0,0.02676872406154871,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.991015625,47344.4765625,0.019921875,0.8,0.0,0.0,1.0
3,O,0.9078125,0.0921875,8.157496540661669e-06,1.3025617226958275e-05,0.00021617896854877471,1.3748184210271575e-05,0.0001349946716800332,0.0,0.0,0.0005741968518123031,1.0,0.034528565034270285,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.946484375,66901.190625,0.0921875,1.0,0.0,0.0,1.0
3,Q,0.975390625,0.024609375,3.6330109651316887e-06,4.988834261894226e-05,0.00028221644461154936,0.0,0.00014712655683979392,0.0,0.0,0.00023230689112097025,1.0,0.08237689677625895,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.986328125,56430.175,0.024609375,1.0,0.0,0.0,1.0
3,V,0.94140625,0.05859375,6.012209905748023e-06,2.9200053540989755e-05,0.00018411539494991302,0.0,0.0001310155785176903,0.0,0.0,0.0005291837966069579,1.0,0.028486728295683862,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.96640625,59279.04609375,0.05859375,1.0,0.0,0.0,1.0
4,FFN1,0.971875,0.028125,3.3199697554664454e-06,6.016027182340622e-05,0.00018752701580524445,0.0,0.00012704203254543245,0.0,0.0,0.00031103468500077726,1.0,0.08245718367397785,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.981640625,46447.284375,0.028125,1.0,0.0,0.0,1.0
4,FFN2,0.9796875,0.0203125,3.082008379351464e-06,8.333642035722733e-05,0.00025027382653206585,0.0,0.0001245763349288609,0.0,0.0,0.00027159115415997803,1.0,0.014682990685105323,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,50304.47890625,0.0203125,0.9780029296875,0.0,0.0,1.0
4,K,0.970703125,0.029296875,4.007229017588543e-06,5.954578518867493e-05,0.0002550201490521431,0.0,0.00014219380245776846,0.0,0.0,0.00021952671813778578,1.0,0.03171313339844346,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98359375,56330.34921875,0.029296875,1.0,0.0,0.0,1.0
4,O,0.936328125,0.063671875,6.365657827700488e-06,2.9253587126731872e-05,0.00019765840843319893,0.0,0.00012892928934888915,0.0,0.0,0.0004965371219441295,1.0,0.03869295241311192,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9640625,60608.33125,0.063671875,1.0,0.0,0.0,1.0
4,Q,0.977734375,0.022265625,3.432422136029345e-06,7.275454699993134e-05,0.0002831399440765381,0.0,0.00013794636179227383,0.0,0.0,0.00025585624389350413,1.0,0.00724498835625127,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.986328125,56718.01484375,0.022265625,1.0,0.0,0.0,1.0
