layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,FFN1,0.978515625,0.021484375,2.6148126380576286e-06,5.847960710525513e-05,0.0002250329591333866,0.0,7.558350916951895e-05,0.0,0.0,0.000280310824746266,1.0,-0.10307751297950744,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.985546875,42112.9046875,0.021484375,0.6,0.0,0.0,1.0
0,FFN2,0.97734375,0.02265625,2.893180771934567e-06,6.922706961631775e-05,0.0001926744356751442,0.0,0.0001274461785214953,0.0,0.0,0.00020495113858487457,1.0,0.07719818502664566,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.986328125,45304.97109375,0.02265625,1.0,0.0,0.0,1.0
0,K,0.987890625,0.012109375,1.8786699001793749e-06,9.244196116924286e-05,0.0002337845042347908,0.0,5.597422714345157e-05,0.0,0.0,0.00014350937562994658,1.0,0.0024262629449367523,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.994140625,37643.5541015625,0.012109375,0.4,0.0,0.0,1.0
0,O,0.928515625,0.071484375,6.215957000677008e-06,2.2904202342033387e-05,0.0002019546926021576,0.0,0.00011648536019492894,0.0,0.0,0.00040566648822277785,1.0,0.032197074964642525,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.959375,56758.0078125,0.071484375,1.0,0.0,0.0,1.0
0,Q,0.986328125,0.013671875,1.9986888219136746e-06,8.464697748422623e-05,0.00024294033646583558,0.0,7.489331619581208e-05,0.0,0.0,0.00015270720759872348,1.0,0.00865329725202173,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.99375,40791.13125,0.013671875,0.6,0.0,0.0,1.0
0,V,0.935546875,0.064453125,6.1063865359756164e-06,2.1869689226150514e-05,0.00017600469291210175,0.0,0.000132541470520664,0.0,0.0,0.00035040401853621007,1.0,0.021650941856205464,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.971484375,57929.7953125,0.064453125,1.0,0.0,0.0,1.0
1,FFN1,0.97109375,0.02890625,3.5345558899280148e-06,4.7322362661361694e-05,0.00019889473915100098,0.0,0.00013294827076606452,0.0,0.0,0.00027711175789590925,1.0,0.016044434905052186,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9828125,49677.14453125,0.02890625,1.0,0.0,0.0,1.0
1,FFN2,0.980078125,0.019921875,3.0655667160317535e-06,8.11723992228508e-05,0.00033745840191841127,0.0,0.0001282403347431682,0.0,0.0,0.00022608119179494678,1.0,-0.01843814328312874,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.988671875,54503.7265625,0.019921875,1.0,0.0,0.0,1.0
1,K,0.974609375,0.025390625,3.724055977727403e-06,6.254911422729493e-05,0.00021570657845586537,0.0,0.0001551650551846251,0.0,0.0,0.00020338103640824557,1.0,-0.04734596610069275,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,54931.8203125,0.025390625,1.0,0.0,0.0,1.0
1,O,0.9203125,0.0796875,7.056112644932e-06,2.4843215942382813e-05,0.0002187781035900116,0.0,0.00012172115966677666,0.0,0.0,0.00042258400353603067,1.0,0.05305035375058651,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.953125,61430.70390625,0.0796875,1.0,0.0,0.0,1.0
