step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,single,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,1,1,0.97265625,0.02734375,3.832967195194215e-06,7.05420970916748e-05,0.00021429546177387238,0.0,0.00015068790526129305,0.0,0.0,0.00014838212518952787,1.0,0.11742071807384491,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98046875,54951.19921875,0.02734375,1.0,0.0,0.0,2
0,single,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,1,1,0.984375,0.015625,1.767947196640307e-06,4.158914089202881e-05,0.00014863908290863037,0.0,0.00010608521552057937,0.0,0.0,0.0002474063076078892,1.0,0.021258695051074028,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.990234375,33184.84765625,0.015625,1.0,0.0,0.0,2
0,single,11,Q,bert.encoder.layer.11.attention.self.query,0.001,31,0,1,1,0.98046875,0.01953125,3.193193379047443e-06,8.316338062286377e-05,0.0002695247530937195,0.0,0.00012575587606988847,0.0,0.0,0.0002523203438613564,1.0,-0.06815358996391296,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.99609375,55181.04296875,0.01953125,1.0,0.0,0.0,2
0,single,11,FFN2,bert.encoder.layer.11.output.dense,0.001,31,0,1,1,0.958984375,0.041015625,4.537937456916552e-06,7.495284080505371e-06,0.00021789595484733582,0.0,0.00013429847604129463,0.0,0.001953125,0.0003836950345430523,1.0,0.01902654767036438,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.974609375,55175.72265625,0.041015625,1.0,0.0,0.0,2
2,single,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,1,1,0.974609375,0.025390625,3.300105618109228e-06,6.883218884468079e-05,0.00020348094403743744,0.0,0.0001325045886915177,0.0,0.0,0.00010863627539947629,1.0,0.021585673093795776,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.982421875,48653.03515625,0.025390625,1.0,0.0,0.0,2
2,single,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,1,1,0.966796875,0.033203125,4.441188139026053e-06,7.910467684268951e-05,0.00020437128841876984,0.0,0.0001505363470641896,0.0,0.0,0.0001483121159253642,1.0,0.03354236111044884,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.986328125,56807.53515625,0.033203125,1.0,0.0,0.0,2
2,single,11,Q,bert.encoder.layer.11.attention.self.query,0.001,31,0,1,1,0.984375,0.015625,2.9146681299607735e-06,0.00010508857667446136,0.00027353805489838123,0.0,0.00014514246140606701,0.0,0.0,0.00024846935411915183,1.0,0.0618257150053978,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,54787.9921875,0.015625,1.0,0.0,0.0,2
2,single,11,FFN2,bert.encoder.layer.11.output.dense,0.001,31,0,1,1,0.9296875,0.0703125,8.749371772864833e-06,4.720315337181091e-05,0.0004884675145149231,0.0,0.00015280662046279758,0.0,0.001953125,0.0003129567194264382,1.0,0.027867695316672325,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9609375,86469.53125,0.0703125,1.0,0.0,0.0,2
4,single,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,1,1,0.978515625,0.021484375,3.666380507638678e-06,6.756559014320374e-05,0.00044955871999263763,0.0,0.00014210431254468858,0.0,0.0,0.000149333180161193,1.0,0.022402219474315643,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,65800.21875,0.021484375,1.0,0.0,0.0,2
4,single,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,1,1,0.96484375,0.03515625,4.185243597021326e-06,5.170470103621483e-06,0.00018980354070663452,0.0,0.0001381276233587414,0.0,0.0,0.0002245244977530092,1.0,0.052427683025598526,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98046875,53457.0546875,0.03515625,1.0,0.0,0.0,2
4,single,11,Q,bert.encoder.layer.11.attention.self.query,0.001,31,0,1,1,0.982421875,0.017578125,3.2627494874759577e-06,1.5236437320709229e-05,0.000447174534201622,0.0,0.00012348317250143737,0.0,0.0,0.00023813950247131288,1.0,0.009745271876454353,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.994140625,68558.703125,0.017578125,1.0,0.0,0.0,2
4,single,11,FFN2,bert.encoder.layer.11.output.dense,0.001,31,0,1,1,0.947265625,0.052734375,6.34872503724182e-06,1.3299286365509033e-05,0.0003161914646625519,0.0,0.00015971669927239418,0.0,0.001953125,0.0003488275106064975,1.0,0.013804830610752106,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.974609375,72022.390625,0.052734375,1.0,0.0,0.0,2
