layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,FFN1,0.972265625,0.027734375,3.352548583279713e-06,3.413660451769829e-05,0.000212648487649858,0.0,0.00013379980955505744,0.0,0.0,0.00026718154549598694,1.0,0.19539811313152314,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9796875,48965.8453125,0.027734375,1.0,0.0,0.0,1.0
0,FFN2,0.978125,0.021875,2.8473034944909157e-06,7.342249155044556e-05,0.00019857212901115419,0.0,0.00012925227638334037,0.0,0.0,0.00020818455086555332,1.0,0.028492715442553163,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98984375,45104.28984375,0.021875,1.0,0.0,0.0,1.0
0,K,0.98359375,0.01640625,2.4706163458176888e-06,7.055606693029404e-05,0.0002923421561717987,0.0,0.0001106877054553479,0.0,0.0,0.00013948545965831728,1.0,0.026385629177093507,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.991015625,47652.94765625,0.01640625,0.8,0.0,0.0,1.0
0,O,0.92578125,0.07421875,6.681149989162804e-06,2.2167805582284927e-05,0.00019705109298229218,0.0,0.00012394763471093028,0.0,0.0,0.00039508536574430766,1.0,0.017350310925394297,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.958203125,59475.76015625,0.07421875,1.0,0.0,0.0,1.0
0,Q,0.983203125,0.016796875,2.807038254104555e-06,6.551370024681092e-05,0.00030012046918272974,0.0,0.00011597894917940721,0.0,0.0,0.00014862141106277704,1.0,0.02236034572124481,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.990234375,53398.934375,0.016796875,0.9780029296875,0.0,0.0,1.0
0,V,0.936328125,0.063671875,5.72907383684651e-06,2.2245198488235472e-05,0.00018392372876405716,0.0,0.00012096832215320319,0.0,0.0,0.0003451211145147681,1.0,0.02750449478626251,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.960546875,55136.5875,0.063671875,1.0,0.0,0.0,1.0
1,FFN1,0.971484375,0.028515625,3.617345737438882e-06,5.173496901988983e-05,0.00022286679595708847,0.0,0.00012851782521465792,0.0,0.0,0.00027334757323842495,1.0,-0.02303606364876032,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984375,51402.6234375,0.028515625,1.0,0.0,0.0,1.0
1,FFN2,0.980859375,0.019140625,2.5757053208508298e-06,8.114632219076156e-05,0.0001918315887451172,0.0,0.00012542405602289364,0.0,0.0,0.000222204570309259,1.0,0.01688185604289174,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.987890625,43718.30234375,0.019140625,1.0,0.0,0.0,1.0
1,K,0.98046875,0.01953125,2.9333305974432734e-06,5.544722080230713e-05,0.00026046540588140486,0.0,0.0001108242020563921,0.0,0.0,0.00019767520716413857,1.0,0.020783879340160637,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98828125,50690.1640625,0.01953125,0.9780029296875,0.0,0.0,1.0
1,O,0.91484375,0.08515625,7.675501547055318e-06,1.7634313553571702e-05,0.000237177312374115,0.0,0.00013798139116261154,0.0,0.0,0.00042015202343463897,1.0,0.05661425916478038,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.95078125,66056.93125,0.08515625,1.0,0.0,0.0,1.0
1,Q,0.975,0.025,3.694288216138375e-06,5.853623151779175e-05,0.00024216100573539733,0.0,0.00015001379360910506,0.0,0.0,0.00027642817294690756,1.0,0.029448783630505203,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984765625,55972.553125,0.025,1.0,0.0,0.0,1.0
1,V,0.9296875,0.0703125,6.515078439406352e-06,3.475463017821312e-05,0.00020916685461997987,0.0,0.00012440326536307112,0.0,0.0,0.00038306244532577695,1.0,0.04318024562671781,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.95859375,60330.21015625,0.0703125,1.0,0.0,0.0,1.0
