sublayer,metric,cola_L0_10_mean,squad_L0_10_mean,diff_L0_10,cola_L11,squad_L11
FFN1,QZR_nonzero,0.472451,0.477844,-0.005394,0.397843,0.248367
FFN1,cosine_sim,0.997180,0.997452,-0.000272,0.088974,0.998767
FFN1,EZR,0.001226,0.001510,-0.000284,0.910689,0.000606
FFN1,ODR,183.567073,143.612320,39.954753,8.083376,44.748076
K,QZR_nonzero,0.156252,0.198046,-0.041794,0.357965,0.236688
K,cosine_sim,0.999387,0.999348,0.000039,0.998660,0.999469
K,EZR,0.000000,0.000000,-0.000000,0.000000,0.000000
K,ODR,27.435763,40.130193,-12.694430,77.054325,51.334155
Q,QZR_nonzero,0.151234,0.150297,0.000937,0.069837,0.172733
Q,cosine_sim,0.999409,0.999397,0.000012,0.089306,0.999484
Q,EZR,0.000001,0.000000,0.000001,0.910662,0.000000
Q,ODR,25.150143,24.853765,0.296378,1.244382,29.943648
V,QZR_nonzero,0.104758,0.139838,-0.035080,0.130161,0.153617
V,cosine_sim,0.999558,0.999537,0.000021,0.999408,0.999583
V,EZR,0.000000,0.000000,0.000000,0.100695,0.000000
V,ODR,18.595430,27.355350,-8.759920,44.074052,34.277003
O,QZR_nonzero,0.026237,0.026998,-0.000761,0.033458,0.023942
O,cosine_sim,0.999804,0.999791,0.000014,0.089312,0.999855
O,EZR,0.099987,0.099998,-0.000012,0.919630,0.099995
O,ODR,7.044969,7.246423,-0.201455,0.799004,6.434270
FFN2,QZR_nonzero,0.023556,0.023549,0.000007,0.023021,0.024540
FFN2,cosine_sim,0.999855,0.999855,0.000000,0.089326,0.999852
FFN2,EZR,0.099974,0.099996,-0.000023,0.919559,0.100023
FFN2,ODR,6.303121,6.312107,-0.008987,0.550920,6.627271
FFN1,EZR_cola_seed42_L11,,,,0.910689,
FFN1,EZR_cola_seed43_L11,,,,0.910494,
FFN1,EZR_cola_seed44_L11,,,,0.909257,
K,EZR_cola_seed42_L11,,,,0.000000,
K,EZR_cola_seed43_L11,,,,0.000000,
K,EZR_cola_seed44_L11,,,,0.000000,
Q,EZR_cola_seed42_L11,,,,0.910662,
Q,EZR_cola_seed43_L11,,,,0.910435,
Q,EZR_cola_seed44_L11,,,,0.909237,
V,EZR_cola_seed42_L11,,,,0.100695,
V,EZR_cola_seed43_L11,,,,0.099415,
V,EZR_cola_seed44_L11,,,,0.100610,
O,EZR_cola_seed42_L11,,,,0.919630,
O,EZR_cola_seed43_L11,,,,0.919364,
O,EZR_cola_seed44_L11,,,,0.918342,
FFN2,EZR_cola_seed42_L11,,,,0.919559,
FFN2,EZR_cola_seed43_L11,,,,0.919373,
FFN2,EZR_cola_seed44_L11,,,,0.918338,
