layer_idx,sublayer,layer_name,ratio,cdf
11,K,bert.encoder.layer.11.attention.self.key,5.385293988524609e-09,5e-06
11,K,bert.encoder.layer.11.attention.self.key,1.135174898081459e-06,0.000505
11,K,bert.encoder.layer.11.attention.self.key,2.4385469714616193e-06,0.001005
11,K,bert.encoder.layer.11.attention.self.key,3.6947228636563523e-06,0.001505
11,K,bert.encoder.layer.11.attention.self.key,5.37839878234081e-06,0.002005
11,K,bert.encoder.layer.11.attention.self.key,6.801608378737001e-06,0.002505
11,K,bert.encoder.layer.11.attention.self.key,8.43526140670292e-06,0.003005
11,K,bert.encoder.layer.11.attention.self.key,9.872409464151133e-06,0.003505
11,K,bert.encoder.layer.11.attention.self.key,1.1346693099767435e-05,0.004005
11,K,bert.encoder.layer.11.attention.self.key,1.3168441910238471e-05,0.004505
11,K,bert.encoder.layer.11.attention.self.key,1.484383665228961e-05,0.005005
11,K,bert.encoder.layer.11.attention.self.key,1.6709369447198696e-05,0.005505
11,K,bert.encoder.layer.11.attention.self.key,1.8334338165004738e-05,0.006005
11,K,bert.encoder.layer.11.attention.self.key,2.009939453273546e-05,0.006505
11,K,bert.encoder.layer.11.attention.self.key,2.2245374566409737e-05,0.007005
11,K,bert.encoder.layer.11.attention.self.key,2.4392093109781854e-05,0.007505
11,K,bert.encoder.layer.11.attention.self.key,2.6327614250476472e-05,0.008005
11,K,bert.encoder.layer.11.attention.self.key,2.8372605811455287e-05,0.008505
11,K,bert.encoder.layer.11.attention.self.key,3.0650244298158213e-05,0.009005
11,K,bert.encoder.layer.11.attention.self.key,3.2821168133523315e-05,0.009505
11,K,bert.encoder.layer.11.attention.self.key,3.479414226603694e-05,0.010005
11,K,bert.encoder.layer.11.attention.self.key,3.680420195451006e-05,0.01051
11,K,bert.encoder.layer.11.attention.self.key,3.90113600587938e-05,0.01101
11,K,bert.encoder.layer.11.attention.self.key,4.099702346138656e-05,0.01151
11,K,bert.encoder.layer.11.attention.self.key,4.313340104999952e-05,0.01201
11,K,bert.encoder.layer.11.attention.self.key,4.576247010845691e-05,0.01251
11,K,bert.encoder.layer.11.attention.self.key,4.788667501998134e-05,0.01301
