figure_id,run_tag,layer_name,layer_idx,sublayer,variant,dac_bits,adc_bits,inp_bound,inp_res,res_ratio,step_size,nm_thres,sto_round,EZR,QZR_all,QZR_nonzero,ODR,cosine_sim,l2_retention,rel_l2_error,clip_rate_scaled,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad,QZR_all_pad,task,seed
D,glue_v1,bert.encoder.layer.0.intermediate.dense,0,FFN1,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0006153059328789823,0.567850361764431,0.5675844606757164,192.78705589294432,0.9974569001793862,1.0020175808668137,0.06952533654868603,0.0,0.005713467111345381,0.04379198499023915,0.2889553242921829,0.0,3.122581245406764e-05,8.491903439789894e-05,0.0002485320798587054,0.0006184060809027869,0.2594819691777229,0.6798344770073891,mrpc,42
D,glue_v1,bert.encoder.layer.0.output.dense,0,FFN2,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.10001641523092986,0.12118783224374056,0.0235242289211601,6.279164650440216,0.9998586797714233,1.000138955116272,0.01652670178562403,0.0,0.16146776802837848,0.4570499792695045,0.7649932211637497,0.0,2.5224156879630754e-05,7.415445694277878e-05,0.00017182750281790504,0.0003329963013675297,0.33314087480306626,0.3488272124528885,mrpc,42
D,glue_v1,bert.encoder.layer.0.attention.self.key,0,K,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.10049293760210276,0.10049293760210276,20.94692608833313,0.9994452339410782,1.0005502855777741,0.032193862553685906,0.0,0.0547375675663352,0.2339895648509264,0.605334487259388,0.0,1.5066274909258936e-05,3.7955015432089564e-05,8.6143116986932e-05,0.00017322307685390114,0.2590260836482048,0.3334772703796625,mrpc,42
D,glue_v1,bert.encoder.layer.0.attention.output.dense,0,O,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.10002488680183888,0.12085673235356807,0.02314714329317212,6.220023136138916,0.999859428703785,1.000143129825592,0.016482205726206303,0.0,0.16284574955701828,0.45848388120532035,0.7652011179924011,0.0,3.964927193010226e-05,0.0001089013634918956,0.0002495349261153024,0.0004606158706883434,0.33314386770129206,0.3485789132118225,mrpc,42
D,glue_v1,bert.encoder.layer.0.attention.self.query,0,Q,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.06915234990417957,0.06915234990417957,14.528838543891906,0.9995279264450073,1.0004760330915452,0.02963036863133311,0.0,0.07404031470417977,0.26273398905992507,0.6108340960741043,0.0,1.0468069099260902e-05,3.1099786656341164e-05,8.359905799807166e-05,0.00018768932975945062,0.2590260836482048,0.31026085168123246,mrpc,42
D,glue_v1,bert.encoder.layer.0.attention.self.value,0,V,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.07688001178205013,0.07688001178205013,16.17754288673401,0.9995350530743599,1.0004705369472504,0.029437389224767685,0.0,0.06839474929496646,0.2639200796186924,0.6305703768134117,0.0,3.183721125424199e-05,7.46235311635246e-05,0.00017999439092818647,0.0003494806360686198,0.2590260836482048,0.31598980888724326,mrpc,42
D,glue_v1,bert.encoder.layer.1.intermediate.dense,1,FFN1,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.000813464080565609,0.5378684335947037,0.5374925804138183,167.81223068237304,0.9972283944487572,1.0022141075134277,0.0718286880850792,0.0,0.0066450830828398465,0.04728647291660309,0.28878962859511376,0.0,3.733136686605576e-05,0.00011183411545061971,0.00028858054443844596,0.000596705900024972,0.25962890550494194,0.6576157522201538,mrpc,42
D,glue_v1,bert.encoder.layer.1.output.dense,1,FFN2,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.09994509033858776,0.12168288897722959,0.02415165225043893,6.459812681674958,0.9998516893386841,1.0001497375965118,0.016873952653259038,0.0,0.15739555418491363,0.4501333852112293,0.7598203289508819,0.0,3.1763917995704105e-05,9.123075098614208e-05,0.0002172824749868596,0.00041466039670922327,0.3330828497558832,0.3491883850842714,mrpc,42
D,glue_v1,bert.encoder.layer.1.attention.self.key,1,K,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.12472170889377594,0.12472170889377594,23.72974479675293,0.9993967521190643,1.000595679283142,0.03346601944416761,0.0,0.05020978732034564,0.22938867814838887,0.5842960795760155,0.0,1.588151721534814e-05,4.333453193794412e-05,0.00010590581008727895,0.00020377996886963956,0.2590260836482048,0.351467165350914,mrpc,42
D,glue_v1,bert.encoder.layer.1.attention.output.dense,1,O,baseline,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.10003757633268834,0.12156384568661452,0.023919085720553995,6.412960593700409,0.9998523360490799,1.000149741768837,0.016847234833985567,0.0,0.15833030581474306,0.450669753998518,0.7592107322812081,0.0,4.2484449986659454e-05,0.00011657817063678521,0.0004079131592880003,0.0009997678577201442,0.3331491343677044,0.3490967959165573,mrpc,42
