layer_idx,sublayer,layer_name,ratio,cdf
11,K,bert.encoder.layer.11.attention.self.key,7.322292994160762e-09,5e-06
11,K,bert.encoder.layer.11.attention.self.key,9.743062037159689e-07,0.000505
11,K,bert.encoder.layer.11.attention.self.key,2.06257686841127e-06,0.001005
11,K,bert.encoder.layer.11.attention.self.key,3.428103354963241e-06,0.001505
11,K,bert.encoder.layer.11.attention.self.key,4.866367362410529e-06,0.002005
11,K,bert.encoder.layer.11.attention.self.key,6.259845122258412e-06,0.002505
11,K,bert.encoder.layer.11.attention.self.key,7.844854735594708e-06,0.003005
11,K,bert.encoder.layer.11.attention.self.key,9.409545782546047e-06,0.003505
11,K,bert.encoder.layer.11.attention.self.key,1.0742225640569814e-05,0.004005
11,K,bert.encoder.layer.11.attention.self.key,1.2464376595744397e-05,0.004505
11,K,bert.encoder.layer.11.attention.self.key,1.4260737771110144e-05,0.005005
11,K,bert.encoder.layer.11.attention.self.key,1.5586505469400436e-05,0.005505
11,K,bert.encoder.layer.11.attention.self.key,1.7263573681702837e-05,0.006005
11,K,bert.encoder.layer.11.attention.self.key,1.8625567463459447e-05,0.006505
11,K,bert.encoder.layer.11.attention.self.key,2.0337700334494002e-05,0.007005
11,K,bert.encoder.layer.11.attention.self.key,2.1953863324597478e-05,0.007505
11,K,bert.encoder.layer.11.attention.self.key,2.3891765522421338e-05,0.008005
11,K,bert.encoder.layer.11.attention.self.key,2.601531014079228e-05,0.008505
11,K,bert.encoder.layer.11.attention.self.key,2.7839065296575427e-05,0.009005
11,K,bert.encoder.layer.11.attention.self.key,2.997422416228801e-05,0.009505
11,K,bert.encoder.layer.11.attention.self.key,3.21038969559595e-05,0.010005
11,K,bert.encoder.layer.11.attention.self.key,3.389548510313034e-05,0.01051
11,K,bert.encoder.layer.11.attention.self.key,3.6243935028323904e-05,0.01101
11,K,bert.encoder.layer.11.attention.self.key,3.843868398689665e-05,0.01151
11,K,bert.encoder.layer.11.attention.self.key,4.033776713185944e-05,0.01201
11,K,bert.encoder.layer.11.attention.self.key,4.270346471457742e-05,0.01251
11,K,bert.encoder.layer.11.attention.self.key,4.5066150050843135e-05,0.01301
11,K,bert.encoder.layer.11.attention.self.key,4.712026202469133e-05,0.01351
11,K,bert.encoder.layer.11.attention.self.key,4.9484380724607036e-05,0.01401
11,K,bert.encoder.layer.11.attention.self.key,5.155077815288678e-05,0.01451
11,K,bert.encoder.layer.11.attention.self.key,5.385713666328229e-05,0.01501
11,K,bert.encoder.layer.11.attention.self.key,5.592549860011786e-05,0.01551
11,K,bert.encoder.layer.11.attention.self.key,5.8097259170608595e-05,0.01601
11,K,bert.encoder.layer.11.attention.self.key,6.012924131937325e-05,0.01651
11,K,bert.encoder.layer.11.attention.self.key,6.253015453694388e-05,0.01701
11,K,bert.encoder.layer.11.attention.self.key,6.523989577544853e-05,0.01751
11,K,bert.encoder.layer.11.attention.self.key,6.778028182452545e-05,0.01801
11,K,bert.encoder.layer.11.attention.self.key,7.005513907643035e-05,0.01851
11,K,bert.encoder.layer.11.attention.self.key,7.265627209562808e-05,0.01901
11,K,bert.encoder.layer.11.attention.self.key,7.495409226976335e-05,0.01951
11,K,bert.encoder.layer.11.attention.self.key,7.754346734145656e-05,0.02001
11,K,bert.encoder.layer.11.attention.self.key,8.009660086827353e-05,0.020515
11,K,bert.encoder.layer.11.attention.self.key,8.254725253209472e-05,0.021015
11,K,bert.encoder.layer.11.attention.self.key,8.541026909369975e-05,0.021515
11,K,bert.encoder.layer.11.attention.self.key,8.815913315629587e-05,0.022015
11,K,bert.encoder.layer.11.attention.self.key,9.080512973014265e-05,0.022515
11,K,bert.encoder.layer.11.attention.self.key,9.338356903754175e-05,0.023015
11,K,bert.encoder.layer.11.attention.self.key,9.569434041623026e-05,0.023515
11,K,bert.encoder.layer.11.attention.self.key,9.815092926146463e-05,0.024015
11,K,bert.encoder.layer.11.attention.self.key,0.00010072871373267844,0.024515
11,K,bert.encoder.layer.11.attention.self.key,0.00010305584874004126,0.025015
11,K,bert.encoder.layer.11.attention.self.key,0.00010546398698352277,0.025515
11,K,bert.encoder.layer.11.attention.self.key,0.0001082039816537872,0.026015
11,K,bert.encoder.layer.11.attention.self.key,0.00011104150325991213,0.026515
11,K,bert.encoder.layer.11.attention.self.key,0.00011365553655195981,0.027015
11,K,bert.encoder.layer.11.attention.self.key,0.00011597407865338027,0.027515
11,K,bert.encoder.layer.11.attention.self.key,0.00011840691877296194,0.028015
11,K,bert.encoder.layer.11.attention.self.key,0.00012114202399970964,0.028515
11,K,bert.encoder.layer.11.attention.self.key,0.0001243216684088111,0.029015
11,K,bert.encoder.layer.11.attention.self.key,0.000127320148749277,0.029515
11,K,bert.encoder.layer.11.attention.self.key,0.0001303630560869351,0.030015
11,K,bert.encoder.layer.11.attention.self.key,0.00013290272909216583,0.03052
11,K,bert.encoder.layer.11.attention.self.key,0.00013548150309361517,0.03102
11,K,bert.encoder.layer.11.attention.self.key,0.00013819598825648427,0.03152
11,K,bert.encoder.layer.11.attention.self.key,0.00014146645844448358,0.03202
11,K,bert.encoder.layer.11.attention.self.key,0.00014405170804820955,0.03252
11,K,bert.encoder.layer.11.attention.self.key,0.0001472274452680722,0.03302
11,K,bert.encoder.layer.11.attention.self.key,0.0001499886711826548,0.03352
11,K,bert.encoder.layer.11.attention.self.key,0.0001528445427538827,0.03402
11,K,bert.encoder.layer.11.attention.self.key,0.0001557917712489143,0.03452
11,K,bert.encoder.layer.11.attention.self.key,0.00015909216017462313,0.03502
11,K,bert.encoder.layer.11.attention.self.key,0.00016199774108827114,0.03552
11,K,bert.encoder.layer.11.attention.self.key,0.0001650999765843153,0.03602
11,K,bert.encoder.layer.11.attention.self.key,0.00016801229503471404,0.03652
11,K,bert.encoder.layer.11.attention.self.key,0.00017088072490878403,0.03702
11,K,bert.encoder.layer.11.attention.self.key,0.00017370976274833083,0.03752
11,K,bert.encoder.layer.11.attention.self.key,0.00017653484246693552,0.03802
11,K,bert.encoder.layer.11.attention.self.key,0.0001799659221433103,0.03852
11,K,bert.encoder.layer.11.attention.self.key,0.0001831430126912892,0.03902
11,K,bert.encoder.layer.11.attention.self.key,0.00018554965208750218,0.03952
11,K,bert.encoder.layer.11.attention.self.key,0.00018879992421716452,0.04002
11,K,bert.encoder.layer.11.attention.self.key,0.0001912907900987193,0.040525
11,K,bert.encoder.layer.11.attention.self.key,0.00019446552323643118,0.041025
11,K,bert.encoder.layer.11.attention.self.key,0.00019716341921593994,0.041525
11,K,bert.encoder.layer.11.attention.self.key,0.0002000997046707198,0.042025
11,K,bert.encoder.layer.11.attention.self.key,0.0002033881173701957,0.042525
11,K,bert.encoder.layer.11.attention.self.key,0.00020617859263438731,0.043025
11,K,bert.encoder.layer.11.attention.self.key,0.00020902237156406045,0.043525
11,K,bert.encoder.layer.11.attention.self.key,0.00021199500770308077,0.044025
11,K,bert.encoder.layer.11.attention.self.key,0.0002154050162062049,0.044525
11,K,bert.encoder.layer.11.attention.self.key,0.00021839157852809876,0.045025
11,K,bert.encoder.layer.11.attention.self.key,0.00022121131769381464,0.045525
11,K,bert.encoder.layer.11.attention.self.key,0.00022482221538666636,0.046025
11,K,bert.encoder.layer.11.attention.self.key,0.00022788195929024369,0.046525
11,K,bert.encoder.layer.11.attention.self.key,0.00023086051805876195,0.047025
11,K,bert.encoder.layer.11.attention.self.key,0.00023356470046564937,0.047525
11,K,bert.encoder.layer.11.attention.self.key,0.00023677243734709918,0.048025
11,K,bert.encoder.layer.11.attention.self.key,0.00023999485711101443,0.048525
11,K,bert.encoder.layer.11.attention.self.key,0.0002432824403513223,0.049025
11,K,bert.encoder.layer.11.attention.self.key,0.0002467080776114017,0.049525
11,K,bert.encoder.layer.11.attention.self.key,0.000249889912083745,0.050025
11,K,bert.encoder.layer.11.attention.self.key,0.0002530478232074529,0.05053
11,K,bert.encoder.layer.11.attention.self.key,0.00025671845651231706,0.05103
11,K,bert.encoder.layer.11.attention.self.key,0.000259996741078794,0.05153
11,K,bert.encoder.layer.11.attention.self.key,0.00026323265046812594,0.05203
11,K,bert.encoder.layer.11.attention.self.key,0.00026693588006310165,0.05253
11,K,bert.encoder.layer.11.attention.self.key,0.0002705391380004585,0.05303
11,K,bert.encoder.layer.11.attention.self.key,0.00027383319684304297,0.05353
11,K,bert.encoder.layer.11.attention.self.key,0.0002774392778519541,0.05403
11,K,bert.encoder.layer.11.attention.self.key,0.00028029599343426526,0.05453
11,K,bert.encoder.layer.11.attention.self.key,0.0002841904934030026,0.05503
11,K,bert.encoder.layer.11.attention.self.key,0.00028785233735106885,0.05553
