figure_id,run_tag,layer_name,layer_idx,sublayer,variant,dac_bits,adc_bits,inp_bound,inp_res,res_ratio,step_size,nm_thres,sto_round,EZR,QZR_all,QZR_nonzero,ODR,cosine_sim,l2_retention,rel_l2_error,clip_rate_scaled,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad,QZR_all_pad,seed
B,v3_ABD,bert.encoder.layer.0.intermediate.dense,0,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.4143841463327408,0.877304857969284,0.7904989612102509,160796.69703125,0.949778745174408,1.0265172600746155,0.31808817118406296,0.0,0.001305509575176984,0.0856875455379486,0.33340138792991636,5.352603409392031e-09,0.0018241172190755605,0.007071862882003188,0.04201863145455718,0.21216642968356608,0.3915397724509239,0.9043193262815475,43
B,v3_ABD,bert.encoder.layer.0.output.dense,0,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09997506968677045,0.3101509994268417,0.23352242559194564,7.067547178268432,0.9882957148551941,1.0117661690711974,0.15228322878479958,0.0,0.147919402718544,0.44693711280822757,0.7634287571907044,0.0,0.00129192192456685,0.004709864309988916,0.02752982873469591,0.1148594929650426,0.099994715154171,0.3094466185569763,43
B,v3_ABD,bert.encoder.layer.0.attention.self.key,0,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,9.08007905309205e-09,0.6590990751981736,0.6590990716218948,35.638137874603274,0.9649665296077728,1.0214704978466034,0.26378202319145205,0.0,0.04042095717042685,0.2103171569108963,0.600192973613739,0.0,0.0017970149358734488,0.007904335854109377,0.03903138774447143,0.1389385089278221,0.5515136769413949,0.8473167967796326,43
B,v3_ABD,bert.encoder.layer.0.attention.output.dense,0,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10000291116535663,0.30822924703359605,0.231363395601511,6.988951840400696,0.9873241639137268,1.0128669321537018,0.15776847839355468,0.0,0.1469307716190815,0.4340431821346283,0.7496857964992523,9.38113618076386e-08,0.0025081775279249996,0.009061872982420028,0.062297155503183606,0.29901785410940646,0.10003144286572933,0.3110752946138382,43
B,v3_ABD,bert.encoder.layer.0.attention.self.query,0,Q,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,1.1547074536792935e-05,0.500168978869915,0.5001632049679756,14.807805433273316,0.9636871844530106,1.0313166570663452,0.2681306192278862,0.0,0.07141327492892742,0.2521771851181984,0.6006582415103913,0.0,0.0007051512156613171,0.002862984441453591,0.022535383873619138,0.1352287920936942,0.00022922092308363061,0.5045966455340385,43
B,v3_ABD,bert.encoder.layer.0.attention.self.value,0,V,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.0,0.5892988157272339,0.5892988157272339,24.565927066802978,0.9654523646831512,1.0248605191707612,0.26177567571401594,0.0,0.05347032856196165,0.23601461157202722,0.6102003741264344,9.054821248355438e-09,0.0033866171864792706,0.013103482434526087,0.06474514225497842,0.2183010593801737,0.5515136727690697,0.8160159188508987,43
B,v3_ABD,bert.encoder.layer.1.intermediate.dense,1,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.4315206781029701,0.8807485193014145,0.7902436631917954,168154.733671875,0.9565619504451752,1.027169976234436,0.29422395437955856,0.0,0.0002551306231907802,0.08654939256608486,0.35198375254869463,3.0825836461190194e-09,0.001344844030099921,0.005079186870716512,0.03770054112188518,0.2290018606930971,0.43694244772195817,0.8840401548147202,43
B,v3_ABD,bert.encoder.layer.1.output.dense,1,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09999463491141797,0.3145694836974144,0.23841541558504104,7.321002721786499,0.9878658020496368,1.0119498074054718,0.15365750342607498,0.0,0.14668291181325913,0.44756463170051575,0.7638009637594223,0.0,0.0009677660983288661,0.003506768235238269,0.022971506705507638,0.12041560426354408,0.10000240415334702,0.3198403578996658,43
B,v3_ABD,bert.encoder.layer.1.attention.self.key,1,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,1.0672814596546233e-08,0.7565071314573288,0.756507129073143,49.15238388061523,0.9583813631534577,1.0207068777084352,0.28783950239419936,0.0,0.026613386161625386,0.15204193323850632,0.5492212039232254,0.0,0.0013398693734779953,0.0057895412435755135,0.023317145993933083,0.06426593873649836,0.5515136775374413,0.8908077353239059,43
B,v3_ABD,bert.encoder.layer.1.attention.output.dense,1,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09996449247002602,0.30672301471233365,0.22972264483571053,6.945745525360107,0.9873771959543228,1.012638727426529,0.1569126306474209,0.0,0.1483965176343918,0.43677583009004595,0.7515433239936828,2.0550557451315398e-08,0.0015702645760029554,0.005690299402922392,0.05256150895729661,0.28262136548757555,0.09998634032905102,0.31669354140758516,43
B,v3_ABD,bert.encoder.layer.1.attention.self.query,1,Q,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,5.836951888340991e-05,0.5504405719041824,0.5504142487049103,17.981628608703613,0.9611979734897613,1.0296492564678192,0.27585373669862745,0.0,0.06158470373600721,0.23979362577199936,0.6011535465717316,0.0,0.0004067029275756795,0.0016172798839397728,0.012333109814208001,0.06410377705469728,0.00036215040761817364,0.5084494736790657,43
B,v3_ABD,bert.encoder.layer.1.attention.self.value,1,V,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.0,0.6122567790746689,0.6122567790746689,26.172764797210693,0.9667893713712692,1.0228680074214935,0.2570359794795513,0.0,0.04830340385437012,0.23383782923221588,0.6083617794513703,2.2863623598823324e-08,0.0019193682784680278,0.007970471903681754,0.0386747002415359,0.15643357265740632,0.5515136727690697,0.8262012284994126,43
B,v3_ABD,bert.encoder.layer.2.intermediate.dense,2,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.45968159347772597,0.8552038657665253,0.7320406478643418,112818.8450390625,0.9559184581041336,1.032518711090088,0.2948132392764091,0.0,9.086242448120175e-05,0.10511323548853398,0.3676557174324989,0.0,0.0007655600548605435,0.002768567360471934,0.024185600439086557,0.17978167951107024,0.4610507223010063,0.844606088399887,43
B,v3_ABD,bert.encoder.layer.2.output.dense,2,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10000375226140022,0.42964898198843005,0.36627420008182526,13.241839237213135,0.9763086968660355,1.0169788110256195,0.19773783713579177,0.0,0.09503770619630814,0.40974601328372956,0.743187415599823,0.0,0.0006641714397119358,0.0022755625459831208,0.019929362828843295,0.13100564911961554,0.10001805298030376,0.4599211856722832,43
B,v3_ABD,bert.encoder.layer.2.attention.self.key,2,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.0,0.7996319591999054,0.7996319591999054,71.01641044616699,0.9572818368673325,1.0191891658306123,0.29123946130275724,0.0,0.019471538178622724,0.13129824601113796,0.5087017321586609,0.0,0.000757132731960155,0.0033331995597109198,0.014097962006926536,0.03885153576731682,0.5515136727690697,0.9101849901676178,43
