layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.9886363636363636,0.009030032467532468,0.00045550760842161253,0.017379961254728304,0.07401524590594429,0.0,0.011662476230412722,0.0,0.0,0.0006479099971778402,0.9999746347402597,0.01925044513289369,-1.2412466479105537,1.0001014610389611,1.0,0.0,0.999898538961039,0.00010146103896103897,0.0,0.014331371753246754,0.07251927759740259,0.07795020170839974,0.9886363636363636,0.00022828733766233766,0.0028520966335744053,0.46252906431335133,31.063666436966365,0.0,0.0,1.0,0.0,0.0,1.0,0.011363636363636364,85502177622.02411,0.15365782759920488,0.0,0.9931513798701299,66.91821734715937,0.01473721590909091,0.5037683264001623,0.0,0.0,5.0
0,O,0.9886109983766234,0.011109983766233766,0.00025911890732860734,0.011016628650537172,0.040881947916630024,0.0,0.007123909733415424,0.0,0.0,0.0017229616706135385,1.0,0.019286351030474748,0.013969141194882633,1.0006594967532467,1.0129870129870129,0.0,0.9993658685064936,0.0006341314935064935,0.0,0.012834821428571428,0.06473214285714286,0.09013649007489197,0.9886109983766234,0.00027901785714285713,0.0027380211123071803,0.5413777682652043,15.842904061828921,0.0,0.0,1.0,0.0,0.0,1.0,0.011389001623376624,82056904864.77567,0.11925349653965416,0.0,0.9928977272727273,76.80638059169996,0.011896306818181818,0.4936380757913961,0.0,0.0,5.0
0,Q,0.988864650974026,0.009461241883116884,0.00042483090973374516,0.018954719743364816,0.06495141252488285,0.0,0.01185096051035957,0.0,0.0,0.0007048731497434346,1.0,0.01582300262051323,0.2544691078606751,1.000202922077922,1.0129870129870129,0.0,0.999797077922078,0.00020292207792207794,0.0,0.013494318181818182,0.06503652597402597,0.07926605695391047,0.988864650974026,0.00020292207792207794,0.002732163994019706,0.46310692727747194,31.1957606837734,0.0,0.0,1.0,0.0,0.0,1.0,0.011135349025974026,84289952906.98557,0.1441219745793853,0.0,0.9942674512987013,239.94331660707442,0.013773336038961038,0.49078131341314934,0.0,0.0,5.0
0,V,0.988382711038961,0.011515827922077922,0.0002631108518825941,0.010340415939156498,0.039386510486146074,0.0,0.007438342126279876,0.0,0.0,0.0016323461729205685,0.9999492694805194,0.009856854030233505,-0.17061062373618546,1.0018009334415585,1.0505196707589286,0.0,0.998731737012987,0.001268262987012987,0.0,0.015117694805194806,0.07302658279220779,0.07932904149464622,0.988382711038961,0.0003043831168831169,0.0028063438019364493,0.557794612288088,14.33233361865406,0.0,0.0,1.0,0.0,0.0,1.0,0.011617288961038962,82704503403.66208,0.20514722821026593,0.0,0.9941913555194806,135.54319953210586,0.011972402597402598,0.5311707335633117,0.0,0.0,5.0
1,K,0.988966112012987,0.009435876623376624,0.00041047693683777923,0.01869848988006835,0.0597506259120517,0.0,0.010709353713560608,0.0,0.0,0.0007919918151171035,1.0,0.01536455157937863,-0.8509669924100449,1.0,1.0,0.0,1.0,0.0,0.0,0.016360592532467532,0.08015422077922078,0.06159266770914478,0.988966112012987,0.00022828733766233766,0.0027608075549572027,0.478226009886349,21.689091000705957,0.0,0.0,1.0,0.0,0.0,1.0,0.011033887987012988,73930978799.21461,0.2583711695363164,0.0,0.9938869724025974,160.61398769182122,0.013266030844155844,0.4475351308847403,0.0,0.0,5.0
1,O,0.9887124594155844,0.010957792207792208,0.00025748151028302026,0.011778021328054465,0.03688248515419372,0.0,0.00779122471289298,0.0,0.0,0.0018644953879511496,1.0,0.01342974835798876,0.13817448031231716,1.0006087662337662,1.0129870129870129,0.0,0.9993912337662337,0.0006087662337662338,0.0,0.013570413961038962,0.06493506493506493,0.07735484989409867,0.9887124594155844,0.00022828733766233766,0.002816631145361061,0.5597387252544815,13.467224920724894,0.0,0.0,1.0,0.0,0.0,1.0,0.011287540584415584,92177166470.45953,0.13337963377087608,0.0,0.993557224025974,154.66970915911998,0.01169338474025974,0.5355874594155844,0.0,0.0,5.0
1,Q,0.988763189935065,0.00984172077922078,0.0003995524438524425,0.01879490286644016,0.06087558271435948,0.0,0.010845783166587353,0.0,0.0,0.0008259791401447823,1.0,0.012275870904544151,-0.29459180750781305,1.0002790178571428,1.0129870129870129,0.0,0.9997463474025974,0.0002536525974025974,0.0,0.015168425324675324,0.07335633116883117,0.06624494741599729,0.988763189935065,0.0002536525974025974,0.0026730401849664456,0.44124036388737814,22.119315707161054,0.0,0.0,1.0,0.0,0.0,1.0,0.011236810064935064,74057334719.54024,0.36172629338614803,0.0,0.9936079545454546,129.6049044025657,0.013392857142857142,0.4532486556412338,0.0,0.0,5.0
1,V,0.9881290584415584,0.01176948051948052,0.0002637338706359491,0.010885138639140052,0.03838524227212002,0.0,0.008486673740863607,0.0,0.0,0.0017634354292319833,0.9999239042207793,0.008997656442769258,-0.07683446935027258,1.0025111607142858,1.0505196707589286,0.0,0.9977678571428571,0.002232142857142857,0.0,0.018744926948051948,0.08030641233766234,0.06957860213671145,0.9881290584415584,0.00027901785714285713,0.0028424444423184136,0.5304323708662739,11.050386934117837,0.0,0.0,1.0,0.0,0.0,1.0,0.011870941558441558,91595342503.73964,0.21198217066504207,0.0,0.9934811282467533,88.30172395950123,0.012200689935064936,0.5802620231331169,0.0,0.0,5.0
2,K,0.9886109983766234,0.008979301948051948,0.00046436459326121786,0.018153376931735833,0.07042725950285986,0.0,0.012741009713839981,0.0,0.0,0.0007501359452197158,1.0,0.010194841229266867,0.5811106637006855,1.0000253652597402,1.0,0.0,0.9999746347402597,2.5365259740259742e-05,0.0,0.025010146103896104,0.08804281655844155,0.05540353918615154,0.9886109983766234,0.00022828733766233766,0.0028657644761079172,0.44928615182251125,21.621376520724265,0.0,0.0,1.0,0.0,0.0,1.0,0.011389001623376624,89531806430.64636,0.4878092492708796,0.0,0.9939884334415584,357.4242762889983,0.014864042207792208,0.5037683264001623,0.0,0.0,5.0
2,O,0.9886109983766234,0.011186079545454546,0.00024264032905996934,0.009637136103028987,0.03639351679375032,0.0,0.007056696097878286,0.0,0.0,0.0019947949927386203,0.9999492694805194,0.027844096038811054,0.17550303959121397,1.0001268262987013,1.0,0.0,0.9998731737012987,0.0001268262987012987,0.0,0.014153814935064936,0.06541700487012987,0.07717910624417633,0.9886109983766234,0.00022828733766233766,0.0026800790937714183,0.5610958134102357,11.899035966725318,0.0,0.0,1.0,0.0,0.0,1.0,0.011389001623376624,80037214502.22656,0.10319390421646242,0.0,0.9928469967532467,114.2844764029061,0.01164265422077922,0.5181837205762987,0.0,0.0,5.0
