bits,dw_min,lr_analog,lr_digital,status,elapsed_min,f1
8,0.0078125,0.01051709,0.9394,OK,51.3,76.07
8,0.0078125,0.09514952,0.9394,OK,51.3,75.96
8,0.0078125,0.008172076,0.9394,OK,51.4,75.52
8,0.0078125,0.03848749,0.9394,OK,51.3,75.4
8,0.0078125,0.0323043,0.9394,FAIL(rc=-9),64.7,
10,0.0019531,0.00696759,0.762,OK,51.3,78.33
10,0.0019531,0.001271956,0.762,OK,51.4,78.27
10,0.0019531,0.2976371,0.762,OK,51.3,78.06
10,0.0019531,1.960836,0.762,OK,51.3,77.88
10,0.0019531,0.002472509,0.762,FAIL(rc=-9),65.0,
12,0.00048828,0.04794374,0.8637,OK,51.8,78.85
12,0.00048828,0.1183398,0.8637,OK,51.3,78.44
12,0.00048828,0.02837645,0.8637,OK,51.4,78.14
12,0.00048828,0.005489171,0.8637,OK,51.4,77.59
12,0.00048828,0.001082485,0.8637,FAIL(rc=-9),63.6,
14,0.00012207,0.02156002,0.633,OK,51.6,78.47
14,0.00012207,8.645048,0.633,OK,51.5,78.34
14,0.00012207,0.006103257,0.633,OK,51.7,78.29
14,0.00012207,0.4952295,0.633,OK,51.6,78.1
14,0.00012207,0.02616892,0.633,FAIL(rc=-9),64.9,
