layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,delta_L_pred,dw_fp_dot_dw_eff,cosine_slow_grad,cosine_slow_grad_nz,cosine_slow_fast,cosine_slow_fast_nz,trace_every
0,K,0.99064453125,0.00685546875,4.178882484211499e-06,0.00023405690677464009,0.0008099139621481299,0.0,8.020180626772344e-05,0.0,0.0,0.0005411101649224293,0.99890625,0.016106497915752697,0.015353541015138035,1.01025390625,1.248900146484375,0.0,0.99125,0.00875,0.0,0.009765625,0.01416015625,0.10477335423776822,0.99064453125,7.8125e-05,2.6169669290538877e-05,0.5929376527108252,1172.2364353603125,0.0,0.0,1.0,0.0,0.0,1.0,0.00935546875,592825811.4727215,0.0036753396473912124,0.0,0.01,3.63,0.0047265625,4.76,0.006197916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9944140625,149.87037693804405,0.0130078125,0.359102783203125,0.0,0.0,-4.2475412995734987e-07,4.247541299573498e-08,0.01575993510952685,0.19857235385687091,-0.00025194862668286076,-0.03963045309297741,1.0
0,O,0.991015625,0.00859375,2.276110249113117e-06,0.00013437772664474324,0.00041489955969154836,0.0,3.99983738498122e-05,0.0,0.0,0.0014334112056531012,0.96640625,0.01678773302148329,0.002387569248039654,1.3705859375,3.577901611328125,0.0,0.71935546875,0.28064453125,0.0,0.00810546875,0.01724609375,0.10124671283265343,0.991015625,9.765625e-05,2.4393379208049735e-05,0.5710103801637888,423.2147842264175,0.0,0.0,1.0,0.0,0.0,0.98,0.009167729591836735,487044412.34098786,0.000824166015807205,0.0,0.01,3.54,0.004609375,4.59,0.0059765625,0.0,0.0,0.0,0.0,0.0,0.0,0.9948046875,135.164123545791,0.0095703125,0.2968017578125,0.0,0.0,-5.097691139099858e-07,5.097691139099858e-08,0.016466949473688146,0.18627272183265614,-0.0025944295072986277,-0.07298193833961779,1.0
0,Q,0.99078125,0.0065625,4.167358451923065e-06,0.00023482983582653105,0.0007512946613132954,0.0,9.525411798676941e-05,0.0,0.0,0.0005882515206758398,0.998046875,0.020508638962637632,0.012299556407378986,1.01970703125,1.49340087890625,0.0,0.9835546875,0.0164453125,0.0,0.0094921875,0.01470703125,0.09802961033768952,0.99078125,0.00013671875,2.655542630236596e-05,0.5691069418936968,956.3056366372108,0.0,0.0,1.0,0.0,0.0,0.99,0.009311868686868686,650358178.2012727,0.00027184369653043003,0.0,0.01,3.49,0.004544270833333333,4.7,0.006119791666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.99447265625,63.72040052858783,0.01287109375,0.3980029296875,0.0,0.0,-5.003468975584014e-07,5.003468975584013e-08,0.021450499119237066,0.1921943055390559,0.010265661537123378,0.1049486395028053,1.0
0,V,0.99087890625,0.0087890625,2.3623860386123853e-06,0.00013024390311329624,0.0004068998937145807,0.0,5.1313716612639835e-05,0.0,0.0,0.001295488738687709,0.97439453125,0.020147421429282986,0.003686163328386556,1.13216796875,2.502301025390625,0.0,0.89044921875,0.10955078125,0.0,0.00822265625,0.0179296875,0.09803225334733724,0.99087890625,0.00017578125,2.513316707336344e-05,0.6103825373202563,478.85614147186277,0.0,0.0,1.0,0.0,0.0,0.98,0.009307238520408163,576390579.2264268,0.0007315440633081608,0.0,0.01,3.57,0.0046484375,4.67,0.006080729166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.994609375,281.8691934024757,0.00984375,0.34460205078125,0.0,0.0,-5.954706364719176e-07,5.9547063647191757e-08,0.02105599991584313,0.23333937834416116,0.004586718487116741,0.0765065297897791,1.0
1,K,0.990859375,0.00666015625,3.861329050778295e-06,0.00021693234011763707,0.0006852014851756394,0.0,8.528690370440017e-05,0.0,0.0,0.0007876022813434247,0.9912890625,0.017770972776634152,0.0061909904027197624,1.10216796875,2.981302490234375,0.0,0.93705078125,0.06294921875,0.0,0.00935546875,0.0194140625,0.08101972738419136,0.990859375,0.000234375,2.599778586954926e-05,0.5574622523365542,569.1681616933457,0.0,0.0,1.0,0.0,0.0,1.0,0.009140625,598004463.8272375,0.0010925229373859261,0.0,0.01,3.54,0.004609375,4.67,0.006080729166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.99466796875,201.9148761564493,0.01236328125,0.327901611328125,0.0,0.0,-4.119615036657365e-07,4.119615036657365e-08,0.018018442339089235,0.18862893843092024,0.0024006389843998477,-0.006894751624204218,1.0
1,O,0.9908984375,0.00859375,2.443605731059506e-06,0.00014268042286857963,0.00045894331124145537,0.0,4.6573653307859785e-05,0.0,0.0,0.001467555126582738,0.9655859375,0.018892239099222934,0.0026808017335861224,1.38916015625,3.420101318359375,0.0,0.697109375,0.302890625,0.0,0.0078125,0.0199609375,0.08294786958838812,0.9908984375,0.000234375,2.630671297083609e-05,0.5968468302488327,357.04347313672304,0.0,0.0,1.0,0.0,0.0,0.99,0.009193497474747474,507953251.8978184,0.0003156158315907601,0.0,0.01,3.48,0.00453125,4.66,0.006067708333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.9947265625,198.9725590186239,0.00982421875,0.31460205078125,0.0,0.0,-5.604473328313376e-07,5.6044733283133753e-08,0.019628185271285473,0.18909222468489198,-0.003036662804079242,-0.003107784766318145,1.0
1,Q,0.991015625,0.006875,3.664853727514128e-06,0.00021238895889837294,0.0006477731006452814,0.0,7.570952984679025e-05,0.0,0.0,0.0010354902033577673,0.97876953125,0.01326089995847724,0.0035215500189406156,1.217109375,5.131505126953125,0.00017578125,0.9124609375,0.08736328125,0.00017578125,0.0094140625,0.01916015625,0.08107828611122386,0.991015625,0.00013671875,2.447154390210926e-05,0.42647267851978543,320.86922953009605,0.0,0.0,1.0,0.0,0.0,0.98,0.009167729591836735,545863448.2145461,0.0012861129492321018,0.0,0.01,3.51,0.0045703125,4.59,0.0059765625,0.0,0.0,0.0,0.0,0.0,0.0,0.9947265625,208.60877591125208,0.011796875,0.31900146484375,0.0,0.0,-4.912181952310135e-07,4.912181952310135e-08,0.013239592429308687,0.1767669802398554,0.00045217586390208455,0.04598243169400993,1.0
1,V,0.99103515625,0.00869140625,2.231833612995615e-06,0.00012701840489171446,0.000403908810694702,0.0,4.2227121357427675e-05,0.0,0.0,0.0014045812888070941,0.96626953125,0.013333088724248227,0.0014076646171997708,1.40564453125,3.831302490234375,0.0,0.6953515625,0.3046484375,0.0,0.008671875,0.0201953125,0.08733244666655082,0.99103515625,0.0002734375,2.4122020877257456e-05,0.6063176487572491,376.068970900327,0.0,0.0,1.0,0.0,0.0,0.98,0.00914779974489796,480545430.18521625,0.0012348143678440513,0.0,0.01,3.53,0.004596354166666667,4.57,0.005950520833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.994765625,248.14281261331732,0.0094140625,0.291201171875,0.0,0.0,-3.0715402163927765e-07,3.0715402163927765e-08,0.013809759223368018,0.17754011941427478,0.0025572606787318364,0.007802799287043056,1.0
2,K,0.99103515625,0.00658203125,4.18398705051004e-06,0.00023146290506701917,0.0008182428183499724,0.0,8.156359166605398e-05,0.0,0.0,0.0006368577093235217,0.99541015625,0.008836301878218364,0.0057957872971746835,1.041015625,1.92340087890625,0.0,0.96638671875,0.03361328125,0.0,0.00966796875,0.04083984375,0.06733089485773235,0.99103515625,0.00017578125,2.5464334503340068e-05,0.5122468505427241,616.3337853527069,0.0,0.0,1.0,0.0,0.0,1.0,0.00896484375,597488178.1730801,0.0018857585381987251,0.0,0.01,3.63,0.0047265625,4.58,0.0059635416666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.99455078125,326.08355535290264,0.01244140625,0.327901611328125,0.0,0.0,-2.323467589243622e-07,2.3234675892436218e-08,0.009111949017387815,0.1714660126902163,0.0007789536542259157,0.031102715600281952,1.0
2,O,0.99109375,0.00853515625,2.334924367914937e-06,0.0001547869818750769,0.00040680924139451234,0.0,5.018871306674555e-05,0.0,0.0,0.0017897313623689115,0.9353515625,0.010870743127015884,0.0017465469285434666,1.4375390625,3.400101318359375,0.0,0.656640625,0.343359375,0.0,0.007578125,0.02119140625,0.08290450159925968,0.99109375,9.765625e-05,2.5946389951059245e-05,0.5560789803415537,262.2475846648216,0.0,0.0,1.0,0.0,0.0,0.99,0.008996212121212122,604021498.1902579,0.00031134577731003175,0.0,0.01,3.4,0.004427083333333333,4.54,0.005911458333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.99529296875,265.9860483098502,0.009453125,0.3168017578125,0.0,0.0,-3.844950276388204e-07,3.8449502763882036e-08,0.011582320598245132,0.10200235515720013,0.0002986670541577041,-0.004980852564025407,1.0
