layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.9990234375,0.00078125,4.286563125788234e-07,0.00019308710470795632,0.00019319681450724602,0.0,0.0,0.0,0.0,0.0018020589850493707,0.3302734375,0.003849026281386614,-3.446865448495373e-05,5.6654296875,23.30101318359375,0.0091796875,0.16640625,0.825,0.00859375,0.0625,0.0251953125,0.34098413775209335,0.9990234375,0.0,2.307201339135645e-06,0.28645597100257875,61.25400338172913,0.0,0.0,1.0,0.0,0.0,0.4,0.00244140625,0.0,0.0006651090865838554,0.0,1.0,0.4,0.0005208333333333333,0.5,0.0006510416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9994140625,17.681236929668835,0.0013671875,0.0,0.0,0.0,1.0
0,O,0.99765625,0.001953125,6.252558364394645e-07,0.00012267238926142455,0.0002419438271317631,0.0,0.0,0.0,0.0,0.0046908904041629285,0.173828125,-0.012490648601669818,-3.92734888009727e-05,21.5166015625,77.98306884765626,0.2095703125,0.04375,0.7583984375,0.1978515625,0.0181640625,0.049609375,0.2795431264210492,0.99765625,0.0001953125,6.576376017619623e-06,0.2615349516272545,16.32759960889816,0.0,0.0,1.0,0.0,0.0,0.7,0.0033482142857142855,0.0,2.1191768872813888e-05,0.0,1.0,1.0,0.0013020833333333333,1.2,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,0.99921875,136.10379397960574,0.002734375,0.0,0.0,0.0,1.0
0,Q,0.9982421875,0.0015625,6.576549822057132e-07,0.00019172383472323417,0.00026849727146327496,0.0,0.0,0.0,0.0,0.0017995589747442863,0.316015625,0.0011354955844581128,7.987854951352347e-06,7.879296875,27.51302490234375,0.0171875,0.0962890625,0.888671875,0.0150390625,0.0634765625,0.02421875,0.2801521996152587,0.9982421875,0.0,4.4628592149820175e-06,0.19901230335235595,33.72850317358971,0.0,0.0,1.0,0.0,0.0,0.6,0.0029296875,0.0,1.4582168789605397e-05,0.0,1.0,0.7,0.0009114583333333332,0.9,0.001171875,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234375,118.8050531268893,0.0021484375,0.0,0.0,0.0,1.0
0,V,0.9978515625,0.0021484375,5.822247203468578e-07,0.00016577627975493668,0.00022082554642111063,0.0,0.0,0.0,0.0,0.004068738518981263,0.19296875,0.006215616967529059,0.00039743986581015635,12.3736328125,53.66903076171875,0.08515625,0.073046875,0.8455078125,0.0814453125,0.0220703125,0.04375,0.39780048916582017,0.9978515625,0.0,5.914512439630926e-06,0.30438389629125595,29.872868168354035,0.0,0.0,1.0,0.0,0.0,0.6,0.0035807291666666665,0.0,0.0005069478340124457,0.0,1.0,0.9,0.001171875,1.1,0.0014322916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234375,33.95145517836926,0.00234375,0.0,0.0,0.0,1.0
1,K,0.996875,0.0025390625,1.255182132808841e-06,0.00016639763489365578,0.00034407423809170725,0.0,0.0,0.0,0.0,0.00228643200971419,0.2833984375,0.012464664131402969,0.00019391147179703694,11.0794921875,64.60303955078125,0.0490234375,0.0853515625,0.8681640625,0.046484375,0.0513671875,0.0330078125,0.3125768094789237,0.996875,0.0,7.694945998082403e-06,0.24189166203141213,36.55530606508255,0.0,0.0,1.0,0.0,0.0,0.7,0.004464285714285714,0.0,2.2134165513816006e-05,0.0,1.0,1.0,0.0013020833333333333,1.6,0.0020833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.99765625,53.820635803001096,0.0044921875,0.0,0.0,0.0,1.0
1,O,0.998828125,0.001171875,2.9254848072923777e-07,8.697710291016847e-05,0.0001061622315319255,0.0,0.0,0.0,0.0,0.004588117272942327,0.16640625,0.00921968673937954,-6.324081557522732e-05,22.5875,76.7820556640625,0.238671875,0.040625,0.7326171875,0.2267578125,0.01484375,0.048046875,0.26630060374736786,0.998828125,0.0,3.513082674544421e-06,0.27296039164066316,16.727395522594453,0.0,0.0,1.0,0.0,0.0,0.4,0.0029296875,0.0,0.00026029262257126794,0.0,1.0,0.5,0.0006510416666666666,0.6,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,0.99921875,159.4782171816641,0.001171875,0.0,0.0,0.0,1.0
1,Q,0.998046875,0.001953125,4.529323405222385e-07,9.528836235404015e-05,0.0001433999161235988,0.0,0.0,0.0,0.0,0.003241211685235612,0.2443359375,0.0016633921768516302,-0.00019738530681934208,15.2001953125,130.62908935546875,0.066015625,0.0759765625,0.8611328125,0.062890625,0.0498046875,0.0333984375,0.259919221047312,0.998046875,0.0,3.169794763380196e-06,0.14238382019102575,13.350989496707916,0.0,0.0,1.0,0.0,0.0,0.5,0.00390625,0.0,0.000657518417221992,0.0,1.0,0.8,0.0010416666666666667,1.0,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.998828125,74.88702378418489,0.001953125,0.0,0.0,0.0,1.0
1,V,0.9974609375,0.00234375,8.828805221128278e-07,0.0003052930347621441,0.00036690440028905866,0.0,0.0,0.0,0.0,0.004346455243648961,0.18515625,0.0041530666872859005,6.005324780744559e-05,24.0716796875,92.376123046875,0.2623046875,0.0333984375,0.7173828125,0.24921875,0.0259765625,0.041015625,0.4170397887472063,0.9974609375,0.0,8.796845213510096e-06,0.303753699362278,29.631275022029875,0.0,0.0,1.0,0.0,0.0,0.9,0.0028211805555555555,0.0,0.00033689326793684296,0.0,1.0,0.9,0.001171875,1.3,0.0016927083333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.9986328125,123.17502106774309,0.0029296875,0.0,0.0,0.0,1.0
2,K,0.9966796875,0.0021484375,1.467406764277257e-06,0.00032613249495625494,0.000524540152400732,0.0,0.0,0.0,0.0,0.0018254116846947,0.3720703125,0.010303337595541962,-0.00018689736457417895,7.74609375,32.82301025390625,0.01796875,0.1267578125,0.85703125,0.0162109375,0.0572265625,0.0306640625,0.26520397381391375,0.9966796875,0.0001953125,1.0041736823040992e-05,0.24298209547996522,35.14105764627457,0.0,0.0,1.0,0.0,0.0,0.9,0.003689236111111111,0.0,0.0013786425532199972,0.0,1.0,1.2,0.0015625,1.7,0.0022135416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.998046875,287.3697035851936,0.0046875,0.0,0.0,0.0,1.0
2,O,0.9978515625,0.0021484375,4.774766239279415e-07,0.00010426412336528301,0.00013673636130988597,0.0,0.0,0.0,0.0,0.005504606559406966,0.1595703125,0.10878841830417514,0.00014511245217363467,23.0140625,67.680029296875,0.2595703125,0.0259765625,0.7283203125,0.245703125,0.016796875,0.0396484375,0.2362829434685409,0.9978515625,0.0,5.366544792195782e-06,0.2724229544401169,11.686633896827697,0.0,0.0,1.0,0.0,0.0,0.6,0.0035807291666666665,0.0,2.0202570575107192e-05,0.0,1.0,0.7,0.0009114583333333332,1.1,0.0014322916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.998046875,14.481992716810788,0.00234375,0.0,0.0,0.0,1.0
