layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,delta_L_pred,dw_fp_dot_dw_eff,cosine_slow_grad,cosine_slow_grad_nz,cosine_slow_fast,cosine_slow_fast_nz,trace_every
0,K,0.95783203125,0.041171875,7.310786338621256e-06,3.565699094906449e-05,0.0005577070033177733,0.0,0.00022043192155251745,0.0,0.0,0.0003279811995162163,1.0,0.0876581045333296,0.28616560738533736,1.0,1.0,0.0,1.0,0.0,0.0,0.006171875,0.006953125,0.2972093190794112,0.95783203125,0.011328125,4.834620969631942e-05,0.1508972407085821,2497.4134564208985,0.21978575022891164,0.9502036434412002,0.6172330564260483,0.0,0.0,0.99,0.04259390782828283,1480496403.8458738,0.00016214992169538228,0.3827669434994459,0.02,18.89,0.024596354166666664,21.06,0.027421875,0.39745305351912974,0.21741499798372388,0.4017949419468641,0.21978575022891164,0.020747934971004724,0.3786616342514753,0.9698828125,55283.09012228949,0.0437890625,0.99,0.0,0.0,-1.0772858491936432e-06,1.0772858491936433e-08,0.08578500107862055,0.4052937418937382,0.006471680169343017,0.03190853109940736,1.0
0,O,0.95373046875,0.04607421875,4.980932194484922e-06,2.404648927040398e-05,0.0003524572282913141,0.0,0.00014433542215556373,0.0,0.0,0.000838359092886094,1.0,0.05950766101304907,0.19247819547425024,1.0,1.0,0.0,1.0,0.0,0.0,0.00236328125,0.0098046875,0.2613910535303876,0.95373046875,0.01169921875,5.377299079555087e-05,0.11795620087068528,4533.539962844849,0.1992807157896459,0.9502036488056183,0.6535534816980362,0.0,0.0,0.99,0.046736900252525256,1591560305.5900922,0.00020375747768200292,0.34644651636481283,0.02,20.25,0.0263671875,23.19,0.0301953125,0.35808971866965295,0.1970662542246282,0.36211474999785426,0.1992807157896459,0.01984124081209302,0.34262573257088663,0.97138671875,488.0003839149239,0.04654296875,0.99,0.0,0.0,-1.0393847549305946e-06,1.0393847549305946e-08,0.05871001552935923,0.25837354939266327,-0.003128799933474511,-0.005637764577951395,1.0
0,Q,0.9606640625,0.038046875,7.00272479434716e-06,3.749418072402477e-05,0.0006070398149313405,0.0,0.00020592119100911076,0.0,0.0,0.0003480396923259832,1.0,0.06561262167757377,0.1880948294699192,1.0,1.0,0.0,1.0,0.0,0.0,0.0074609375,0.00841796875,0.24505452438199427,0.9606640625,0.01123046875,4.417795151312021e-05,0.12037159057101235,1924.0071699523926,0.23173519195988773,0.9502036499977112,0.5947605365514755,0.0,0.0,0.99,0.0397332702020202,1375740147.6426032,0.0001787513654159483,0.40523946180939674,0.02,17.58,0.022890625,19.72,0.025677083333333336,0.42222271516919135,0.22912966521456837,0.42703367576003076,0.23173519195988773,0.020785064734518528,0.4007147391140461,0.97392578125,52307.77268798469,0.041328125,0.99,0.0,0.0,-7.571859318433738e-07,7.571859318433738e-09,0.06391361626447178,0.3137770297965317,-0.007109050690341973,-0.03352278405259542,1.0
0,V,0.95388671875,0.04609375,5.262964386929525e-06,2.035800484009087e-05,0.0003374740525032394,0.0,0.00015491462356294504,0.0,0.0,0.0007877416402334347,1.0,0.0808543307846412,0.2384486461058259,1.0,1.0,0.0,1.0,0.0,0.0,0.0028125,0.0090625,0.3158277347392868,0.95388671875,0.011328125,5.636029942252208e-05,0.15945368605665863,6958.354471740723,0.19915054634213447,0.9502036458253861,0.6544680804014206,0.0,0.0,0.99,0.04657907196969697,1677255430.7762117,0.00017735886967460622,0.34553192034363744,0.02,20.23,0.026341145833333336,23.32,0.030364583333333334,0.3571065081655979,0.19703129068017006,0.36093770191073415,0.19915054634213447,0.020119696762412785,0.3418846799433231,0.96673828125,898.5510283595323,0.046171875,0.99,0.0,0.0,-1.6049167884668591e-06,1.604916788466859e-08,0.07955682763655204,0.37383510252329133,0.0036507176869781687,0.013920048541022521,1.0
1,K,0.9614453125,0.0380078125,6.410631326616567e-06,3.8116730283945796e-05,0.00048479471122846006,0.0,0.00020129144075326622,0.0,0.0,0.00046212358865886926,1.0,0.06386269051712588,0.23761451173282694,1.0,1.0,0.0,1.0,0.0,0.0,0.00501953125,0.00931640625,0.24185943137621507,0.9614453125,0.01080078125,4.3433766604721315e-05,0.13909781212336383,3767.4419010925294,0.23598610930144787,0.9502036505937577,0.5870472353696823,0.0,0.0,0.99,0.038944128787878785,1389049454.5451317,0.00017810036221118568,0.41295276261866093,0.02,17.42,0.022682291666666667,19.52,0.025416666666666664,0.43043626703321936,0.2334330367296934,0.43514580763876437,0.23598610930144787,0.021262902058660983,0.4085204911977053,0.973984375,19203.74114944382,0.039609375,0.99,0.0,0.0,-9.463245745910953e-07,9.463245745910953e-09,0.06252295020560268,0.3449654392921601,0.008898520976654254,0.04816343092519527,1.0
1,O,0.9530859375,0.0467578125,5.069383553291118e-06,2.2551309375558048e-05,0.0003334311922662891,0.0,0.00014539474424964281,0.0,0.0,0.0008809581524110399,1.0,0.04385218817042187,0.14382488147879485,1.0,1.0,0.0,1.0,0.0,0.0,0.00203125,0.0107421875,0.23171544098295271,0.9530859375,0.0108984375,5.649390848702751e-05,0.1444541384081822,4371.832272148133,0.1995084161683917,0.9502036517858505,0.6532094150781631,0.0,0.0,0.99,0.04738794191919192,1648958055.4083328,0.0002423161234866347,0.3467905846983194,0.02,20.37,0.0265234375,23.51,0.030611979166666664,0.35890786089003085,0.19734322678297758,0.3628431872278452,0.1995084161683917,0.019664459135383366,0.3430638290196657,0.97248046875,295.77947588424786,0.047109375,0.99,0.0,0.0,-7.522601876419621e-07,7.522601876419621e-09,0.04250286230177153,0.16835404057149786,-0.002061375726480037,-0.008893539066040757,1.0
1,Q,0.9634765625,0.0359375,5.815235963382292e-06,3.7463572807610037e-05,0.0004599731336929835,0.0,0.00018078689514368308,0.0,0.0,0.0005601232628396247,1.0,0.04521478828886757,0.18723021546262317,1.0005078125,1.01,0.0,0.99955078125,0.00044921875,0.0,0.00513671875,0.009453125,0.21158806648803874,0.9634765625,0.00986328125,3.881731385263265e-05,0.11015859277977143,2941.673853626251,0.24690698055550456,0.9502036499977112,0.5664457160234452,0.0,0.0,0.99,0.03689236111111111,1227791746.2551608,0.00018269673262430453,0.43355427965521814,0.02,16.55,0.021549479166666666,18.57,0.0241796875,0.45329739108681677,0.24420212803408503,0.4583349277079105,0.24690698055550456,0.02128372184932232,0.4288334985077381,0.9769921875,8129.06717773334,0.03728515625,0.99,0.0,0.0,-7.739964884290185e-07,7.739964884290185e-09,0.04461886528413743,0.22583395956705013,-0.0024857293610693887,-0.008765498623063769,1.0
1,V,0.95193359375,0.04791015625,5.88259982123418e-06,2.300139225553721e-05,0.0003738996741594747,0.0,0.00017222271853825077,0.0,0.0,0.0009075436016428285,1.0,0.07567332308623008,0.22335868113732432,1.00015625,1.008900146484375,0.0,0.99984375,0.00015625,0.0,0.0029296875,0.00935546875,0.30432809523656035,0.95193359375,0.010703125,6.328089586531859e-05,0.16078642351087183,6310.4108056640625,0.19026757279410958,0.950203647017479,0.6699574983119965,0.0,0.0,0.99,0.048551925505050504,1844197781.5448558,0.0002073740123543201,0.3300425037741661,0.02,21.29,0.027721354166666667,24.26,0.031588541666666664,0.34056557416915895,0.18818544248118996,0.34432130455970766,0.19026757279410958,0.01948811849579215,0.326465402841568,0.96576171875,51.270282329260596,0.048359375,0.99,0.0,0.0,-1.873320571665893e-06,1.873320571665893e-08,0.07658551063854248,0.3528916734562378,-0.002330839189235121,-0.004599295358991984,1.0
2,K,0.96259765625,0.0356640625,7.086613188675983e-06,3.8343309424817564e-05,0.0006070637353695929,0.0,0.00021754140972916503,0.0,0.0,0.0003850453800987452,1.0,0.054538640532409775,0.2305816066171974,1.0,1.0,0.0,1.0,0.0,0.0,0.00599609375,0.0139453125,0.1961949434003327,0.96259765625,0.0103125,4.110744188437821e-05,0.15754410877125338,3259.73982131958,0.23730973368510605,0.9502036476135254,0.5837220931053162,0.0,0.0,0.99,0.0377801452020202,1328050184.7879753,0.00020827754291151662,0.4162779074162245,0.02,17.23,0.022434895833333336,18.83,0.024518229166666666,0.4350218542665243,0.23471780395135283,0.43981725089251994,0.23730973368510605,0.020642174705863,0.41177744619548323,0.9753515625,41757.753943314856,0.0396484375,0.98,0.0,0.0,-7.632520741263082e-07,7.632520741263082e-09,0.06018166899186326,0.33327935095594236,0.0005518672638572753,0.016415657169853496,1.0
2,O,0.95435546875,0.045546875,5.044860367888759e-06,2.289757248945534e-05,0.0003175699495477602,0.0,0.00014537590122927214,0.0,0.0,0.0010360490324092097,1.0,0.035534219549736006,0.08940207671723328,1.0000390625,1.0,0.0,0.9999609375,3.90625e-05,0.0,0.001640625,0.0116015625,0.2149693589191884,0.95435546875,0.010390625,5.6863335485104474e-05,0.16375853032339363,3964.3143184280398,0.20468110406771303,0.9502036571502686,0.6437651073932648,0.0,0.0,0.99,0.04610558712121212,1675197617.1038067,0.0002621424331041087,0.3562348935753107,0.02,19.89,0.0258984375,22.94,0.029869791666666666,0.36951590605080126,0.20254806200042366,0.3733966229110956,0.20468110406771303,0.01977650970220566,0.3525620350986719,0.9738671875,70.89271802585547,0.04576171875,0.98,0.0,0.0,-7.439713029912601e-07,7.439713029912601e-09,0.03565558423870243,0.150797366079959,0.0016448795306496322,0.012930030421814833,1.0
