layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,delta_L_pred,dw_fp_dot_dw_eff,cosine_slow_grad,cosine_slow_grad_nz,cosine_slow_fast,cosine_slow_fast_nz,trace_every
0,K,0.08712890625,0.69298828125,0.0003981795485015027,3.595111193135381e-05,0.0027844688924960792,0.0007315922289853915,0.0015314676507841795,0.0,0.0,0.0004984670531121083,0.99234375,0.13411272438243033,1.2969229220226408,1.0543359375,1.61780029296875,1.953125e-05,0.97533203125,0.0246484375,1.953125e-05,0.009453125,0.01984375,0.09242055313967285,0.08712890625,0.01314453125,0.0025315477629192173,0.0022010587693876006,34.446322526708244,0.0,0.0,1.0,0.0,0.0,1.0,0.91287109375,2.6040669518884134,0.22018503470008163,0.0,0.13,357.14,0.46502604166666667,351.05,0.45709635416666666,0.0,0.0,0.0,0.0,0.0,0.0,0.47419921875,9.981400094018085,1.2405078125,3.593603515625,0.0,0.00034817383682820944,-3.4383624023348605e-05,3.4383624023348603e-06,0.1396807132381946,0.14532735013402998,-0.001392412528330169,-0.0015327830817113864,1.0
0,O,0.0790234375,0.88271484375,0.0002406184806022793,2.119339071214199e-05,0.0018278541555628181,0.0004238978496869095,0.0008088838623370975,0.0,0.0,0.0013891691042226739,0.9651953125,0.11615469377022236,0.25253076291643084,1.47001953125,3.841201171875,0.001875,0.8108984375,0.18728515625,0.00181640625,0.00802734375,0.0191015625,0.10405766388343181,0.0790234375,0.01443359375,0.0025575813325122,0.04251966388488654,47.12590236566961,0.0,0.0,1.0,0.0,0.0,1.0,0.9209765625,2.57994496267403,0.07879959779445508,0.0,0.13,352.55,0.45904947916666666,358.01,0.46615885416666664,0.0,0.0,0.0,0.0,0.0,0.0,0.48427734375,14.429271319433782,0.98462890625,2.036700439453125,0.0,0.0002175163746869657,-4.0177444472533355e-05,4.017744447253335e-06,0.12714136706665158,0.1309625069703907,0.00691726031494909,0.007528834162512794,1.0
0,Q,0.0952734375,0.683984375,0.0003894085204228759,3.139436012133956e-05,0.0019406777352560312,0.0007166537147713825,0.0012928620353341103,0.0,0.0,0.0005721619291580283,0.99009765625,0.11945927569177002,0.9344142467156052,1.124453125,2.074500732421875,1.953125e-05,0.94451171875,0.05546875,1.953125e-05,0.009453125,0.0202734375,0.08131951901239517,0.0952734375,0.01564453125,0.0024933393904939295,0.02728985586378258,67.39389440774917,0.0,0.0,1.0,0.0,0.0,1.0,0.9047265625,2.6120648812117855,0.21411165422580883,0.0,0.13,347.23,0.45212239583333336,340.96,0.44395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.48830078125,29.6436794348082,1.2169921875,3.05340087890625,0.0,0.00035411031160037965,-3.124384605115438e-05,3.124384605115438e-06,0.11663872018223628,0.12176314657204784,0.00017909918853547423,0.00013984193850774318,1.0
0,V,0.08544921875,0.88390625,0.00023736697665299288,1.889660954475403e-05,0.0008360840799286961,0.00042978587938705457,0.0006458374380599707,0.0,0.0,0.001284921457991004,0.9669921875,0.13729266470763832,0.2704549249698175,1.25251953125,3.4168017578125,0.0007421875,0.90076171875,0.09853515625,0.000703125,0.00890625,0.0214453125,0.0921578624623362,0.08544921875,0.01697265625,0.002538401922211051,0.07558099711081014,74.83699963599443,0.0,0.0,1.0,0.0,0.0,1.0,0.91455078125,2.729353313649765,0.10858226048990413,0.0,0.13,355.36,0.46270833333333333,343.99,0.44790364583333336,0.0,0.0,0.0,0.0,0.0,0.0,0.47603515625,17.971751040205152,0.966328125,2.0,0.0,0.00022393221195670776,-4.9096889325994654e-05,4.909688932599465e-06,0.13732645936775953,0.14159702366800048,0.004501527890679427,0.004880837440723553,1.0
1,K,0.099140625,0.69703125,0.00037272012006724255,3.2304369888151996e-05,0.0014964946091640741,0.0006824180384865031,0.0010580750164808706,0.0,0.0,0.0005596339780458947,0.9909375,0.11836606170982122,0.7860982832871377,1.09587890625,2.200101318359375,3.90625e-05,0.956484375,0.04349609375,1.953125e-05,0.00947265625,0.02869140625,0.0652939563574182,0.099140625,0.01568359375,0.0025004686531610787,0.032634756285697224,51.50937133312225,0.0,0.0,1.0,0.0,0.0,1.0,0.900859375,2.6080896455119453,0.20946800615091646,0.0,0.13,351.76,0.4580208333333334,359.05,0.46751302083333335,0.0,0.0,0.0,0.0,0.0,0.0,0.49236328125,19.77749734152435,1.17984375,2.761201171875,0.0,0.00035002770106075333,-2.9282936372965197e-05,2.9282936372965196e-06,0.11288376711308956,0.1179971688427031,-0.005238619153387845,-0.005394869262818247,1.0
1,O,0.08408203125,0.87384765625,0.00023551221922389233,1.8670904682949186e-05,0.0013146382849663497,0.0004286691365996376,0.0007849616603925825,0.0,0.0,0.001530255803372711,0.9559765625,0.10141185373184271,0.18428509399993345,1.51802734375,4.371302490234375,0.0019140625,0.79228515625,0.20591796875,0.001796875,0.0078125,0.0251953125,0.08653464039118262,0.08408203125,0.0152734375,0.0025382276438176633,0.018609081377508118,18.2670139278844,0.0,0.0,1.0,0.0,0.0,1.0,0.91591796875,2.648473338308861,0.07384697186265031,0.0,0.13,351.36,0.4575,351.16,0.45723958333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.498671875,25.542185070270662,0.98005859375,2.01780029296875,0.0,0.0002116966356697958,-4.431334074865845e-05,4.431334074865845e-06,0.10601092503638938,0.10963634239626117,0.0027471353288274257,0.0030447256969637236,1.0
1,Q,0.1011328125,0.69935546875,0.0003707680184743367,3.073682077229023e-05,0.0015261054562870414,0.0006765934091527015,0.0010702413122635334,0.0,0.0,0.0006461159464379307,0.9871484375,0.09075295825721696,0.5578664989443496,1.14189453125,2.633502197265625,7.8125e-05,0.94400390625,0.05591796875,7.8125e-05,0.0093359375,0.02966796875,0.0623104979780328,0.1011328125,0.0134375,0.002487380634993315,0.03867586497857701,50.05667665302754,0.0,0.0,1.0,0.0,0.0,1.0,0.8988671875,2.6416081500978095,0.19650559025795503,0.0,0.13,350.43,0.4562890625,366.46,0.47716145833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.502890625,29.885688131863922,1.173828125,2.775701904296875,0.0,0.0003491641953587532,-2.373595714297849e-05,2.3735957142978493e-06,0.09052974770311266,0.09572176119778306,0.006982926283326378,0.007141054169833297,1.0
1,V,0.08279296875,0.88974609375,0.00023475885158404707,2.0634583197534084e-05,0.0008758416376076639,0.0004207087605027482,0.000639680041349493,0.0,0.0,0.0014458414510590955,0.95736328125,0.121384753966704,0.20711454667150975,1.33908203125,5.0104052734375,0.0013671875,0.8684375,0.13029296875,0.00126953125,0.00833984375,0.025625,0.08406230287102517,0.08279296875,0.01501953125,0.0025458608788903802,0.026910604167496785,24.75242186307907,0.0,0.0,1.0,0.0,0.0,1.0,0.91720703125,2.66527934244114,0.09185255500361764,0.0,0.13,355.52,0.46291666666666664,363.09,0.4727734375,0.0,0.0,0.0,0.0,0.0,0.0,0.48158203125,18.856513957241415,0.96361328125,2.0,0.0,0.00022175316873472185,-5.378822103594416e-05,5.378822103594416e-06,0.1212789951803279,0.12562302280275617,0.011340176935191267,0.011848272389615886,1.0
2,K,0.10984375,0.65150390625,0.0004028502173605375,4.10631624981761e-05,0.0020338021474890413,0.0007665952772367746,0.0014029656315688044,0.0,0.0,0.00046946053014835343,0.99220703125,0.08747235406190157,0.8568075275421143,1.0879296875,2.17340087890625,3.90625e-05,0.95810546875,0.041875,1.953125e-05,0.00958984375,0.04357421875,0.05634491563818301,0.10984375,0.01158203125,0.002483655572868884,0.027383812896441668,44.62159413203597,0.0,0.0,1.0,0.0,0.0,1.0,0.89015625,2.58489678132272,0.2802602578107114,0.0,0.13,359.41,0.46798177083333337,339.03,0.4414453125,0.0,0.0,0.0,0.0,0.0,0.0,0.5107421875,20.835986665417796,1.2376171875,3.2468017578125,0.0,0.0003583434224128723,-1.894781206246421e-05,1.8947812062464208e-06,0.09388379250187427,0.0985996722150594,0.00797662721015513,0.008387436524499208,1.0
2,O,0.08068359375,0.8898046875,0.00023014781734673306,1.9891828997060658e-05,0.0009611818066332489,0.00041476410086033866,0.0006676335103111341,0.0,0.0,0.0018099738060845993,0.94345703125,0.08179066062206403,0.11466603428300004,1.50134765625,4.3868017578125,0.0023828125,0.81173828125,0.186015625,0.00224609375,0.00810546875,0.02625,0.08801232482277556,0.08068359375,0.01314453125,0.0025466160266660156,0.010986512006493285,15.474712880700826,0.0,0.0,1.0,0.0,0.0,1.0,0.91931640625,2.5824110649598992,0.08408493446446091,0.0,0.13,348.45,0.4537109375,352.36,0.45880208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.49955078125,30.690077886606588,0.9653125,2.0,0.0,0.00021387866712757386,-4.004240552291094e-05,4.004240552291094e-06,0.08421870933030733,0.08688898327032803,0.007698548113112338,0.008290114202827681,1.0
