layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.99921875,0.0005859375,3.255976025684504e-06,0.0015353654976934194,0.0015359140466898679,0.0,0.0,0.0,0.0,0.0017675399096333422,0.95625,-0.005534966289997101,-0.0013237456558272242,1.1806640625,2.6780029296875,0.0,0.8640625,0.1359375,0.0,0.0837890625,0.016015625,0.3072219210502226,0.99921875,0.0,1.6192254770430735e-05,0.3361514374613762,68.99156650304795,0.0,0.0,1.0,0.0,0.0,0.3,0.0026041666666666665,0.0,4.60276132302109e-05,0.0,1.0,0.3,0.000390625,0.4,0.0005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.999609375,6.8095412936952275,0.001171875,0.0,0.0,0.0,1.0
0,O,0.997265625,0.0025390625,8.219255732910824e-06,0.00198062012786977,0.0026109986705705524,0.0,0.0,0.0,0.0,0.004600589507026598,0.7296875,0.00533770757028833,0.00014431497565965402,2.662109375,8.556005859375,0.00078125,0.321875,0.67734375,0.00078125,0.05390625,0.0326171875,0.25782756784465166,0.997265625,0.0,9.286626009270549e-05,0.2930718347430229,18.282179766893385,0.0,0.0,1.0,0.0,0.0,0.8,0.00341796875,0.0,0.0003296097894877481,0.0,1.0,1.2,0.0015625,1.4,0.0018229166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.9986328125,288.3327051934013,0.0029296875,0.0,0.0,0.0,1.0
0,Q,0.9974609375,0.0025390625,6.497732829302549e-06,0.0015869188820943237,0.0023826095275580883,0.0,0.0,0.0,0.0,0.0017638888195506297,0.9541015625,0.009273287164978683,0.0006612096287426539,1.298828125,3.3,0.0,0.8001953125,0.1998046875,0.0,0.0822265625,0.016015625,0.24297087467857637,0.9974609375,0.0001953125,4.352775285951793e-05,0.27878386676311495,42.74780647158623,0.0,0.0,1.0,0.0,0.0,0.7,0.003627232142857143,0.0,0.00016363256870606643,0.0,1.0,1.0,0.0013020833333333333,1.3,0.0016927083333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.9982421875,140.27382946794398,0.0025390625,0.0,0.0,0.0,1.0
0,V,0.99765625,0.00234375,6.716528150718659e-06,0.001707786414772272,0.0022733195684850214,0.0,0.0,0.0,0.0,0.003995199262863025,0.77578125,0.004180910252034664,0.00454003283084603,1.7865234375,5.88900146484375,0.0,0.610546875,0.389453125,0.0,0.0609375,0.0251953125,0.3496955211448949,0.99765625,0.0,6.630761927226559e-05,0.35084028355777264,32.10962493270635,0.0,0.0,1.0,0.0,0.0,0.6,0.00390625,0.0,0.01420148028762619,0.0,1.0,1.0,0.0013020833333333333,1.2,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,0.9984375,30.949240449470814,0.0025390625,0.0,0.0,0.0,1.0
1,K,0.9970703125,0.0021484375,1.332083566012443e-05,0.002852869010530412,0.004574522143229842,0.0,0.0,0.0,0.0,0.002231749206839595,0.926953125,-0.005055443616583943,-0.007575094181811437,1.5849609375,7.20101318359375,0.00078125,0.7169921875,0.2822265625,0.00078125,0.0794921875,0.0158203125,0.2672809400188271,0.9970703125,0.0,8.513812572346069e-05,0.29692982994019984,40.37474404275417,0.0,0.0,1.0,0.0,0.0,0.8,0.003662109375,0.0,0.013088209282199361,0.0,1.0,1.0,0.0013020833333333333,1.5,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.9982421875,39.74085483287221,0.0041015625,0.0,0.0,0.0,1.0
1,O,0.9990234375,0.0009765625,1.99673963834357e-06,0.0007451023673638701,0.0009124914417043328,0.0,0.0,0.0,0.0,0.004494093530229293,0.733203125,0.014082010090351104,0.0008428183326032012,2.7322265625,8.34500732421875,0.0001953125,0.2865234375,0.71328125,0.0001953125,0.0458984375,0.034765625,0.2345822929404676,0.9990234375,0.0,2.5100215134443714e-05,0.31049418076872826,17.729382586479186,0.0,0.0,1.0,0.0,0.0,0.4,0.00244140625,0.0,0.003843520238101661,0.0,1.0,0.5,0.0006510416666666666,0.5,0.0006510416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234375,13.976454181831079,0.0009765625,0.0,0.0,0.0,1.0
1,Q,0.9982421875,0.0017578125,5.214468910708092e-06,0.0015748684527352452,0.0019582523964345455,0.0,0.0,0.0,0.0,0.003186055281548761,0.887109375,0.014596165879629553,0.005920218821847812,2.030859375,14.62301025390625,0.0056640625,0.66875,0.32578125,0.00546875,0.0751953125,0.021484375,0.21760308580705895,0.9982421875,0.0,3.680874870042317e-05,0.20699865315109492,18.088984967395664,0.0,0.0,1.0,0.0,0.0,0.5,0.003515625,0.0,0.009690414818339411,0.0,1.0,0.7,0.0009114583333333332,0.9,0.001171875,0.0,0.0,0.0,0.0,0.0,0.0,0.9986328125,51.38254500273244,0.001953125,0.0,0.0,0.0,1.0
1,V,0.99765625,0.00234375,6.3970581322791984e-06,0.0018362659960985185,0.0024540933780372145,0.0,0.0,0.0,0.0,0.0042359765677247195,0.76171875,0.0066115169553086165,0.00019039858889300377,2.85234375,9.41201171875,0.0009765625,0.2748046875,0.72421875,0.0009765625,0.059375,0.0306640625,0.34293338055722417,0.99765625,0.0001953125,6.57179050904233e-05,0.36305641382932663,30.690521386265754,0.0,0.0,1.0,0.0,0.0,0.8,0.0029296875,0.0,0.002260303116130738,0.0,1.0,0.8,0.0010416666666666667,1.2,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,0.9990234375,84.72485688667271,0.0025390625,0.0,0.0,0.0,1.0
2,K,0.996484375,0.0033203125,1.1651378008536994e-05,0.002609372604638338,0.0036967559717595577,0.0,0.0,0.0,0.0,0.0017614757380215451,0.9529296875,0.014974741604237351,-0.001293799068662338,1.2888671875,3.68900146484375,0.0,0.787109375,0.212890625,0.0,0.08359375,0.0185546875,0.22013149394188075,0.996484375,0.0,8.18695072666742e-05,0.29611628837883475,40.3986162006855,0.0,0.0,1.0,0.0,0.0,0.9,0.00390625,0.0,0.049295038660735355,0.0,1.0,1.3,0.0016927083333333332,1.8,0.00234375,0.0,0.0,0.0,0.0,0.0,0.0,0.997265625,560.263359659283,0.004296875,0.0,0.0,0.0,1.0
2,O,0.9978515625,0.0021484375,4.819845617021201e-06,0.0009869834640994668,0.0012470645364373923,0.0,0.0,0.0,0.0,0.0053550306125544015,0.69296875,0.10196253447793424,0.001212641219899524,2.7333984375,7.1780029296875,0.0,0.2384765625,0.7615234375,0.0,0.0453125,0.03828125,0.2134973989217542,0.9978515625,0.0,5.3349489462561905e-05,0.3141700729727745,12.910489124059676,0.0,0.0,1.0,0.0,0.0,0.6,0.0035807291666666665,0.0,0.00022265335594577476,0.0,1.0,0.7,0.0009114583333333332,1.1,0.0014322916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.998046875,17.140111886953584,0.0021484375,0.0,0.0,0.0,1.0
2,Q,0.9986328125,0.0009765625,5.04089757669135e-06,0.0008964300155639649,0.001647685980424285,0.0,0.0,0.0,0.0,0.002060627039463725,0.9306640625,0.019475154113024473,0.0010471710818819701,1.31796875,3.68900146484375,0.0,0.7673828125,0.2326171875,0.0,0.0798828125,0.025390625,0.1796506847254932,0.9986328125,0.0,3.3157126745209097e-05,0.29255099445581434,27.43037341237068,0.0,0.0,1.0,0.0,0.0,0.4,0.00341796875,0.0,0.0001723219098426077,0.0,1.0,0.5,0.0006510416666666666,0.7,0.0009114583333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.998828125,20.033352233593924,0.0017578125,0.0,0.0,0.0,1.0
2,V,0.998828125,0.001171875,2.7716283511836083e-06,0.001032809168100357,0.001188204437494278,0.0,0.0,0.0,0.0,0.005210859910584986,0.709375,0.0020955796630005353,9.320497840690223e-05,3.253515625,8.156005859375,0.0,0.1423828125,0.8576171875,0.0,0.0517578125,0.0328125,0.2601479946868494,0.998828125,0.0,3.00016239634715e-05,0.3164681106805801,12.50871193408966,0.0,0.0,1.0,0.0,0.0,0.5,0.00234375,0.0,0.00010184190363085238,0.0,1.0,0.6,0.00078125,0.6,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,0.999609375,1083.3815814113605,0.001171875,0.0,0.0,0.0,1.0
