layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.998828125,0.0009765625,5.138243359397166e-05,0.01842074990272522,0.020964857563376425,0.0,0.0,0.0,0.0,0.002528170730511192,0.9978515625,0.002013080334290862,-0.0023359966464340685,1.0095703125,1.2,0.0,0.9921875,0.0078125,0.0,0.098046875,0.009375,0.1482284315607103,0.998828125,0.0,0.00030057913390919567,0.49851672165095806,43.88855335600674,0.0,0.0,1.0,0.0,0.0,0.4,0.0029296875,0.0,2.538190486075515,0.0,1.0,0.5,0.0006510416666666666,0.6,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,0.9994140625,22.88292305311221,0.0013671875,0.0,0.0,0.0,1.0
0,O,0.9970703125,0.0029296875,6.46068087007734e-05,0.01598738068714738,0.022491365578025578,0.0,0.0,0.0,0.0,0.006031527736922726,0.99296875,-0.011611359473317862,-0.002280378408067918,1.1482421875,2.0,0.0,0.91953125,0.08046875,0.0,0.0888671875,0.0173828125,0.14427711592434206,0.9970703125,0.0,0.0007495885278331116,0.5063539288938046,17.408263348042965,0.0,0.0,1.0,0.0,0.0,0.9,0.0032552083333333335,0.0,0.0048748895689094875,0.0,1.0,1.3,0.0016927083333333332,1.5,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.9984375,442.07864628211644,0.0029296875,0.0,0.0,0.0,1.0
0,Q,0.9978515625,0.0013671875,9.457379965169821e-05,0.02558042798191309,0.03408391233533621,0.0,0.0,0.0,0.0,0.002481651747075375,0.999609375,0.012676832405850292,0.019850258404039776,1.023828125,1.2,0.0,0.9806640625,0.0193359375,0.0,0.0978515625,0.0140625,0.12622733852294915,0.9978515625,0.0,0.0006298890453763306,0.4522016711067408,34.38380734473467,0.0,0.0,1.0,0.0,0.0,0.7,0.0030691964285714285,0.0,0.004931229362459889,0.0,1.0,0.9,0.0011718749999999997,1.1,0.0014322916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9982421875,162.0401707347567,0.0029296875,0.0,0.0,0.0,1.0
0,V,0.99765625,0.00234375,5.419295084720943e-05,0.011429972108453512,0.01890053041279316,0.0,0.0,0.0,0.0,0.005403977254172787,0.99296875,0.0032985488185659053,-0.028700634578126483,1.03125,1.4,0.0,0.978125,0.021875,0.0,0.0939453125,0.011328125,0.15576515819120687,0.99765625,0.0,0.0005310864245984704,0.5351872745901346,18.746929292008282,0.0,0.0,1.0,0.0,0.0,0.6,0.00390625,0.0,0.6124560754352892,0.0,1.0,1.0,0.0013020833333333333,1.2,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,0.9982421875,67.03180402942542,0.00234375,0.0,0.0,0.0,1.0
1,K,0.9970703125,0.00234375,0.00011174024475621991,0.015593858063220977,0.035274897888302806,0.0,0.0,0.0,0.0,0.0032835013946169054,0.99453125,0.019673091999720782,0.012897384283132852,1.0794921875,2.78900146484375,0.0,0.975390625,0.024609375,0.0,0.09765625,0.013671875,0.11121475459403882,0.9970703125,0.0,0.000692437484394759,0.4488990010693669,23.852007472887635,0.0,0.0,1.0,0.0,0.0,0.7,0.004185267857142857,0.0,0.006415176702370519,0.0,1.0,1.0,0.0013020833333333333,1.5,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.9974609375,112.59793832529044,0.0037109375,0.0,0.0,0.0,1.0
1,O,0.9990234375,0.0009765625,1.3614653107651975e-05,0.0039905371144413945,0.005106406193226576,0.0,0.0,0.0,0.0,0.005747884683660232,0.9931640625,0.010824045911431313,0.0015774402832903433,1.128515625,1.98900146484375,0.0,0.9333984375,0.0666015625,0.0,0.0900390625,0.0154296875,0.12072700080752838,0.9990234375,0.0001953125,0.00016780922014731915,0.511921479087323,15.134473463520408,0.0,0.0,1.0,0.0,0.0,0.3,0.0032552083333333335,0.0,0.0014578916198969866,0.0,1.0,0.4,0.0005208333333333333,0.5,0.0006510416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.999609375,256.4467620187014,0.0009765625,0.0,0.0,0.0,1.0
1,Q,0.9986328125,0.0013671875,5.145850554981735e-05,0.01630066242069006,0.019063976220786573,0.0,0.0,0.0,0.0,0.004200047449558042,0.991796875,-0.002482948638498783,-0.07019327199086547,1.1240234375,3.3,0.0,0.9619140625,0.0380859375,0.0,0.0966796875,0.0134765625,0.10350150462545571,0.9986328125,0.0,0.0003690950252348557,0.38139451295137405,15.804966804385185,0.0,0.0,1.0,0.0,0.0,0.5,0.002734375,0.0,0.8177617634109682,0.0,1.0,0.6,0.00078125,0.7,0.0009114583333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.9994140625,20.923174289818462,0.0015625,0.0,0.0,0.0,1.0
1,V,0.998046875,0.001953125,4.790317834704183e-05,0.017523880302906036,0.02008250020444393,0.0,0.0,0.0,0.0,0.0056532773713115604,0.9931640625,-0.0004156445101216377,-0.0004360911713092719,1.0771484375,1.7,0.0,0.9576171875,0.0423828125,0.0,0.0927734375,0.0142578125,0.1349127708643209,0.998046875,0.0,0.0005045076075475663,0.4975208520889282,14.430806390941143,0.0,0.0,1.0,0.0,0.0,0.8,0.00244140625,0.0,0.0038248561547997925,0.0,1.0,0.8,0.0010416666666666667,1.0,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.998828125,19377.891285055503,0.001953125,0.0,0.0,0.0,1.0
2,K,0.997265625,0.0025390625,8.903545676730573e-05,0.01936129666864872,0.03092607967555523,0.0,0.0,0.0,0.0,0.001848260624683462,0.9998046875,0.007167152152396739,-0.039756651828065516,1.003125,1.1,0.0,0.996875,0.003125,0.0,0.0974609375,0.0240234375,0.09478026363503886,0.997265625,0.0,0.0006229536898899824,0.47186127565801145,27.336555206775664,0.0,0.0,1.0,0.0,0.0,0.8,0.00341796875,0.0,2.7344179372006066,0.0,1.0,1.1,0.0014322916666666666,1.4,0.0018229166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.998046875,66.49575013243495,0.0029296875,0.0,0.0,0.0,1.0
2,O,0.9982421875,0.0017578125,3.5873925480700566e-05,0.01132514262571931,0.013166263978928328,0.0,0.0,0.0,0.0,0.005767765583004803,0.9966796875,0.0013811971992254257,-0.0031327952863648536,1.0724609375,1.5,0.0,0.952734375,0.047265625,0.0,0.0890625,0.01875,0.11071188030618942,0.9982421875,0.0,0.0004071054427186027,0.5032237506005913,11.914672935288399,0.0,0.0,1.0,0.0,0.0,0.6,0.0029296875,0.0,0.0036607061833357547,0.0,1.0,0.7,0.0009114583333333332,0.9,0.001171875,0.0,0.0,0.0,0.0,0.0,0.0,0.99921875,14.839567509353003,0.0017578125,0.0,0.0,0.0,1.0
