layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.1482421875,0.6427734375,0.0003673534432891756,2.9942113906145094e-05,0.002449528407305479,0.0007140443485695869,0.0014117117156274618,0.0,0.0,0.001414707385993097,0.4150390625,0.12669822126626967,0.05101214032620192,4.665234375,19.0340087890625,0.00546875,0.2427734375,0.75234375,0.0048828125,0.0994140625,0.0328125,0.04783518906606332,0.1482421875,0.01328125,0.0023561085225082936,0.20506191346794367,7.68914042962715,0.0,0.0,1.0,0.0,0.0,1.0,0.8517578125,2.7933074206585866,18.504858942253126,0.0,0.2,338.4,0.440625,332.9,0.4334635416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5181640625,10.231503980149757,1.158984375,3.18900146484375,0.0,0.0003238926874473691,1.0
0,O,0.1474609375,0.8140625,0.00022163367975736037,1.9283778965473174e-05,0.0014664101414382457,0.0004178369272267446,0.0008118132711388171,0.0,0.0,0.003920865006512031,0.2091796875,0.1336684912443161,0.0058225255459547045,17.7423828125,60.51302490234375,0.15546875,0.04375,0.8115234375,0.1447265625,0.0994140625,0.02734375,0.05368188190805086,0.1474609375,0.012890625,0.0023649871349334718,0.24262423031032085,3.8193039782345295,0.0,0.0,1.0,0.0,0.0,1.0,0.8525390625,2.9023538254188828,14.825197159063174,0.0,0.2,330.8,0.4307291666666667,339.2,0.4416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.51953125,12.793339839004528,0.9146484375,2.1,0.0,0.0002002176974201575,1.0
0,Q,0.1529296875,0.6388671875,0.00036224920477252455,2.7263537049293518e-05,0.0020517589757218955,0.0007023925136309117,0.00121287670917809,0.0,0.0,0.001510086287453305,0.3826171875,0.11240239178296178,0.03615371653577313,6.568359375,25.168017578125,0.0126953125,0.10625,0.8826171875,0.0111328125,0.0994140625,0.030859375,0.048608895265715546,0.1529296875,0.016796875,0.0023248632904142143,0.14897016960894688,5.172782235592604,0.0,0.0,1.0,0.0,0.0,1.0,0.8470703125,2.8552658892666556,14.927388854399004,0.0,0.2,332.0,0.4322916666666667,324.6,0.42265625,0.0,0.0,0.0,0.0,0.0,0.0,0.5275390625,50.77691883181963,1.1359375,2.8,0.0,0.00033181966282427313,1.0
0,V,0.1587890625,0.8083984375,0.00022078215697547422,8.333846926689148e-06,0.0009058071300387383,0.0004310884018195793,0.0006511701969429851,0.0,0.0,0.0033568862301763145,0.2220703125,0.13186435578390956,0.00806903224438429,9.8857421875,41.5240234375,0.059375,0.0970703125,0.84765625,0.0552734375,0.0986328125,0.0390625,0.04619111524843902,0.1587890625,0.017578125,0.0023649282520636916,0.1891804773360491,3.1579173505306244,0.0,0.0,1.0,0.0,0.0,1.0,0.8412109375,3.141299779164207,7.476749196986082,0.0,0.2,331.6,0.4317708333333333,325.0,0.4231770833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5279296875,20.304999418343094,0.8966796875,2.0,0.0,0.00020641381852328777,1.0
1,K,0.16015625,0.6484375,0.00034473776759114116,1.0139495134353638e-05,0.0015057331882417202,0.0006740889337379485,0.0010545574361458421,0.0,0.0,0.0018205411746748724,0.352734375,0.08605783227831125,0.005514777713688091,8.0537109375,40.992041015625,0.0265625,0.09375,0.8810546875,0.0251953125,0.099609375,0.04609375,0.038175266193775315,0.16015625,0.0154296875,0.0023119814228266477,0.15824252739548683,3.7839078661054373,0.0,0.0,1.0,0.0,0.0,1.0,0.83984375,2.9090381091551842,23.59545095669529,0.0,0.2,334.5,0.435546875,339.4,0.4419270833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.53203125,41.53718015214772,1.1005859375,2.7780029296875,0.0,0.0003199029248207808,1.0
1,O,0.1640625,0.7921875,0.00021409489127108828,4.252046346664429e-06,0.0012574994936585427,0.00042327585688326506,0.0007840264996048063,0.0,0.0,0.003986779562546871,0.1966796875,0.10986163215711713,0.006968973518814892,18.5486328125,63.10101318359375,0.1705078125,0.0408203125,0.7974609375,0.16171875,0.098046875,0.0404296875,0.041822754091845125,0.1640625,0.019921875,0.002321051061153412,0.18570356597192586,2.383864288777113,0.0,0.0,1.0,0.0,0.0,1.0,0.8359375,3.0786551783740412,4.763244370228465,0.0,0.2,328.4,0.4276041666666667,326.7,0.425390625,0.0,0.0,0.0,0.0,0.0,0.0,0.5318359375,17.20414507745353,0.9009765625,2.0,0.0,0.00019276163657195867,1.0
1,Q,0.1625,0.64375,0.000345168262720108,2.002418041229248e-05,0.0014890469959937037,0.0006803062395192682,0.0010924160829745232,0.0,0.0,0.002285662977374159,0.3212890625,0.11604145849123597,0.016977769322693348,9.869921875,64.9020263671875,0.031640625,0.08359375,0.887109375,0.029296875,0.0994140625,0.0451171875,0.03870500421980978,0.1625,0.0158203125,0.0023237322689965366,0.16516924863681198,3.2778897557407616,0.0,0.0,1.0,0.0,0.0,1.0,0.8375,2.9572198793475044,16.516867128570077,0.0,0.2,334.6,0.4356770833333333,347.4,0.45234375,0.0,0.0,0.0,0.0,0.0,0.0,0.5240234375,20.192147274147583,1.0896484375,2.956005859375,0.0,0.00031998393824324013,1.0
1,V,0.1697265625,0.803125,0.0002098188575473614,1.5507638454437257e-05,0.0009035574272274971,0.00040873591788113115,0.000638045568484813,0.0,0.0,0.0037320875271689147,0.212109375,0.08378885909914971,0.0020565696991980075,19.63984375,75.5380615234375,0.190625,0.0333984375,0.78828125,0.1783203125,0.098828125,0.041796875,0.041301133430170014,0.1697265625,0.0197265625,0.002291257889010012,0.16749027352780105,2.166890693176538,0.0,0.0,1.0,0.0,0.0,1.0,0.8302734375,3.068382732303374,8.910398655664647,0.0,0.2,329.1,0.428515625,335.0,0.4361979166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.540234375,16.755893687478643,0.8763671875,2.0,0.0,0.0001970580153283663,1.0
2,K,0.195703125,0.5970703125,0.0003561765159247443,3.0712038278579715e-05,0.0019924546126276256,0.0007291423506103456,0.001364616013597697,0.0,0.0,0.001556307016289793,0.4306640625,0.07533075171522796,0.01594067392870784,6.623828125,31.9020263671875,0.01796875,0.1474609375,0.8353515625,0.0171875,0.1001953125,0.072265625,0.03286930003896486,0.195703125,0.015625,0.00222458231728524,0.21989843845367432,4.854513097554445,0.0,0.0,1.0,0.0,0.0,1.0,0.804296875,2.9753739316724435,29.807247418103866,0.0,0.2,335.5,0.4368489583333333,315.2,0.4104166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5541015625,40.353767629825164,1.1044921875,3.2,0.0,0.0003162441251333803,1.0
2,O,0.1630859375,0.8099609375,0.0002074393691145815,6.41457736492157e-06,0.0009762497618794441,0.0004063043568748981,0.0006708067376166582,0.0,0.0,0.004895496449898928,0.1669921875,0.09619176085107028,0.003197903796535684,20.8357421875,64.15701904296876,0.214453125,0.0259765625,0.7712890625,0.202734375,0.0974609375,0.0376953125,0.04465672453698062,0.1630859375,0.0150390625,0.002297000482212752,0.3439604200422764,3.5691167796961962,0.0,0.0,1.0,0.0,0.0,1.0,0.8369140625,2.8631297051464566,3.749758558051578,0.0,0.2,324.7,0.4227864583333333,329.6,0.4291666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5326171875,46.92440893163092,0.8787109375,2.0,0.0,0.00019388861255720258,1.0
