layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.081640625,0.918359375,7.255967720993794e-05,1.6219913959503173e-06,0.00035299304290674626,0.00011543557775439695,0.00027394452772568913,0.0,0.0,0.0003075130429351702,0.9994140625,0.24749539254698902,0.4885777003131807,1.00078125,1.0,0.0,0.99921875,0.00078125,0.0,0.060546875,0.02734375,0.27897366879624313,0.081640625,0.582421875,0.00046322204289026556,0.11212885323911906,971.2704281806946,0.0,0.0,1.0,0.0,0.0,1.0,0.918359375,1.7839087242483291,0.044151279595945184,0.0,0.2,357.9,0.466015625,351.5,0.4576822916666667,0.0,0.0,0.0,0.0,0.0,0.0,0.415234375,51.977406268821575,0.918359375,1.0,0.0,6.782913405913859e-05,1.0
0,O,0.0810546875,0.9189453125,4.290001597837545e-05,4.5977532863616945e-06,0.00026556692318990827,6.514149572467431e-05,0.00013217650339356624,0.0,0.0,0.0007543106621596962,0.9966796875,0.15510095488280057,0.07117072716355324,1.0939453125,2.18900146484375,0.0,0.9234375,0.0765625,0.0,0.0166015625,0.0443359375,0.26748608355410397,0.0810546875,0.6013671875,0.0004557938169455156,0.11691028960049152,331.72547245025635,0.0,0.0,1.0,0.0,0.0,1.0,0.9189453125,1.7628615541789787,0.016648478567882725,0.0,0.2,350.3,0.4561197916666667,356.1,0.463671875,0.0,0.0,0.0,0.0,0.0,0.0,0.4619140625,9.38974379311583,0.9189453125,1.0,0.0,4.140723613090813e-05,1.0
0,Q,0.081640625,0.918359375,7.155768544180319e-05,4.075467586517334e-06,0.00031019337475299833,0.00011561508727027103,0.00020156297396169975,0.0,0.0,0.0003243360974011011,1.0,0.22957297898828982,0.4166704401373863,1.00390625,1.1,0.0,0.996484375,0.003515625,0.0,0.06484375,0.02734375,0.24347329649608582,0.081640625,0.6056640625,0.00045596276468131693,0.08842970727710053,570.8998673439025,0.0,0.0,1.0,0.0,0.0,1.0,0.918359375,1.782617722657756,0.03927826181380596,0.0,0.2,351.8,0.4580729166666667,344.0,0.4479166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.443359375,6.170428988852064,0.918359375,1.0,0.0,6.948939990252257e-05,1.0
0,V,0.08203125,0.91796875,4.2893833233392796e-05,4.023313522338867e-07,9.558424353599549e-05,6.737446310580708e-05,8.691489783814177e-05,0.0,0.0,0.0007135731226298958,0.996875,0.2212927180342376,0.09872737389523537,1.0337890625,1.5,0.0,0.9701171875,0.0298828125,0.0,0.0263671875,0.041015625,0.31566627488937227,0.08203125,0.5751953125,0.000459112148382701,0.11914870329201221,415.9677131652832,0.0,0.0,1.0,0.0,0.0,1.0,0.91796875,1.8232364948062372,0.01984792876874952,0.0,0.2,354.1,0.4610677083333333,343.7,0.4475260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.415234375,49.2720527915731,0.91796875,1.0,0.0,4.4673669617623093e-05,1.0
1,K,0.0830078125,0.9169921875,6.794203436584212e-05,4.231184720993042e-06,0.00018553929403424262,0.00010803007535287179,0.00014833489258307963,0.0,0.0,0.0003820347468717955,0.9982421875,0.20055367052555084,0.26251098811626433,1.0228515625,1.68900146484375,0.0,0.9869140625,0.0130859375,0.0,0.0580078125,0.02890625,0.24492918212199583,0.0830078125,0.595703125,0.00045592799433507024,0.11741630025207997,586.936844587326,0.0,0.0,1.0,0.0,0.0,1.0,0.9169921875,1.7328070487091587,0.03911856686205225,0.0,0.2,355.5,0.462890625,364.0,0.4739583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4318359375,6.382271303388446,0.9169921875,1.0,0.0,6.836884494987316e-05,1.0
1,O,0.0751953125,0.9248046875,4.2954754826496354e-05,6.064772605895997e-07,0.00020060949027538298,6.895962578710169e-05,0.0001220921469212044,0.0,0.0,0.0007891752844443545,0.9970703125,0.16562113277614116,0.07432956136763096,1.103515625,2.28900146484375,0.0,0.9115234375,0.0884765625,0.0,0.0169921875,0.0427734375,0.23665577368810772,0.0751953125,0.5828125,0.0004631233314285055,0.09133744698483497,194.4286805152893,0.0,0.0,1.0,0.0,0.0,1.0,0.9248046875,1.8114573596317611,0.017150131726409442,0.0,0.2,353.6,0.4604166666666667,354.5,0.4615885416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4583984375,8.084590409501038,0.9248046875,1.0,0.0,4.11331006034743e-05,1.0
1,Q,0.0875,0.9125,6.881729568704031e-05,5.314499139785766e-06,0.00022446215152740478,0.00010776568087749183,0.0001529814107925631,0.0,0.0,0.0005461023829411715,0.99296875,0.15912570583168417,0.15737833520397543,1.083203125,2.88900146484375,0.0001953125,0.9736328125,0.026171875,0.0001953125,0.0529296875,0.0310546875,0.2135302223963663,0.0875,0.5734375,0.0004607874230714515,0.05476857461035252,161.0939025402069,0.0,0.0,1.0,0.0,0.0,1.0,0.9125,1.7979446383294697,0.03577495770019385,0.0,0.2,354.5,0.4615885416666667,369.9,0.481640625,0.0,0.0,0.0,0.0,0.0,0.0,0.446484375,42.43503634453647,0.9125,1.0,0.0,6.911608288646675e-05,1.0
1,V,0.0765625,0.9234375,4.288187446945813e-05,2.8170645236968996e-06,0.00011725910007953644,6.602115972782485e-05,8.935551450122148e-05,0.0,0.0,0.0007793380529619754,0.9921875,0.22229624465107917,0.08924677446484566,1.1005859375,2.3780029296875,0.0,0.92109375,0.07890625,0.0,0.0298828125,0.0423828125,0.3123440597439185,0.0765625,0.596875,0.0004652005096431822,0.10020299004390835,361.5777341544628,0.0,0.0,1.0,0.0,0.0,1.0,0.9234375,1.8125500291171668,0.0197306956609411,0.0,0.2,357.8,0.4658854166666667,365.5,0.4759114583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.41796875,4.871563218488129,0.9234375,1.0,0.0,4.3914245907217264e-05,1.0
2,K,0.091796875,0.908203125,7.431646627082955e-05,7.076561450958252e-06,0.00030184537172317505,0.000130764734785771,0.0002158697316190228,0.0,0.0,0.00033463230065535756,0.9998046875,0.19750623647123575,0.3390334241092205,1.0052734375,1.1,0.0,0.9947265625,0.0052734375,0.0,0.0599609375,0.0357421875,0.21211618328816256,0.091796875,0.5736328125,0.00045609435474034397,0.12884128484874963,732.6373569488526,0.0,0.0,1.0,0.0,0.0,1.0,0.908203125,1.6890048319990463,0.04204572537447311,0.0,0.2,364.5,0.474609375,344.3,0.4483072916666667,0.0,0.0,0.0,0.0,0.0,0.0,0.430078125,8.917643048555039,0.908203125,1.0,0.0,7.054448360577226e-05,1.0
2,O,0.0853515625,0.9146484375,4.133332695346326e-05,3.2942742109298704e-06,0.00013874620199203492,6.58850225590868e-05,9.784421272343024e-05,0.0,0.0,0.0009296365198679269,0.9890625,0.11019671522080898,0.035120274499058725,1.0845703125,2.0,0.0,0.91796875,0.08203125,0.0,0.0146484375,0.0482421875,0.21460946395527572,0.0853515625,0.5923828125,0.00045725995441898705,0.11733512971550226,229.56337537765503,0.0,0.0,1.0,0.0,0.0,1.0,0.9146484375,1.7456029210417743,0.016351256712530186,0.0,0.2,346.6,0.4513020833333333,350.1,0.455859375,0.0,0.0,0.0,0.0,0.0,0.0,0.4767578125,11.312025929773906,0.9146484375,1.0,0.0,4.114093026146293e-05,1.0
