[I 2026-02-27 09:12:28,643] A new study created in RDB with name: bert_squad_tiki_qkv_ntanalog_nlos_tiki_flr001_1_lr0001_01_20trials
Some weights of BertForQuestionAnswering were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['qa_outputs.bias', 'qa_outputs.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Task: SQuAD v1.1, Metric: F1
BSZ: 48, max_seq: 384, epochs: 2
Train batches: 1845, Eval features: 10784

======================================================================
[CONFIG REPORT]
======================================================================
  Model         : bert-base-uncased
  Task          : SQuAD v1.1 | Metric: F1
  Batch size    : 48 (train), 256 (eval)
  Max seq len   : 384, Doc stride: 128
  Epochs        : 2, Early stop patience: 2
  Optimizer     : AnalogSGD
  Analog LR     : sweep [0.001, 0.1] (log)
  Classifier/LN : same as analog LR
  Weight decay  : 0 (fixed)
  Warmup ratio  : 0.0500
  Warmup target : analog tile ONLY (classifier/LayerNorm -> no warmup, full LR from step 0)
  min_lr_rate   : 0.5 (decay to 50% of peak LR)
  LORA target   : qkv -> ['attention (q,k,v,W_O)']
  Target config : TikiTaka
  Head layer    : train
  Target layers : all
  Nontarget     : singleRPU(frozen)
  transfer_every: 1 (fixed, uim=True, every mini-batch)
  TLR range     : (1.0, 1.0), FLR range: (0.01, 1.0)
  desired_bl    : 31
  Clip grad     : analog=False, digital=norm(1.0)
  Seed          : 42
  Sampler       : tpe
  Train batches : 1845, Eval features: 10784
======================================================================

  Early stop patience: 2, Pruner: Median, startup=5, warmup=1

Study: bert_squad_tiki_qkv_ntanalog_nlos_tiki_flr001_1_lr0001_01_20trials, Device: cuda, New trials: 20

======================================================================
Trial 0 Starting (squad, metric=F1)
======================================================================
  transfer_every=1, transfer_lr=1.0000e+00, fast_lr=7.9695e-01, desired_bl=31
  lr=5.61e-03, wd=0.00e+00
  momentum=0.00, nesterov=False, optimizer=AnalogSGD
  min_lr_rate=0.5000
  warmup_ratio=0.0500, warmup_target=analog_tile_only  [classifier/LayerNorm: no warmup]
======================================================================
  [GPU] Before model: alloc=0.00GB, reserved=0.00GB
  [FIX] Reinitialized qa_outputs with FIXED seed=42
  TikiTaka: 48, Ideal(train): 0, SingleRPU(train): 0, Ideal(frozen): 0, NT SingleRPU: 24, Total analog: 72, Total params: 23,959,010
  Trainable: 40,418
  Target: qkv -> ['attention (q,k,v,W_O)']
  [VERIFY] Target tiles: 48 trainable, 0 FROZEN | Non-target frozen: 24 | Analog weight params: 84,934,656
  [GPU] After model+optimizer: alloc=0.09GB, reserved=0.11GB

Trial 0 Ep1:   0%|                                                                                                      | 0/1845 [00:00<?, ?it/s]
Trial 0 Ep1:   0%|                                                                                         | 0/1845 [00:06<?, ?it/s, loss=5.9571]
Trial 0 Ep1:   0%|                                                                               | 1/1845 [00:06<3:04:59,  6.02s/it, loss=5.9571]
Trial 0 Ep1:   0%|                                                                               | 1/1845 [00:21<3:04:59,  6.02s/it, loss=5.9260]
Trial 0 Ep1:   0%|                                                                               | 2/1845 [00:21<5:58:35, 11.67s/it, loss=5.9260]
Trial 0 Ep1:   0%|                                                                               | 2/1845 [00:37<5:58:35, 11.67s/it, loss=5.8738]
Trial 0 Ep1:   0%|▏                                                                              | 3/1845 [00:37<7:01:22, 13.73s/it, loss=5.8738]
Trial 0 Ep1:   0%|▏                                                                              | 3/1845 [00:53<7:01:22, 13.73s/it, loss=5.9434]
Trial 0 Ep1:   0%|▏                                                                              | 4/1845 [00:53<7:25:22, 14.52s/it, loss=5.9434]
Trial 0 Ep1:   0%|▏                                                                              | 4/1845 [01:09<7:25:22, 14.52s/it, loss=5.8480]
Trial 0 Ep1:   0%|▏                                                                              | 5/1845 [01:09<7:42:00, 15.07s/it, loss=5.8480]
Trial 0 Ep1:   0%|▏                                                                              | 5/1845 [01:25<7:42:00, 15.07s/it, loss=5.9011]
Trial 0 Ep1:   0%|▎                                                                              | 6/1845 [01:25<7:54:18, 15.47s/it, loss=5.9011]
Trial 0 Ep1:   0%|▎                                                                              | 6/1845 [01:41<7:54:18, 15.47s/it, loss=5.7950]
Trial 0 Ep1:   0%|▎                                                                              | 7/1845 [01:41<7:58:42, 15.63s/it, loss=5.7950]
Trial 0 Ep1:   0%|▎                                                                              | 7/1845 [01:57<7:58:42, 15.63s/it, loss=5.8641]
Trial 0 Ep1:   0%|▎                                                                              | 8/1845 [01:57<7:59:00, 15.65s/it, loss=5.8641]
Trial 0 Ep1:   0%|▎                                                                              | 8/1845 [02:13<7:59:00, 15.65s/it, loss=5.7707]
Trial 0 Ep1:   0%|▍                                                                              | 9/1845 [02:13<8:01:28, 15.73s/it, loss=5.7707]
Trial 0 Ep1:   0%|▍                                                                              | 9/1845 [02:29<8:01:28, 15.73s/it, loss=5.8123]
Trial 0 Ep1:   1%|▍                                                                             | 10/1845 [02:29<8:05:16, 15.87s/it, loss=5.8123]
Trial 0 Ep1:   1%|▍                                                                             | 10/1845 [02:45<8:05:16, 15.87s/it, loss=5.7747]
Trial 0 Ep1:   1%|▍                                                                             | 11/1845 [02:45<8:02:59, 15.80s/it, loss=5.7747]
Trial 0 Ep1:   1%|▍                                                                             | 11/1845 [03:01<8:02:59, 15.80s/it, loss=5.8005]
Trial 0 Ep1:   1%|▌                                                                             | 12/1845 [03:01<8:02:48, 15.80s/it, loss=5.8005]
Trial 0 Ep1:   1%|▌                                                                             | 12/1845 [03:17<8:02:48, 15.80s/it, loss=5.7897]
Trial 0 Ep1:   1%|▌                                                                             | 13/1845 [03:17<8:05:10, 15.89s/it, loss=5.7897]
Trial 0 Ep1:   1%|▌                                                                             | 13/1845 [03:33<8:05:10, 15.89s/it, loss=5.7324]
Trial 0 Ep1:   1%|▌                                                                             | 14/1845 [03:33<8:07:29, 15.97s/it, loss=5.7324]
Trial 0 Ep1:   1%|▌                                                                             | 14/1845 [03:49<8:07:29, 15.97s/it, loss=5.7705]
Trial 0 Ep1:   1%|▋                                                                             | 15/1845 [03:49<8:13:49, 16.19s/it, loss=5.7705]
Trial 0 Ep1:   1%|▋                                                                             | 15/1845 [04:05<8:13:49, 16.19s/it, loss=5.7537]
Trial 0 Ep1:   1%|▋                                                                             | 16/1845 [04:05<8:11:15, 16.12s/it, loss=5.7537]
Trial 0 Ep1:   1%|▋                                                                             | 16/1845 [04:21<8:11:15, 16.12s/it, loss=5.7205]
Trial 0 Ep1:   1%|▋                                                                             | 17/1845 [04:21<8:02:49, 15.85s/it, loss=5.7205]
Trial 0 Ep1:   1%|▋                                                                             | 17/1845 [04:37<8:02:49, 15.85s/it, loss=5.7303]
Trial 0 Ep1:   1%|▊                                                                             | 18/1845 [04:37<8:04:48, 15.92s/it, loss=5.7303]
Trial 0 Ep1:   1%|▊                                                                             | 18/1845 [04:53<8:04:48, 15.92s/it, loss=5.7249]
Trial 0 Ep1:   1%|▊                                                                             | 19/1845 [04:53<8:04:07, 15.91s/it, loss=5.7249]
Trial 0 Ep1:   1%|▊                                                                             | 19/1845 [05:09<8:04:07, 15.91s/it, loss=5.6407]
Trial 0 Ep1:   1%|▊                                                                             | 20/1845 [05:09<8:12:42, 16.20s/it, loss=5.6407]
Trial 0 Ep1:   1%|▊                                                                             | 20/1845 [05:26<8:12:42, 16.20s/it, loss=5.6959]
Trial 0 Ep1:   1%|▉                                                                             | 21/1845 [05:26<8:19:11, 16.42s/it, loss=5.6959]
Trial 0 Ep1:   1%|▉                                                                             | 21/1845 [05:42<8:19:11, 16.42s/it, loss=5.6037]
Trial 0 Ep1:   1%|▉                                                                             | 22/1845 [05:42<8:12:15, 16.20s/it, loss=5.6037]
Trial 0 Ep1:   1%|▉                                                                             | 22/1845 [05:58<8:12:15, 16.20s/it, loss=5.6896]
Trial 0 Ep1:   1%|▉                                                                             | 23/1845 [05:58<8:13:15, 16.24s/it, loss=5.6896]
Trial 0 Ep1:   1%|▉                                                                             | 23/1845 [06:15<8:13:15, 16.24s/it, loss=5.6316]
Trial 0 Ep1:   1%|█                                                                             | 24/1845 [06:15<8:17:50, 16.40s/it, loss=5.6316]
Trial 0 Ep1:   1%|█                                                                             | 24/1845 [06:32<8:17:50, 16.40s/it, loss=5.6406]
Trial 0 Ep1:   1%|█                                                                             | 25/1845 [06:32<8:21:20, 16.53s/it, loss=5.6406]
Trial 0 Ep1:   1%|█                                                                             | 25/1845 [06:49<8:21:20, 16.53s/it, loss=5.6111]
Trial 0 Ep1:   1%|█                                                                             | 26/1845 [06:49<8:21:26, 16.54s/it, loss=5.6111]
Trial 0 Ep1:   1%|█                                                                             | 26/1845 [07:05<8:21:26, 16.54s/it, loss=5.5461]
Trial 0 Ep1:   1%|█▏                                                                            | 27/1845 [07:05<8:20:55, 16.53s/it, loss=5.5461]
Trial 0 Ep1:   1%|█▏                                                                            | 27/1845 [07:22<8:20:55, 16.53s/it, loss=5.6015]
Trial 0 Ep1:   2%|█▏                                                                            | 28/1845 [07:22<8:26:06, 16.71s/it, loss=5.6015]
Trial 0 Ep1:   2%|█▏                                                                            | 28/1845 [07:39<8:26:06, 16.71s/it, loss=5.6217]
Trial 0 Ep1:   2%|█▏                                                                            | 29/1845 [07:39<8:27:42, 16.77s/it, loss=5.6217]
Trial 0 Ep1:   2%|█▏                                                                            | 29/1845 [07:56<8:27:42, 16.77s/it, loss=5.6166]
Trial 0 Ep1:   2%|█▎                                                                            | 30/1845 [07:56<8:25:23, 16.71s/it, loss=5.6166]
Trial 0 Ep1:   2%|█▎                                                                            | 30/1845 [08:12<8:25:23, 16.71s/it, loss=5.5663]
Trial 0 Ep1:   2%|█▎                                                                            | 31/1845 [08:12<8:19:46, 16.53s/it, loss=5.5663]
Trial 0 Ep1:   2%|█▎                                                                            | 31/1845 [08:29<8:19:46, 16.53s/it, loss=5.5601]
Trial 0 Ep1:   2%|█▎                                                                            | 32/1845 [08:29<8:27:11, 16.78s/it, loss=5.5601]
Trial 0 Ep1:   2%|█▎                                                                            | 32/1845 [08:46<8:27:11, 16.78s/it, loss=5.5658]
Trial 0 Ep1:   2%|█▍                                                                            | 33/1845 [08:46<8:26:19, 16.77s/it, loss=5.5658]
Trial 0 Ep1:   2%|█▍                                                                            | 33/1845 [09:03<8:26:19, 16.77s/it, loss=5.5580]
Trial 0 Ep1:   2%|█▍                                                                            | 34/1845 [09:03<8:24:13, 16.71s/it, loss=5.5580]
Trial 0 Ep1:   2%|█▍                                                                            | 34/1845 [09:20<8:24:13, 16.71s/it, loss=5.4440]
Trial 0 Ep1:   2%|█▍                                                                            | 35/1845 [09:20<8:28:12, 16.85s/it, loss=5.4440]
Trial 0 Ep1:   2%|█▍                                                                            | 35/1845 [09:37<8:28:12, 16.85s/it, loss=5.5907]
Trial 0 Ep1:   2%|█▌                                                                            | 36/1845 [09:37<8:29:47, 16.91s/it, loss=5.5907]
Trial 0 Ep1:   2%|█▌                                                                            | 36/1845 [09:54<8:29:47, 16.91s/it, loss=5.4282]
Trial 0 Ep1:   2%|█▌                                                                            | 37/1845 [09:54<8:33:30, 17.04s/it, loss=5.4282]
Trial 0 Ep1:   2%|█▌                                                                            | 37/1845 [10:11<8:33:30, 17.04s/it, loss=5.5753]
Trial 0 Ep1:   2%|█▌                                                                            | 38/1845 [10:11<8:35:07, 17.10s/it, loss=5.5753]
Trial 0 Ep1:   2%|█▌                                                                            | 38/1845 [10:29<8:35:07, 17.10s/it, loss=5.5151]
Trial 0 Ep1:   2%|█▋                                                                            | 39/1845 [10:29<8:35:32, 17.13s/it, loss=5.5151]
Trial 0 Ep1:   2%|█▋                                                                            | 39/1845 [10:45<8:35:32, 17.13s/it, loss=5.3954]
Trial 0 Ep1:   2%|█▋                                                                            | 40/1845 [10:45<8:30:30, 16.97s/it, loss=5.3954]
Trial 0 Ep1:   2%|█▋                                                                            | 40/1845 [11:02<8:30:30, 16.97s/it, loss=5.4537]
Trial 0 Ep1:   2%|█▋                                                                            | 41/1845 [11:02<8:32:51, 17.06s/it, loss=5.4537]
Trial 0 Ep1:   2%|█▋                                                                            | 41/1845 [11:20<8:32:51, 17.06s/it, loss=5.4166]
Trial 0 Ep1:   2%|█▊                                                                            | 42/1845 [11:20<8:36:17, 17.18s/it, loss=5.4166]
Trial 0 Ep1:   2%|█▊                                                                            | 42/1845 [11:37<8:36:17, 17.18s/it, loss=5.4537]
Trial 0 Ep1:   2%|█▊                                                                            | 43/1845 [11:37<8:32:19, 17.06s/it, loss=5.4537]
Trial 0 Ep1:   2%|█▊                                                                            | 43/1845 [11:54<8:32:19, 17.06s/it, loss=5.4146]
Trial 0 Ep1:   2%|█▊                                                                            | 44/1845 [11:54<8:35:18, 17.17s/it, loss=5.4146]
Trial 0 Ep1:   2%|█▊                                                                            | 44/1845 [12:11<8:35:18, 17.17s/it, loss=5.3737]
Trial 0 Ep1:   2%|█▉                                                                            | 45/1845 [12:11<8:28:25, 16.95s/it, loss=5.3737]
Trial 0 Ep1:   2%|█▉                                                                            | 45/1845 [12:27<8:28:25, 16.95s/it, loss=5.3847]
Trial 0 Ep1:   2%|█▉                                                                            | 46/1845 [12:27<8:26:28, 16.89s/it, loss=5.3847]
Trial 0 Ep1:   2%|█▉                                                                            | 46/1845 [12:45<8:26:28, 16.89s/it, loss=5.3983]
Trial 0 Ep1:   3%|█▉                                                                            | 47/1845 [12:45<8:33:45, 17.14s/it, loss=5.3983]
Trial 0 Ep1:   3%|█▉                                                                            | 47/1845 [13:03<8:33:45, 17.14s/it, loss=5.4385]
Trial 0 Ep1:   3%|██                                                                            | 48/1845 [13:03<8:37:22, 17.27s/it, loss=5.4385]
Trial 0 Ep1:   3%|██                                                                            | 48/1845 [13:21<8:37:22, 17.27s/it, loss=5.3679]
Trial 0 Ep1:   3%|██                                                                            | 49/1845 [13:21<8:42:55, 17.47s/it, loss=5.3679]
Trial 0 Ep1:   3%|██                                                                            | 49/1845 [13:39<8:42:55, 17.47s/it, loss=5.4779]
Trial 0 Ep1:   3%|██                                                                            | 50/1845 [13:39<8:48:21, 17.66s/it, loss=5.4779]
Trial 0 Ep1:   3%|██                                                                            | 50/1845 [13:56<8:48:21, 17.66s/it, loss=5.3029]
Trial 0 Ep1:   3%|██▏                                                                           | 51/1845 [13:56<8:42:43, 17.48s/it, loss=5.3029]
Trial 0 Ep1:   3%|██▏                                                                           | 51/1845 [14:14<8:42:43, 17.48s/it, loss=5.3257]
Trial 0 Ep1:   3%|██▏                                                                           | 52/1845 [14:14<8:47:47, 17.66s/it, loss=5.3257]
Trial 0 Ep1:   3%|██▏                                                                           | 52/1845 [14:31<8:47:47, 17.66s/it, loss=5.3312]
Trial 0 Ep1:   3%|██▏                                                                           | 53/1845 [14:31<8:40:16, 17.42s/it, loss=5.3312]
Trial 0 Ep1:   3%|██▏                                                                           | 53/1845 [14:48<8:40:16, 17.42s/it, loss=5.3738]
Trial 0 Ep1:   3%|██▎                                                                           | 54/1845 [14:48<8:42:14, 17.50s/it, loss=5.3738]
Trial 0 Ep1:   3%|██▎                                                                           | 54/1845 [15:06<8:42:14, 17.50s/it, loss=5.3168]
Trial 0 Ep1:   3%|██▎                                                                           | 55/1845 [15:06<8:41:54, 17.49s/it, loss=5.3168]
Trial 0 Ep1:   3%|██▎                                                                           | 55/1845 [15:24<8:41:54, 17.49s/it, loss=5.4343]
Trial 0 Ep1:   3%|██▎                                                                           | 56/1845 [15:24<8:46:34, 17.66s/it, loss=5.4343]
Trial 0 Ep1:   3%|██▎                                                                           | 56/1845 [15:41<8:46:34, 17.66s/it, loss=5.3594]
Trial 0 Ep1:   3%|██▍                                                                           | 57/1845 [15:41<8:43:00, 17.55s/it, loss=5.3594]
Trial 0 Ep1:   3%|██▍                                                                           | 57/1845 [15:58<8:43:00, 17.55s/it, loss=5.2058]
Trial 0 Ep1:   3%|██▍                                                                           | 58/1845 [15:58<8:36:35, 17.34s/it, loss=5.2058]
Trial 0 Ep1:   3%|██▍                                                                           | 58/1845 [16:16<8:36:35, 17.34s/it, loss=5.2873]
Trial 0 Ep1:   3%|██▍                                                                           | 59/1845 [16:16<8:40:11, 17.48s/it, loss=5.2873]
Trial 0 Ep1:   3%|██▍                                                                           | 59/1845 [16:34<8:40:11, 17.48s/it, loss=5.2349]
Trial 0 Ep1:   3%|██▌                                                                           | 60/1845 [16:34<8:46:37, 17.70s/it, loss=5.2349]
Trial 0 Ep1:   3%|██▌                                                                           | 60/1845 [16:51<8:46:37, 17.70s/it, loss=5.2476]
Trial 0 Ep1:   3%|██▌                                                                           | 61/1845 [16:51<8:43:22, 17.60s/it, loss=5.2476]
Trial 0 Ep1:   3%|██▌                                                                           | 61/1845 [17:09<8:43:22, 17.60s/it, loss=5.2290]
Trial 0 Ep1:   3%|██▌                                                                           | 62/1845 [17:09<8:45:16, 17.68s/it, loss=5.2290]
Trial 0 Ep1:   3%|██▌                                                                           | 62/1845 [17:27<8:45:16, 17.68s/it, loss=5.3077]
Trial 0 Ep1:   3%|██▋                                                                           | 63/1845 [17:27<8:43:45, 17.63s/it, loss=5.3077]
Trial 0 Ep1:   3%|██▋                                                                           | 63/1845 [17:45<8:43:45, 17.63s/it, loss=5.3350]
Trial 0 Ep1:   3%|██▋                                                                           | 64/1845 [17:45<8:50:06, 17.86s/it, loss=5.3350]
