[I 2026-02-26 18:13:48,822] A new study created in RDB with name: bert_squad_tiki_qkv_ntideal_los_lr001_10_20trials
Some weights of BertForQuestionAnswering were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['qa_outputs.bias', 'qa_outputs.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Task: SQuAD v1.1, Metric: F1
BSZ: 48, max_seq: 384, epochs: 2
Train batches: 1845, Eval features: 10784

======================================================================
[CONFIG REPORT]
======================================================================
  Model         : bert-base-uncased
  Task          : SQuAD v1.1 | Metric: F1
  Batch size    : 48 (train), 256 (eval)
  Max seq len   : 384, Doc stride: 128
  Epochs        : 2, Early stop patience: 2
  Optimizer     : AnalogSGD
  Analog LR     : sweep [0.001, 1.0] (log)
  Classifier/LN : same as analog LR
  Weight decay  : 0 (fixed)
  Warmup ratio  : 0.0500
  Warmup target : analog tile ONLY (classifier/LayerNorm -> no warmup, full LR from step 0)
  min_lr_rate   : 0.5 (decay to 50% of peak LR)
  LORA target   : qkv -> ['attention (q,k,v,W_O)']
  Target ideal  : True
  Head layer    : train
  Target layers : all
  Nontarget     : ideal(frozen)
  transfer_every: 1 (fixed, uim=True, every mini-batch)
  TLR range     : (0.1, 10.0), FLR range: (0.01, 1.0)
  desired_bl    : 31
  Clip grad     : analog=False, digital=norm(1.0)
  Seed          : 42
  Sampler       : tpe
  Train batches : 1845, Eval features: 10784
======================================================================

  Early stop patience: 2, Pruner: Median, startup=5, warmup=1

Study: bert_squad_tiki_qkv_ntideal_los_lr001_10_20trials, Device: cuda, New trials: 20

======================================================================
Trial 0 Starting (squad, metric=F1)
======================================================================
  transfer_every=1, transfer_lr=1.0000e+00, fast_lr=1.0000e+00, desired_bl=1
  lr=1.33e-02, wd=0.00e+00
  momentum=0.00, nesterov=False, optimizer=AnalogSGD
  min_lr_rate=0.5000
  warmup_ratio=0.0500, warmup_target=analog_tile_only  [classifier/LayerNorm: no warmup]
======================================================================
  [GPU] Before model: alloc=0.00GB, reserved=0.00GB
  [FIX] Reinitialized qa_outputs with FIXED seed=42
  [IDEAL FROZEN] 24 non-target layers -> IdealDevice frozen
  TikiTaka: 0, Ideal(train): 48, Ideal(frozen): 24, NT SingleRPU: 0, Total analog: 72, Total params: 24,161,762
  Trainable: 243,170
  Target: qkv -> ['attention (q,k,v,W_O)']
  [VERIFY] Target tiles: 48 trainable, 0 FROZEN | Non-target frozen: 24 | Analog weight params: 84,934,656
  [GPU] After model+optimizer: alloc=0.09GB, reserved=0.11GB

Trial 0 Ep1:   0%|                                                                                           | 0/1845 [00:00<?, ?it/s]
Trial 0 Ep1:   0%|                                                                              | 0/1845 [00:06<?, ?it/s, loss=5.9571]
Trial 0 Ep1:   0%|                                                                    | 1/1845 [00:06<3:25:56,  6.70s/it, loss=5.9571]
Trial 0 Ep1:   0%|                                                                    | 1/1845 [00:08<3:25:56,  6.70s/it, loss=5.9112]
Trial 0 Ep1:   0%|                                                                    | 2/1845 [00:08<1:53:45,  3.70s/it, loss=5.9112]
Trial 0 Ep1:   0%|                                                                    | 2/1845 [00:09<1:53:45,  3.70s/it, loss=5.8390]
Trial 0 Ep1:   0%|                                                                    | 3/1845 [00:09<1:21:06,  2.64s/it, loss=5.8390]
Trial 0 Ep1:   0%|                                                                    | 3/1845 [00:11<1:21:06,  2.64s/it, loss=5.8905]
Trial 0 Ep1:   0%|▏                                                                   | 4/1845 [00:11<1:06:12,  2.16s/it, loss=5.8905]
Trial 0 Ep1:   0%|▏                                                                   | 4/1845 [00:12<1:06:12,  2.16s/it, loss=5.7809]
Trial 0 Ep1:   0%|▏                                                                   | 5/1845 [00:12<1:00:19,  1.97s/it, loss=5.7809]
Trial 0 Ep1:   0%|▏                                                                   | 5/1845 [00:15<1:00:19,  1.97s/it, loss=5.8063]
Trial 0 Ep1:   0%|▏                                                                   | 6/1845 [00:15<1:04:50,  2.12s/it, loss=5.8063]
Trial 0 Ep1:   0%|▏                                                                   | 6/1845 [00:17<1:04:50,  2.12s/it, loss=5.6966]
Trial 0 Ep1:   0%|▎                                                                   | 7/1845 [00:17<1:11:56,  2.35s/it, loss=5.6966]
Trial 0 Ep1:   0%|▎                                                                   | 7/1845 [00:20<1:11:56,  2.35s/it, loss=5.7378]
Trial 0 Ep1:   0%|▎                                                                   | 8/1845 [00:20<1:17:23,  2.53s/it, loss=5.7378]
Trial 0 Ep1:   0%|▎                                                                   | 8/1845 [00:23<1:17:23,  2.53s/it, loss=5.6356]
Trial 0 Ep1:   0%|▎                                                                   | 9/1845 [00:23<1:18:35,  2.57s/it, loss=5.6356]
Trial 0 Ep1:   0%|▎                                                                   | 9/1845 [00:26<1:18:35,  2.57s/it, loss=5.6518]
Trial 0 Ep1:   1%|▎                                                                  | 10/1845 [00:26<1:19:46,  2.61s/it, loss=5.6518]
Trial 0 Ep1:   1%|▎                                                                  | 10/1845 [00:29<1:19:46,  2.61s/it, loss=5.6186]
Trial 0 Ep1:   1%|▍                                                                  | 11/1845 [00:29<1:22:30,  2.70s/it, loss=5.6186]
Trial 0 Ep1:   1%|▍                                                                  | 11/1845 [00:31<1:22:30,  2.70s/it, loss=5.6177]
Trial 0 Ep1:   1%|▍                                                                  | 12/1845 [00:31<1:22:23,  2.70s/it, loss=5.6177]
Trial 0 Ep1:   1%|▍                                                                  | 12/1845 [00:34<1:22:23,  2.70s/it, loss=5.5946]
Trial 0 Ep1:   1%|▍                                                                  | 13/1845 [00:34<1:22:58,  2.72s/it, loss=5.5946]
Trial 0 Ep1:   1%|▍                                                                  | 13/1845 [00:37<1:22:58,  2.72s/it, loss=5.5048]
Trial 0 Ep1:   1%|▌                                                                  | 14/1845 [00:37<1:23:43,  2.74s/it, loss=5.5048]
Trial 0 Ep1:   1%|▌                                                                  | 14/1845 [00:40<1:23:43,  2.74s/it, loss=5.5549]
Trial 0 Ep1:   1%|▌                                                                  | 15/1845 [00:40<1:23:22,  2.73s/it, loss=5.5549]
Trial 0 Ep1:   1%|▌                                                                  | 15/1845 [00:42<1:23:22,  2.73s/it, loss=5.5018]
Trial 0 Ep1:   1%|▌                                                                  | 16/1845 [00:42<1:24:47,  2.78s/it, loss=5.5018]
Trial 0 Ep1:   1%|▌                                                                  | 16/1845 [00:45<1:24:47,  2.78s/it, loss=5.4705]
Trial 0 Ep1:   1%|▌                                                                  | 17/1845 [00:45<1:23:52,  2.75s/it, loss=5.4705]
Trial 0 Ep1:   1%|▌                                                                  | 17/1845 [00:48<1:23:52,  2.75s/it, loss=5.4459]
Trial 0 Ep1:   1%|▋                                                                  | 18/1845 [00:48<1:20:16,  2.64s/it, loss=5.4459]
Trial 0 Ep1:   1%|▋                                                                  | 18/1845 [00:50<1:20:16,  2.64s/it, loss=5.4352]
Trial 0 Ep1:   1%|▋                                                                  | 19/1845 [00:50<1:22:31,  2.71s/it, loss=5.4352]
Trial 0 Ep1:   1%|▋                                                                  | 19/1845 [00:53<1:22:31,  2.71s/it, loss=5.2914]
Trial 0 Ep1:   1%|▋                                                                  | 20/1845 [00:53<1:22:31,  2.71s/it, loss=5.2914]
Trial 0 Ep1:   1%|▋                                                                  | 20/1845 [00:56<1:22:31,  2.71s/it, loss=5.3916]
Trial 0 Ep1:   1%|▊                                                                  | 21/1845 [00:56<1:24:27,  2.78s/it, loss=5.3916]
Trial 0 Ep1:   1%|▊                                                                  | 21/1845 [00:59<1:24:27,  2.78s/it, loss=5.2045]
Trial 0 Ep1:   1%|▊                                                                  | 22/1845 [00:59<1:23:32,  2.75s/it, loss=5.2045]
Trial 0 Ep1:   1%|▊                                                                  | 22/1845 [01:01<1:23:32,  2.75s/it, loss=5.3182]
Trial 0 Ep1:   1%|▊                                                                  | 23/1845 [01:01<1:22:58,  2.73s/it, loss=5.3182]
Trial 0 Ep1:   1%|▊                                                                  | 23/1845 [01:04<1:22:58,  2.73s/it, loss=5.2541]
Trial 0 Ep1:   1%|▊                                                                  | 24/1845 [01:04<1:24:36,  2.79s/it, loss=5.2541]
Trial 0 Ep1:   1%|▊                                                                  | 24/1845 [01:07<1:24:36,  2.79s/it, loss=5.2418]
Trial 0 Ep1:   1%|▉                                                                  | 25/1845 [01:07<1:24:00,  2.77s/it, loss=5.2418]
Trial 0 Ep1:   1%|▉                                                                  | 25/1845 [01:10<1:24:00,  2.77s/it, loss=5.1528]
Trial 0 Ep1:   1%|▉                                                                  | 26/1845 [01:10<1:24:10,  2.78s/it, loss=5.1528]
Trial 0 Ep1:   1%|▉                                                                  | 26/1845 [01:13<1:24:10,  2.78s/it, loss=5.0961]
Trial 0 Ep1:   1%|▉                                                                  | 27/1845 [01:13<1:24:28,  2.79s/it, loss=5.0961]
Trial 0 Ep1:   1%|▉                                                                  | 27/1845 [01:15<1:24:28,  2.79s/it, loss=5.1544]
Trial 0 Ep1:   2%|█                                                                  | 28/1845 [01:15<1:23:50,  2.77s/it, loss=5.1544]
Trial 0 Ep1:   2%|█                                                                  | 28/1845 [01:18<1:23:50,  2.77s/it, loss=5.2106]
Trial 0 Ep1:   2%|█                                                                  | 29/1845 [01:18<1:25:04,  2.81s/it, loss=5.2106]
Trial 0 Ep1:   2%|█                                                                  | 29/1845 [01:21<1:25:04,  2.81s/it, loss=5.1127]
Trial 0 Ep1:   2%|█                                                                  | 30/1845 [01:21<1:24:12,  2.78s/it, loss=5.1127]
Trial 0 Ep1:   2%|█                                                                  | 30/1845 [01:24<1:24:12,  2.78s/it, loss=5.0394]
Trial 0 Ep1:   2%|█▏                                                                 | 31/1845 [01:24<1:25:21,  2.82s/it, loss=5.0394]
Trial 0 Ep1:   2%|█▏                                                                 | 31/1845 [01:27<1:25:21,  2.82s/it, loss=5.0441]
Trial 0 Ep1:   2%|█▏                                                                 | 32/1845 [01:27<1:24:42,  2.80s/it, loss=5.0441]
Trial 0 Ep1:   2%|█▏                                                                 | 32/1845 [01:29<1:24:42,  2.80s/it, loss=5.0124]
Trial 0 Ep1:   2%|█▏                                                                 | 33/1845 [01:29<1:24:06,  2.78s/it, loss=5.0124]
Trial 0 Ep1:   2%|█▏                                                                 | 33/1845 [01:32<1:24:06,  2.78s/it, loss=4.9991]
Trial 0 Ep1:   2%|█▏                                                                 | 34/1845 [01:32<1:25:29,  2.83s/it, loss=4.9991]
Trial 0 Ep1:   2%|█▏                                                                 | 34/1845 [01:35<1:25:29,  2.83s/it, loss=4.9083]
Trial 0 Ep1:   2%|█▎                                                                 | 35/1845 [01:35<1:24:31,  2.80s/it, loss=4.9083]
Trial 0 Ep1:   2%|█▎                                                                 | 35/1845 [01:38<1:24:31,  2.80s/it, loss=5.0854]
Trial 0 Ep1:   2%|█▎                                                                 | 36/1845 [01:38<1:25:58,  2.85s/it, loss=5.0854]
Trial 0 Ep1:   2%|█▎                                                                 | 36/1845 [01:41<1:25:58,  2.85s/it, loss=4.8147]
Trial 0 Ep1:   2%|█▎                                                                 | 37/1845 [01:41<1:24:47,  2.81s/it, loss=4.8147]
Trial 0 Ep1:   2%|█▎                                                                 | 37/1845 [01:44<1:24:47,  2.81s/it, loss=5.0184]
Trial 0 Ep1:   2%|█▍                                                                 | 38/1845 [01:44<1:23:56,  2.79s/it, loss=5.0184]
Trial 0 Ep1:   2%|█▍                                                                 | 38/1845 [01:47<1:23:56,  2.79s/it, loss=4.9179]
Trial 0 Ep1:   2%|█▍                                                                 | 39/1845 [01:47<1:25:13,  2.83s/it, loss=4.9179]
Trial 0 Ep1:   2%|█▍                                                                 | 39/1845 [01:49<1:25:13,  2.83s/it, loss=4.6221]
Trial 0 Ep1:   2%|█▍                                                                 | 40/1845 [01:49<1:24:02,  2.79s/it, loss=4.6221]
Trial 0 Ep1:   2%|█▍                                                                 | 40/1845 [01:52<1:24:02,  2.79s/it, loss=4.8047]
Trial 0 Ep1:   2%|█▍                                                                 | 41/1845 [01:52<1:24:20,  2.81s/it, loss=4.8047]
Trial 0 Ep1:   2%|█▍                                                                 | 41/1845 [01:55<1:24:20,  2.81s/it, loss=4.7447]
Trial 0 Ep1:   2%|█▌                                                                 | 42/1845 [01:55<1:24:14,  2.80s/it, loss=4.7447]
Trial 0 Ep1:   2%|█▌                                                                 | 42/1845 [01:58<1:24:14,  2.80s/it, loss=4.7457]
Trial 0 Ep1:   2%|█▌                                                                 | 43/1845 [01:58<1:23:29,  2.78s/it, loss=4.7457]
Trial 0 Ep1:   2%|█▌                                                                 | 43/1845 [02:00<1:23:29,  2.78s/it, loss=4.7384]
Trial 0 Ep1:   2%|█▌                                                                 | 44/1845 [02:00<1:24:29,  2.81s/it, loss=4.7384]
Trial 0 Ep1:   2%|█▌                                                                 | 44/1845 [02:03<1:24:29,  2.81s/it, loss=4.7119]
Trial 0 Ep1:   2%|█▋                                                                 | 45/1845 [02:03<1:23:49,  2.79s/it, loss=4.7119]
Trial 0 Ep1:   2%|█▋                                                                 | 45/1845 [02:06<1:23:49,  2.79s/it, loss=4.7041]
Trial 0 Ep1:   2%|█▋                                                                 | 46/1845 [02:06<1:24:39,  2.82s/it, loss=4.7041]
Trial 0 Ep1:   2%|█▋                                                                 | 46/1845 [02:09<1:24:39,  2.82s/it, loss=4.7507]
Trial 0 Ep1:   3%|█▋                                                                 | 47/1845 [02:09<1:23:51,  2.80s/it, loss=4.7507]
Trial 0 Ep1:   3%|█▋                                                                 | 47/1845 [02:12<1:23:51,  2.80s/it, loss=4.7794]
Trial 0 Ep1:   3%|█▋                                                                 | 48/1845 [02:12<1:23:29,  2.79s/it, loss=4.7794]
Trial 0 Ep1:   3%|█▋                                                                 | 48/1845 [02:15<1:23:29,  2.79s/it, loss=4.7420]
Trial 0 Ep1:   3%|█▊                                                                 | 49/1845 [02:15<1:24:47,  2.83s/it, loss=4.7420]
Trial 0 Ep1:   3%|█▊                                                                 | 49/1845 [02:17<1:24:47,  2.83s/it, loss=4.8452]
Trial 0 Ep1:   3%|█▊                                                                 | 50/1845 [02:17<1:24:11,  2.81s/it, loss=4.8452]
Trial 0 Ep1:   3%|█▊                                                                 | 50/1845 [02:20<1:24:11,  2.81s/it, loss=4.5696]
Trial 0 Ep1:   3%|█▊                                                                 | 51/1845 [02:20<1:25:01,  2.84s/it, loss=4.5696]
Trial 0 Ep1:   3%|█▊                                                                 | 51/1845 [02:23<1:25:01,  2.84s/it, loss=4.5678]
Trial 0 Ep1:   3%|█▉                                                                 | 52/1845 [02:23<1:24:18,  2.82s/it, loss=4.5678]
Trial 0 Ep1:   3%|█▉                                                                 | 52/1845 [02:26<1:24:18,  2.82s/it, loss=4.6364]
Trial 0 Ep1:   3%|█▉                                                                 | 53/1845 [02:26<1:24:09,  2.82s/it, loss=4.6364]
Trial 0 Ep1:   3%|█▉                                                                 | 53/1845 [02:29<1:24:09,  2.82s/it, loss=4.7441]
Trial 0 Ep1:   3%|█▉                                                                 | 54/1845 [02:29<1:24:36,  2.83s/it, loss=4.7441]
Trial 0 Ep1:   3%|█▉                                                                 | 54/1845 [02:31<1:24:36,  2.83s/it, loss=4.6422]
Trial 0 Ep1:   3%|█▉                                                                 | 55/1845 [02:31<1:23:50,  2.81s/it, loss=4.6422]
Trial 0 Ep1:   3%|█▉                                                                 | 55/1845 [02:34<1:23:50,  2.81s/it, loss=4.8772]
Trial 0 Ep1:   3%|██                                                                 | 56/1845 [02:34<1:24:52,  2.85s/it, loss=4.8772]
Trial 0 Ep1:   3%|██                                                                 | 56/1845 [02:37<1:24:52,  2.85s/it, loss=4.6668]
Trial 0 Ep1:   3%|██                                                                 | 57/1845 [02:37<1:24:57,  2.85s/it, loss=4.6668]
Trial 0 Ep1:   3%|██                                                                 | 57/1845 [02:40<1:24:57,  2.85s/it, loss=4.4230]
Trial 0 Ep1:   3%|██                                                                 | 58/1845 [02:40<1:25:13,  2.86s/it, loss=4.4230]
Trial 0 Ep1:   3%|██                                                                 | 58/1845 [02:43<1:25:13,  2.86s/it, loss=4.5340]
Trial 0 Ep1:   3%|██▏                                                                | 59/1845 [02:43<1:24:24,  2.84s/it, loss=4.5340]
Trial 0 Ep1:   3%|██▏                                                                | 59/1845 [02:46<1:24:24,  2.84s/it, loss=4.5036]
Trial 0 Ep1:   3%|██▏                                                                | 60/1845 [02:46<1:23:19,  2.80s/it, loss=4.5036]
Trial 0 Ep1:   3%|██▏                                                                | 60/1845 [02:49<1:23:19,  2.80s/it, loss=4.5806]
Trial 0 Ep1:   3%|██▏                                                                | 61/1845 [02:49<1:24:11,  2.83s/it, loss=4.5806]
Trial 0 Ep1:   3%|██▏                                                                | 61/1845 [02:51<1:24:11,  2.83s/it, loss=4.5459]
Trial 0 Ep1:   3%|██▎                                                                | 62/1845 [02:51<1:23:22,  2.81s/it, loss=4.5459]
Trial 0 Ep1:   3%|██▎                                                                | 62/1845 [02:54<1:23:22,  2.81s/it, loss=4.5239]
Trial 0 Ep1:   3%|██▎                                                                | 63/1845 [02:54<1:24:04,  2.83s/it, loss=4.5239]
Trial 0 Ep1:   3%|██▎                                                                | 63/1845 [02:57<1:24:04,  2.83s/it, loss=4.6327]
Trial 0 Ep1:   3%|██▎                                                                | 64/1845 [02:57<1:22:44,  2.79s/it, loss=4.6327]
Trial 0 Ep1:   3%|██▎                                                                | 64/1845 [03:00<1:22:44,  2.79s/it, loss=4.4866]
Trial 0 Ep1:   4%|██▎                                                                | 65/1845 [03:00<1:21:54,  2.76s/it, loss=4.4866]
