
Map:   0%|                                                                                                      | 0/10570 [00:00<?, ? examples/s]
Map:   9%|████████▍                                                                                | 1000/10570 [00:00<00:05, 1796.77 examples/s]
Map:  19%|████████████████▊                                                                        | 2000/10570 [00:00<00:03, 2713.34 examples/s]
Map:  28%|█████████████████████████▎                                                               | 3000/10570 [00:01<00:02, 3247.11 examples/s]
Map:  38%|█████████████████████████████████▋                                                       | 4000/10570 [00:01<00:01, 3537.23 examples/s]
Map:  47%|██████████████████████████████████████████                                               | 5000/10570 [00:01<00:01, 3440.46 examples/s]
Map:  57%|██████████████████████████████████████████████████▌                                      | 6000/10570 [00:01<00:01, 3550.72 examples/s]
Map:  66%|██████████████████████████████████████████████████████████▉                              | 7000/10570 [00:02<00:00, 3720.92 examples/s]
Map:  76%|███████████████████████████████████████████████████████████████████▎                     | 8000/10570 [00:02<00:00, 3833.93 examples/s]
Map:  85%|███████████████████████████████████████████████████████████████████████████▊             | 9000/10570 [00:02<00:00, 3871.27 examples/s]
Map:  95%|███████████████████████████████████████████████████████████████████████████████████▎    | 10000/10570 [00:02<00:00, 3287.77 examples/s]
Map: 100%|████████████████████████████████████████████████████████████████████████████████████████| 10570/10570 [00:03<00:00, 3415.97 examples/s]
Map: 100%|████████████████████████████████████████████████████████████████████████████████████████| 10570/10570 [00:03<00:00, 3362.64 examples/s]
[I 2026-02-25 17:24:53,319] A new study created in RDB with name: bert_squad_tiki_0225_1724
Some weights of BertForQuestionAnswering were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['qa_outputs.bias', 'qa_outputs.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Task: SQuAD v1.1, Metric: F1
BSZ: 48, max_seq: 384, epochs: 2
Train batches: 1845, Eval features: 10784

======================================================================
[CONFIG REPORT]
======================================================================
  Model         : bert-base-uncased
  Task          : SQuAD v1.1 | Metric: F1
  Batch size    : 48 (train), 256 (eval)
  Max seq len   : 384, Doc stride: 128
  Epochs        : 2, Early stop patience: 2
  Optimizer     : AnalogAdam
  Analog LR     : sweep [0.0001, 0.01] (log)
  Classifier/LN : sweep [1e-05, 0.001] (log)
  Weight decay  : 0 (fixed)
  Warmup ratio  : 0.0500
  Warmup target : analog tile ONLY (classifier/LayerNorm -> no warmup, full LR from step 0)
  min_lr_rate   : 0.5 (decay to 50% of peak LR)
  LORA target   : qkv -> ['attention (q,k,v,W_O)']
  Target ideal  : True
  Head layer    : train
  Target layers : all
  Nontarget     : digital(frozen)
  transfer_every: 1 (fixed, uim=True, every mini-batch)
  TLR range     : (1.0, 1.0), FLR range: (1.0, 1.0)
  desired_bl    : 31
  Clip grad     : analog=False, digital=norm(1.0)
  Seed          : 42
  Sampler       : tpe
  Train batches : 1845, Eval features: 10784
======================================================================

  Early stop patience: 2, Pruner: Median, startup=5, warmup=1

Study: bert_squad_tiki_0225_1724, Device: cuda, New trials: 20

======================================================================
Trial 0 Starting (squad, metric=F1)
======================================================================
  transfer_every=1, transfer_lr=1.0000e+00, fast_lr=1.0000e+00, desired_bl=1
  lr=5.61e-04, classifier_lr=7.97e-04, wd=0.00e+00
  momentum=0.00, nesterov=False, optimizer=AnalogAdam
  min_lr_rate=0.5000
  warmup_ratio=0.0500, warmup_target=analog_tile_only  [classifier/LayerNorm: no warmup]
======================================================================
  [GPU] Before model: alloc=0.00GB, reserved=0.00GB
  [FIX] Reinitialized qa_outputs with FIXED seed=42
  [DIGITAL] Keeping 24 non-target layers as digital (frozen)
  TikiTaka: 0, Ideal(train): 48, Ideal(frozen): 0, NT SingleRPU: 0, Total analog: 48, Total params: 80,581,826
  Trainable: 40,130
  Target: qkv -> ['attention (q,k,v,W_O)']
  [GPU] After model+optimizer: alloc=0.30GB, reserved=0.32GB

Trial 0 Ep1:   0%|                                                                                                      | 0/1845 [00:00<?, ?it/s]
Trial 0 Ep1:   0%|                                                                                         | 0/1845 [00:03<?, ?it/s, loss=5.9563]
Trial 0 Ep1:   0%|                                                                               | 1/1845 [00:03<1:45:27,  3.43s/it, loss=5.9563]
Trial 0 Ep1:   0%|                                                                               | 1/1845 [00:05<1:45:27,  3.43s/it, loss=5.8600]
Trial 0 Ep1:   0%|                                                                               | 2/1845 [00:05<1:23:53,  2.73s/it, loss=5.8600]
Trial 0 Ep1:   0%|                                                                               | 2/1845 [00:08<1:23:53,  2.73s/it, loss=5.7548]
Trial 0 Ep1:   0%|▏                                                                              | 3/1845 [00:08<1:19:45,  2.60s/it, loss=5.7548]
Trial 0 Ep1:   0%|▏                                                                              | 3/1845 [00:10<1:19:45,  2.60s/it, loss=5.7584]
Trial 0 Ep1:   0%|▏                                                                              | 4/1845 [00:10<1:19:06,  2.58s/it, loss=5.7584]
Trial 0 Ep1:   0%|▏                                                                              | 4/1845 [00:12<1:19:06,  2.58s/it, loss=5.5865]
Trial 0 Ep1:   0%|▏                                                                              | 5/1845 [00:12<1:16:05,  2.48s/it, loss=5.5865]
Trial 0 Ep1:   0%|▏                                                                              | 5/1845 [00:15<1:16:05,  2.48s/it, loss=5.5745]
Trial 0 Ep1:   0%|▎                                                                              | 6/1845 [00:15<1:12:54,  2.38s/it, loss=5.5745]
Trial 0 Ep1:   0%|▎                                                                              | 6/1845 [00:17<1:12:54,  2.38s/it, loss=5.4248]
Trial 0 Ep1:   0%|▎                                                                              | 7/1845 [00:17<1:10:21,  2.30s/it, loss=5.4248]
Trial 0 Ep1:   0%|▎                                                                              | 7/1845 [00:19<1:10:21,  2.30s/it, loss=5.4125]
Trial 0 Ep1:   0%|▎                                                                              | 8/1845 [00:19<1:08:58,  2.25s/it, loss=5.4125]
Trial 0 Ep1:   0%|▎                                                                              | 8/1845 [00:21<1:08:58,  2.25s/it, loss=5.2711]
Trial 0 Ep1:   0%|▍                                                                              | 9/1845 [00:21<1:08:34,  2.24s/it, loss=5.2711]
Trial 0 Ep1:   0%|▍                                                                              | 9/1845 [00:23<1:08:34,  2.24s/it, loss=5.2304]
Trial 0 Ep1:   1%|▍                                                                             | 10/1845 [00:23<1:08:30,  2.24s/it, loss=5.2304]
Trial 0 Ep1:   1%|▍                                                                             | 10/1845 [00:26<1:08:30,  2.24s/it, loss=5.1330]
Trial 0 Ep1:   1%|▍                                                                             | 11/1845 [00:26<1:08:08,  2.23s/it, loss=5.1330]
Trial 0 Ep1:   1%|▍                                                                             | 11/1845 [00:28<1:08:08,  2.23s/it, loss=5.0801]
Trial 0 Ep1:   1%|▌                                                                             | 12/1845 [00:28<1:07:25,  2.21s/it, loss=5.0801]
Trial 0 Ep1:   1%|▌                                                                             | 12/1845 [00:30<1:07:25,  2.21s/it, loss=5.0695]
Trial 0 Ep1:   1%|▌                                                                             | 13/1845 [00:30<1:09:40,  2.28s/it, loss=5.0695]
Trial 0 Ep1:   1%|▌                                                                             | 13/1845 [00:33<1:09:40,  2.28s/it, loss=4.8728]
Trial 0 Ep1:   1%|▌                                                                             | 14/1845 [00:33<1:11:22,  2.34s/it, loss=4.8728]
Trial 0 Ep1:   1%|▌                                                                             | 14/1845 [00:35<1:11:22,  2.34s/it, loss=4.9821]
Trial 0 Ep1:   1%|▋                                                                             | 15/1845 [00:35<1:12:18,  2.37s/it, loss=4.9821]
Trial 0 Ep1:   1%|▋                                                                             | 15/1845 [00:37<1:12:18,  2.37s/it, loss=4.8566]
Trial 0 Ep1:   1%|▋                                                                             | 16/1845 [00:37<1:11:26,  2.34s/it, loss=4.8566]
Trial 0 Ep1:   1%|▋                                                                             | 16/1845 [00:40<1:11:26,  2.34s/it, loss=4.8015]
Trial 0 Ep1:   1%|▋                                                                             | 17/1845 [00:40<1:10:10,  2.30s/it, loss=4.8015]
Trial 0 Ep1:   1%|▋                                                                             | 17/1845 [00:42<1:10:10,  2.30s/it, loss=4.7740]
Trial 0 Ep1:   1%|▊                                                                             | 18/1845 [00:42<1:09:11,  2.27s/it, loss=4.7740]
Trial 0 Ep1:   1%|▊                                                                             | 18/1845 [00:44<1:09:11,  2.27s/it, loss=4.7553]
Trial 0 Ep1:   1%|▊                                                                             | 19/1845 [00:44<1:08:51,  2.26s/it, loss=4.7553]
Trial 0 Ep1:   1%|▊                                                                             | 19/1845 [00:46<1:08:51,  2.26s/it, loss=4.6520]
Trial 0 Ep1:   1%|▊                                                                             | 20/1845 [00:46<1:08:12,  2.24s/it, loss=4.6520]
Trial 0 Ep1:   1%|▊                                                                             | 20/1845 [00:48<1:08:12,  2.24s/it, loss=4.6938]
Trial 0 Ep1:   1%|▉                                                                             | 21/1845 [00:48<1:07:42,  2.23s/it, loss=4.6938]
Trial 0 Ep1:   1%|▉                                                                             | 21/1845 [00:51<1:07:42,  2.23s/it, loss=4.4820]
Trial 0 Ep1:   1%|▉                                                                             | 22/1845 [00:51<1:09:21,  2.28s/it, loss=4.4820]
Trial 0 Ep1:   1%|▉                                                                             | 22/1845 [00:53<1:09:21,  2.28s/it, loss=4.6295]
Trial 0 Ep1:   1%|▉                                                                             | 23/1845 [00:53<1:12:40,  2.39s/it, loss=4.6295]
Trial 0 Ep1:   1%|▉                                                                             | 23/1845 [00:56<1:12:40,  2.39s/it, loss=4.4937]
Trial 0 Ep1:   1%|█                                                                             | 24/1845 [00:56<1:12:01,  2.37s/it, loss=4.4937]
Trial 0 Ep1:   1%|█                                                                             | 24/1845 [00:58<1:12:01,  2.37s/it, loss=4.5903]
Trial 0 Ep1:   1%|█                                                                             | 25/1845 [00:58<1:11:56,  2.37s/it, loss=4.5903]
Trial 0 Ep1:   1%|█                                                                             | 25/1845 [01:01<1:11:56,  2.37s/it, loss=4.4305]
Trial 0 Ep1:   1%|█                                                                             | 26/1845 [01:01<1:11:21,  2.35s/it, loss=4.4305]
Trial 0 Ep1:   1%|█                                                                             | 26/1845 [01:03<1:11:21,  2.35s/it, loss=4.3603]
Trial 0 Ep1:   1%|█▏                                                                            | 27/1845 [01:03<1:12:30,  2.39s/it, loss=4.3603]
Trial 0 Ep1:   1%|█▏                                                                            | 27/1845 [01:05<1:12:30,  2.39s/it, loss=4.5418]
Trial 0 Ep1:   2%|█▏                                                                            | 28/1845 [01:05<1:12:12,  2.38s/it, loss=4.5418]
Trial 0 Ep1:   2%|█▏                                                                            | 28/1845 [01:08<1:12:12,  2.38s/it, loss=4.4810]
Trial 0 Ep1:   2%|█▏                                                                            | 29/1845 [01:08<1:11:00,  2.35s/it, loss=4.4810]
Trial 0 Ep1:   2%|█▏                                                                            | 29/1845 [01:10<1:11:00,  2.35s/it, loss=4.3871]
Trial 0 Ep1:   2%|█▎                                                                            | 30/1845 [01:10<1:12:08,  2.38s/it, loss=4.3871]
Trial 0 Ep1:   2%|█▎                                                                            | 30/1845 [01:13<1:12:08,  2.38s/it, loss=4.2430]
Trial 0 Ep1:   2%|█▎                                                                            | 31/1845 [01:13<1:12:50,  2.41s/it, loss=4.2430]
Trial 0 Ep1:   2%|█▎                                                                            | 31/1845 [01:15<1:12:50,  2.41s/it, loss=4.2712]
Trial 0 Ep1:   2%|█▎                                                                            | 32/1845 [01:15<1:11:27,  2.37s/it, loss=4.2712]
Trial 0 Ep1:   2%|█▎                                                                            | 32/1845 [01:17<1:11:27,  2.37s/it, loss=4.3669]
Trial 0 Ep1:   2%|█▍                                                                            | 33/1845 [01:17<1:09:27,  2.30s/it, loss=4.3669]
Trial 0 Ep1:   2%|█▍                                                                            | 33/1845 [01:19<1:09:27,  2.30s/it, loss=4.3122]
Trial 0 Ep1:   2%|█▍                                                                            | 34/1845 [01:19<1:09:45,  2.31s/it, loss=4.3122]
Trial 0 Ep1:   2%|█▍                                                                            | 34/1845 [01:22<1:09:45,  2.31s/it, loss=4.1861]
Trial 0 Ep1:   2%|█▍                                                                            | 35/1845 [01:22<1:10:32,  2.34s/it, loss=4.1861]
Trial 0 Ep1:   2%|█▍                                                                            | 35/1845 [01:24<1:10:32,  2.34s/it, loss=4.4145]
Trial 0 Ep1:   2%|█▌                                                                            | 36/1845 [01:24<1:12:44,  2.41s/it, loss=4.4145]
Trial 0 Ep1:   2%|█▌                                                                            | 36/1845 [01:27<1:12:44,  2.41s/it, loss=4.1150]
Trial 0 Ep1:   2%|█▌                                                                            | 37/1845 [01:27<1:14:38,  2.48s/it, loss=4.1150]
Trial 0 Ep1:   2%|█▌                                                                            | 37/1845 [01:29<1:14:38,  2.48s/it, loss=4.2486]
Trial 0 Ep1:   2%|█▌                                                                            | 38/1845 [01:29<1:13:31,  2.44s/it, loss=4.2486]
Trial 0 Ep1:   2%|█▌                                                                            | 38/1845 [01:32<1:13:31,  2.44s/it, loss=4.2643]
Trial 0 Ep1:   2%|█▋                                                                            | 39/1845 [01:32<1:11:59,  2.39s/it, loss=4.2643]
Trial 0 Ep1:   2%|█▋                                                                            | 39/1845 [01:34<1:11:59,  2.39s/it, loss=3.9931]
Trial 0 Ep1:   2%|█▋                                                                            | 40/1845 [01:34<1:10:26,  2.34s/it, loss=3.9931]
Trial 0 Ep1:   2%|█▋                                                                            | 40/1845 [01:36<1:10:26,  2.34s/it, loss=4.1232]
Trial 0 Ep1:   2%|█▋                                                                            | 41/1845 [01:36<1:10:09,  2.33s/it, loss=4.1232]
Trial 0 Ep1:   2%|█▋                                                                            | 41/1845 [01:38<1:10:09,  2.33s/it, loss=4.0614]
Trial 0 Ep1:   2%|█▊                                                                            | 42/1845 [01:38<1:09:40,  2.32s/it, loss=4.0614]
Trial 0 Ep1:   2%|█▊                                                                            | 42/1845 [01:41<1:09:40,  2.32s/it, loss=4.1066]
Trial 0 Ep1:   2%|█▊                                                                            | 43/1845 [01:41<1:10:38,  2.35s/it, loss=4.1066]
Trial 0 Ep1:   2%|█▊                                                                            | 43/1845 [01:43<1:10:38,  2.35s/it, loss=4.1568]
Trial 0 Ep1:   2%|█▊                                                                            | 44/1845 [01:43<1:10:34,  2.35s/it, loss=4.1568]
Trial 0 Ep1:   2%|█▊                                                                            | 44/1845 [01:46<1:10:34,  2.35s/it, loss=4.0665]
Trial 0 Ep1:   2%|█▉                                                                            | 45/1845 [01:46<1:10:30,  2.35s/it, loss=4.0665]
Trial 0 Ep1:   2%|█▉                                                                            | 45/1845 [01:48<1:10:30,  2.35s/it, loss=4.0685]
Trial 0 Ep1:   2%|█▉                                                                            | 46/1845 [01:48<1:11:34,  2.39s/it, loss=4.0685]
Trial 0 Ep1:   2%|█▉                                                                            | 46/1845 [01:50<1:11:34,  2.39s/it, loss=4.2498]
Trial 0 Ep1:   3%|█▉                                                                            | 47/1845 [01:50<1:10:09,  2.34s/it, loss=4.2498]
Trial 0 Ep1:   3%|█▉                                                                            | 47/1845 [01:52<1:10:09,  2.34s/it, loss=4.1675]
Trial 0 Ep1:   3%|██                                                                            | 48/1845 [01:52<1:09:18,  2.31s/it, loss=4.1675]
Trial 0 Ep1:   3%|██                                                                            | 48/1845 [01:55<1:09:18,  2.31s/it, loss=4.2257]
Trial 0 Ep1:   3%|██                                                                            | 49/1845 [01:55<1:08:38,  2.29s/it, loss=4.2257]
Trial 0 Ep1:   3%|██                                                                            | 49/1845 [01:57<1:08:38,  2.29s/it, loss=4.1820]
Trial 0 Ep1:   3%|██                                                                            | 50/1845 [01:57<1:08:03,  2.27s/it, loss=4.1820]
Trial 0 Ep1:   3%|██                                                                            | 50/1845 [01:59<1:08:03,  2.27s/it, loss=3.9378]
Trial 0 Ep1:   3%|██▏                                                                           | 51/1845 [01:59<1:06:38,  2.23s/it, loss=3.9378]
Trial 0 Ep1:   3%|██▏                                                                           | 51/1845 [02:01<1:06:38,  2.23s/it, loss=3.9769]
Trial 0 Ep1:   3%|██▏                                                                           | 52/1845 [02:01<1:06:48,  2.24s/it, loss=3.9769]
Trial 0 Ep1:   3%|██▏                                                                           | 52/1845 [02:04<1:06:48,  2.24s/it, loss=4.0977]
Trial 0 Ep1:   3%|██▏                                                                           | 53/1845 [02:04<1:08:12,  2.28s/it, loss=4.0977]
Trial 0 Ep1:   3%|██▏                                                                           | 53/1845 [02:06<1:08:12,  2.28s/it, loss=4.1245]
Trial 0 Ep1:   3%|██▎                                                                           | 54/1845 [02:06<1:09:44,  2.34s/it, loss=4.1245]
Trial 0 Ep1:   3%|██▎                                                                           | 54/1845 [02:09<1:09:44,  2.34s/it, loss=4.1184]
Trial 0 Ep1:   3%|██▎                                                                           | 55/1845 [02:09<1:10:24,  2.36s/it, loss=4.1184]
Trial 0 Ep1:   3%|██▎                                                                           | 55/1845 [02:11<1:10:24,  2.36s/it, loss=4.3465]
Trial 0 Ep1:   3%|██▎                                                                           | 56/1845 [02:11<1:09:11,  2.32s/it, loss=4.3465]
Trial 0 Ep1:   3%|██▎                                                                           | 56/1845 [02:13<1:09:11,  2.32s/it, loss=4.0391]
Trial 0 Ep1:   3%|██▍                                                                           | 57/1845 [02:13<1:08:17,  2.29s/it, loss=4.0391]
Trial 0 Ep1:   3%|██▍                                                                           | 57/1845 [02:15<1:08:17,  2.29s/it, loss=3.6777]
Trial 0 Ep1:   3%|██▍                                                                           | 58/1845 [02:15<1:07:46,  2.28s/it, loss=3.6777]
Trial 0 Ep1:   3%|██▍                                                                           | 58/1845 [02:18<1:07:46,  2.28s/it, loss=3.9405]
Trial 0 Ep1:   3%|██▍                                                                           | 59/1845 [02:18<1:08:15,  2.29s/it, loss=3.9405]
Trial 0 Ep1:   3%|██▍                                                                           | 59/1845 [02:20<1:08:15,  2.29s/it, loss=3.9563]
Trial 0 Ep1:   3%|██▌                                                                           | 60/1845 [02:20<1:09:33,  2.34s/it, loss=3.9563]
Trial 0 Ep1:   3%|██▌                                                                           | 60/1845 [02:23<1:09:33,  2.34s/it, loss=4.0522]
Trial 0 Ep1:   3%|██▌                                                                           | 61/1845 [02:23<1:10:43,  2.38s/it, loss=4.0522]
Trial 0 Ep1:   3%|██▌                                                                           | 61/1845 [02:25<1:10:43,  2.38s/it, loss=3.9607]
Trial 0 Ep1:   3%|██▌                                                                           | 62/1845 [02:25<1:11:24,  2.40s/it, loss=3.9607]
Trial 0 Ep1:   3%|██▌                                                                           | 62/1845 [02:27<1:11:24,  2.40s/it, loss=3.8625]
Trial 0 Ep1:   3%|██▋                                                                           | 63/1845 [02:27<1:12:11,  2.43s/it, loss=3.8625]
Trial 0 Ep1:   3%|██▋                                                                           | 63/1845 [02:30<1:12:11,  2.43s/it, loss=4.0664]
Trial 0 Ep1:   3%|██▋                                                                           | 64/1845 [02:30<1:10:47,  2.38s/it, loss=4.0664]
Trial 0 Ep1:   3%|██▋                                                                           | 64/1845 [02:32<1:10:47,  2.38s/it, loss=3.8110]
Trial 0 Ep1:   4%|██▋                                                                           | 65/1845 [02:32<1:09:33,  2.34s/it, loss=3.8110]
Trial 0 Ep1:   4%|██▋                                                                           | 65/1845 [02:34<1:09:33,  2.34s/it, loss=3.9778]
Trial 0 Ep1:   4%|██▊                                                                           | 66/1845 [02:34<1:08:32,  2.31s/it, loss=3.9778]
Trial 0 Ep1:   4%|██▊                                                                           | 66/1845 [02:37<1:08:32,  2.31s/it, loss=3.9274]
Trial 0 Ep1:   4%|██▊                                                                           | 67/1845 [02:37<1:09:36,  2.35s/it, loss=3.9274]
Trial 0 Ep1:   4%|██▊                                                                           | 67/1845 [02:39<1:09:36,  2.35s/it, loss=3.9658]
Trial 0 Ep1:   4%|██▊                                                                           | 68/1845 [02:39<1:12:07,  2.44s/it, loss=3.9658]
Trial 0 Ep1:   4%|██▊                                                                           | 68/1845 [02:42<1:12:07,  2.44s/it, loss=3.9454]
Trial 0 Ep1:   4%|██▉                                                                           | 69/1845 [02:42<1:11:41,  2.42s/it, loss=3.9454]
Trial 0 Ep1:   4%|██▉                                                                           | 69/1845 [02:44<1:11:41,  2.42s/it, loss=3.8847]
Trial 0 Ep1:   4%|██▉                                                                           | 70/1845 [02:44<1:09:41,  2.36s/it, loss=3.8847]
Trial 0 Ep1:   4%|██▉                                                                           | 70/1845 [02:46<1:09:41,  2.36s/it, loss=4.0903]
Trial 0 Ep1:   4%|███                                                                           | 71/1845 [02:46<1:07:57,  2.30s/it, loss=4.0903]
Trial 0 Ep1:   4%|███                                                                           | 71/1845 [02:48<1:07:57,  2.30s/it, loss=4.1076]
Trial 0 Ep1:   4%|███                                                                           | 72/1845 [02:48<1:07:22,  2.28s/it, loss=4.1076]
Trial 0 Ep1:   4%|███                                                                           | 72/1845 [02:50<1:07:22,  2.28s/it, loss=3.9857]
Trial 0 Ep1:   4%|███                                                                           | 73/1845 [02:50<1:06:30,  2.25s/it, loss=3.9857]
Trial 0 Ep1:   4%|███                                                                           | 73/1845 [02:53<1:06:30,  2.25s/it, loss=4.1014]
Trial 0 Ep1:   4%|███▏                                                                          | 74/1845 [02:53<1:05:50,  2.23s/it, loss=4.1014]
