step,layer,transfer_lr,W_before_norm,W_after_norm,delta_W_norm,method
100,mobilebert.encoder.layer.0.attention.self.query,1.362,19.389101028442383,19.384004592895508,0.06849656999111176,tikitaka_v2
100,mobilebert.encoder.layer.1.attention.self.query,1.362,14.316880226135254,14.312606811523438,0.06938343495130539,tikitaka_v2
100,mobilebert.encoder.layer.2.attention.self.query,1.362,15.878896713256836,15.873361587524414,0.06953392922878265,tikitaka_v2
100,mobilebert.encoder.layer.3.attention.self.query,1.362,29.094942092895508,29.086727142333984,0.06998639553785324,tikitaka_v2
100,mobilebert.encoder.layer.4.attention.self.query,1.362,15.539082527160645,15.534111022949219,0.06935194134712219,tikitaka_v2
100,mobilebert.encoder.layer.5.attention.self.query,1.362,14.900195121765137,14.896979331970215,0.06867849081754684,tikitaka_v2
100,mobilebert.encoder.layer.6.attention.self.query,1.362,21.539363861083984,21.5331974029541,0.07059834152460098,tikitaka_v2
100,mobilebert.encoder.layer.7.attention.self.query,1.362,22.732667922973633,22.725709915161133,0.06937338411808014,tikitaka_v2
100,mobilebert.encoder.layer.8.attention.self.query,1.362,17.69698715209961,17.691162109375,0.0698024183511734,tikitaka_v2
100,mobilebert.encoder.layer.9.attention.self.query,1.362,15.383837699890137,15.378952980041504,0.06975692510604858,tikitaka_v2
100,mobilebert.encoder.layer.10.attention.self.query,1.362,16.82636833190918,16.821422576904297,0.0694388747215271,tikitaka_v2
100,mobilebert.encoder.layer.11.attention.self.query,1.362,15.697068214416504,15.692445755004883,0.06915755569934845,tikitaka_v2
100,mobilebert.encoder.layer.12.attention.self.query,1.362,14.663420677185059,14.66076374053955,0.06987746059894562,tikitaka_v2
100,mobilebert.encoder.layer.13.attention.self.query,1.362,14.584582328796387,14.580822944641113,0.06915825605392456,tikitaka_v2
100,mobilebert.encoder.layer.14.attention.self.query,1.362,18.80216407775879,18.797151565551758,0.07035762816667557,tikitaka_v2
100,mobilebert.encoder.layer.15.attention.self.query,1.362,14.662322998046875,14.659072875976562,0.06889418512582779,tikitaka_v2
100,mobilebert.encoder.layer.16.attention.self.query,1.362,14.982728004455566,14.980185508728027,0.06898041069507599,tikitaka_v2
100,mobilebert.encoder.layer.17.attention.self.query,1.362,14.789885520935059,14.787145614624023,0.06916385143995285,tikitaka_v2
100,mobilebert.encoder.layer.18.attention.self.query,1.362,14.5911226272583,14.5863676071167,0.06936813145875931,tikitaka_v2
100,mobilebert.encoder.layer.19.attention.self.query,1.362,15.235002517700195,15.2313232421875,0.06905679404735565,tikitaka_v2
100,mobilebert.encoder.layer.20.attention.self.query,1.362,15.057798385620117,15.053930282592773,0.07021767646074295,tikitaka_v2
100,mobilebert.encoder.layer.21.attention.self.query,1.362,15.104294776916504,15.099702835083008,0.07002115994691849,tikitaka_v2
100,mobilebert.encoder.layer.22.attention.self.query,1.362,15.584875106811523,15.58101749420166,0.06875724345445633,tikitaka_v2
100,mobilebert.encoder.layer.23.attention.self.query,1.362,15.434916496276855,15.431143760681152,0.0680323913693428,tikitaka_v2
200,mobilebert.encoder.layer.0.attention.self.query,1.362,18.888294219970703,18.88386344909668,0.06789886951446533,tikitaka_v2
200,mobilebert.encoder.layer.1.attention.self.query,1.362,13.946996688842773,13.942259788513184,0.06889594346284866,tikitaka_v2
200,mobilebert.encoder.layer.2.attention.self.query,1.362,15.433038711547852,15.429214477539062,0.06870623677968979,tikitaka_v2
200,mobilebert.encoder.layer.3.attention.self.query,1.362,28.25943946838379,28.250261306762695,0.07039640098810196,tikitaka_v2
200,mobilebert.encoder.layer.4.attention.self.query,1.362,15.151107788085938,15.147581100463867,0.06890933960676193,tikitaka_v2
200,mobilebert.encoder.layer.5.attention.self.query,1.362,14.565218925476074,14.56140422821045,0.06824776530265808,tikitaka_v2
200,mobilebert.encoder.layer.6.attention.self.query,1.362,20.96685218811035,20.960582733154297,0.06934209913015366,tikitaka_v2
200,mobilebert.encoder.layer.7.attention.self.query,1.362,22.10074234008789,22.094619750976562,0.06827202439308167,tikitaka_v2
200,mobilebert.encoder.layer.8.attention.self.query,1.362,17.221500396728516,17.217269897460938,0.0677502453327179,tikitaka_v2
200,mobilebert.encoder.layer.9.attention.self.query,1.362,14.99921989440918,14.996140480041504,0.06832941621541977,tikitaka_v2
200,mobilebert.encoder.layer.10.attention.self.query,1.362,16.414335250854492,16.410783767700195,0.06833915412425995,tikitaka_v2
200,mobilebert.encoder.layer.11.attention.self.query,1.362,15.337250709533691,15.332462310791016,0.06851288676261902,tikitaka_v2
200,mobilebert.encoder.layer.12.attention.self.query,1.362,14.346051216125488,14.343201637268066,0.06886661797761917,tikitaka_v2
200,mobilebert.encoder.layer.13.attention.self.query,1.362,14.237258911132812,14.234868049621582,0.06854841113090515,tikitaka_v2
200,mobilebert.encoder.layer.14.attention.self.query,1.362,18.309770584106445,18.304922103881836,0.0693853497505188,tikitaka_v2
200,mobilebert.encoder.layer.15.attention.self.query,1.362,14.351827621459961,14.349346160888672,0.06847979873418808,tikitaka_v2
200,mobilebert.encoder.layer.16.attention.self.query,1.362,14.664873123168945,14.661527633666992,0.06844833493232727,tikitaka_v2
200,mobilebert.encoder.layer.17.attention.self.query,1.362,14.474971771240234,14.471287727355957,0.06855805963277817,tikitaka_v2
200,mobilebert.encoder.layer.18.attention.self.query,1.362,14.292135238647461,14.288588523864746,0.06872602552175522,tikitaka_v2
200,mobilebert.encoder.layer.19.attention.self.query,1.362,14.88750171661377,14.88475513458252,0.06829675287008286,tikitaka_v2
200,mobilebert.encoder.layer.20.attention.self.query,1.362,14.709330558776855,14.704564094543457,0.06937235593795776,tikitaka_v2
200,mobilebert.encoder.layer.21.attention.self.query,1.362,14.754815101623535,14.753031730651855,0.0687151700258255,tikitaka_v2
200,mobilebert.encoder.layer.22.attention.self.query,1.362,15.292455673217773,15.28627872467041,0.06976807117462158,tikitaka_v2
200,mobilebert.encoder.layer.23.attention.self.query,1.362,15.090959548950195,15.08711051940918,0.07080616801977158,tikitaka_v2
