trial,learning_rate,transfer_lr,transfer_every,fast_lr,auto_granularity,in_chop_prob,initial_accuracy,final_accuracy,improvement,initial_loss,final_loss,status
0,0.00023688639503640813,9.546571618971228,138,0.8795975452591109,71.61246859115127,0.04027928764370635,0.4908256880733945,0.6720183486238532,0.18119266055045874,2330253.7155963304,0.5885636461984127,completed
1,0.00011430983876313228,8.768820541129402,115,0.9124217733388136,52.42693862597309,0.14608828078105926,0.4908256880733945,0.6215596330275229,0.13073394495412843,2321166.2087155962,0.6465027594785078,completed
2,0.0006798962421591129,2.7535198182401404,64,0.7550213529560301,100.74238942079324,0.08821833611219093,0.4908256880733945,0.5928899082568807,0.10206422018348621,2324480.892201835,0.6521397030681645,completed
3,0.0002703616066662003,3.479308089821985,116,0.7418481581956126,97.97486029339582,0.06762703962817992,0.4908256880733945,0.6685779816513762,0.17775229357798167,2319809.2912844038,0.6034505607884958,completed
4,0.0002858051065806936,8.023618844815724,65,0.8542703315240835,195.60708142748476,0.026038553653599705,0.4908256880733945,0.6731651376146789,0.1823394495412844,2323962.509174312,0.5934294522355456,completed
5,0.0004050837781329676,2.368821937923082,54,0.984665661176,461.957515981362,0.12509165525513996,0.4908256880733945,,,2333982.5229357798,,pruned
6,0.00020165721691808595,1.6985834488587317,129,0.8320457481218804,66.22290670049674,0.08437299831446513,0.4908256880733945,0.6903669724770642,0.19954128440366975,2324775.598623853,0.5709746124547556,completed
7,0.00010824018381500966,9.165747699124795,71,0.8987566853061946,102.48990260475084,0.08760884275311541,0.4908256880733945,,,2328497.908256881,,pruned
8,0.0003521358805467869,2.5006609908348487,192,0.9325398470083344,434.9796564256658,0.13632755555559434,0.4908256880733945,,,2320460.509174312,,pruned
9,0.00039618677904065835,9.281242962212675,56,0.7587948587257435,55.48777280551548,0.06229294299922436,0.4908256880733945,0.676605504587156,0.18577981651376146,2310463.23853211,0.6791265366274283,completed
10,0.0001761659644379373,0.8551740831935186,175,0.8040552674219865,199.0174856151288,0.10973211956398887,0.4908256880733945,,,2320193.0435779816,,pruned
11,0.0005428782418187628,6.417140699300184,91,0.7022456839718323,51.11418463503441,0.06004657569743622,0.4908256880733945,0.680045871559633,0.18922018348623854,2315140.1353211007,0.6021193337003026,completed
12,0.0008603607388557489,6.257739040534608,85,0.7054119049745973,74.73897540612465,0.060082459969334354,0.4908256880733945,,,2310106.353211009,,pruned
13,0.0005474323664497981,5.5670643241117315,92,0.80370812357448,147.12118802112025,0.10484855602924754,0.4908256880733945,,,2319919.4059633026,,pruned
14,0.00017897625683680634,7.091653428613229,146,0.8028397864798948,70.78487662090423,0.04189340720037443,0.4908256880733945,0.7087155963302753,0.21788990825688076,2312098.151376147,0.578841650704725,completed
15,0.0001700912596626123,4.580135030524987,152,0.8161530629814799,125.87108448316894,0.04073901677989008,0.4908256880733945,0.6892201834862385,0.19839449541284399,2318260.4678899082,0.5859751958365834,completed
16,0.00017599598460070609,7.634743273451659,128,0.8309401914173244,299.69645636488525,0.02471089945558666,0.4908256880733945,0.7511467889908257,0.26032110091743116,2316195.527522936,0.5096420120755467,completed
17,0.00013138890968875328,7.361754560225038,160,0.8617279213948574,305.9129598939809,0.020351526696345,0.4908256880733945,0.7614678899082569,0.2706422018348624,2317220.7729357798,0.5027708673695905,completed
18,0.00013422219114237174,7.8698130591641355,174,0.9588781965559758,312.94780534431396,0.02506626104533506,0.4908256880733945,0.6961009174311926,0.20527522935779813,2317283.002293578,0.5725583630964297,completed
19,0.00014402938661202855,4.636535561293435,120,0.8602292608681011,302.5413312659783,0.02147994164921798,0.4908256880733945,,,2323404.6674311925,,pruned
20,0.00010016234986486655,7.488075716450012,102,0.7775708505571808,311.50765247701287,0.0491856413692069,0.4908256880733945,,,2324446.7064220184,,pruned
21,0.00014666001196968006,6.9613522047427185,151,0.835858652898527,233.884415700814,0.036629561476782854,0.4908256880733945,,,2328171.9655963304,,pruned
22,0.00021486060055371091,8.12198340942087,151,0.7834354467554543,370.9593541876228,0.03276214090437194,0.4908256880733945,0.7006880733944955,0.20986238532110096,2325388.752293578,0.5580537062172496,completed
23,0.00017670225902175393,6.891932947244119,169,0.8796601159315546,278.13021879728626,0.04919342592116969,0.4908256880733945,0.6811926605504587,0.1903669724770642,2313569.1536697247,0.5818396719223863,completed
24,0.00012783279570371457,5.554674765946604,199,0.8677808878123228,234.19217637708107,0.04838542494156573,0.4908256880733945,,,2316091.369266055,,pruned
25,0.00024804249510239774,7.142695422082406,133,0.8338797121998046,164.5593523865159,0.0304942436662523,0.4908256880733945,0.7190366972477065,0.22821100917431197,2311467.9266055045,0.5634339511941332,completed
26,0.00024452208863358094,8.263954379173617,135,0.8335901747788153,164.2988621468478,0.020834962361863628,0.4908256880733945,0.7029816513761468,0.21215596330275227,2326559.387614679,0.5624795692776321,completed
27,0.00030866537087229085,6.021538137927769,104,0.9177682182077361,399.8590907666913,0.03142869254459581,0.4908256880733945,0.7236238532110092,0.2327981651376147,2309851.2844036696,0.5302467395406251,completed
28,0.00034674892375170113,4.490506789527104,107,0.9358192097507103,402.37010948276503,0.07996908746970594,0.4908256880733945,,,2322409.100917431,,pruned
29,0.00021410866926350325,9.976722422024956,78,0.8879930934682071,358.9843209655352,0.07201244450192891,0.4908256880733945,,,2317749.419724771,,pruned
30,0.0004810959090930438,6.243753572619386,107,0.9175484649098242,265.5324425626912,0.03395105572606564,0.4908256880733945,0.7350917431192661,0.24426605504587157,2329488.128440367,0.5336513984093972,completed
31,0.0004517397617527755,6.10189366181012,106,0.9210774792295529,492.5201857930374,0.03362192114500859,0.4908256880733945,,,2314171.5756880734,,pruned
32,0.0005122789592856471,8.765490263818394,123,0.9542555872204648,254.02570761306987,0.04385184512737085,0.4908256880733945,,,2317071.7270642202,,pruned
33,0.0007178441546062642,5.224348969427078,91,0.8899386547367836,381.7850609547042,0.02010058269062941,0.4908256880733945,0.731651376146789,0.2408256880733945,2320347.0711009176,0.545578930356087,completed
34,0.0007245041114409593,5.1139714022120994,91,0.8975393719342891,349.02641916154886,0.026300626870615653,0.4908256880733945,0.6972477064220184,0.2064220183486239,2323021.9403669727,0.5670823908727104,completed
35,0.0006710205443817971,3.581907548925094,82,0.8717250078577182,209.6253797557046,0.02034793664953071,0.4908256880733945,0.7419724770642202,0.2511467889908257,2319005.493119266,0.5332665640279788,completed
36,0.0006012191874106008,3.153966517427669,74,0.8692798671328372,219.49455855814816,0.05305804593959894,0.4908256880733945,,,2323238.1811926607,,pruned
37,0.0009665131062128123,3.7228668154266766,82,0.8470533031321746,270.7947824614537,0.037456894623528914,0.4908256880733945,0.7568807339449541,0.26605504587155965,2322685.419724771,0.5130866153524556,completed
38,0.0009825218661674714,3.7940686619999,78,0.8506107996869637,190.2867945304817,0.026878519388364733,0.4908256880733945,,,2321469.2958715595,,pruned
39,0.0008173564393046549,3.706197980435891,64,0.8523413370518839,211.06075276230908,0.09803135141768018,0.4908256880733945,,,2324595.7362385322,,pruned
40,0.000925131957840512,3.2322754164771488,80,0.8136054639080769,182.78349093907377,0.039222279122530464,0.4908256880733945,0.7098623853211009,0.2190366972477064,2318133.5550458715,2.2371365843562905,completed
41,0.0007963215563141446,4.132980403632283,114,0.8671113869208626,266.32941394914513,0.035757058639524594,0.4908256880733945,,,2326489.5825688075,,pruned
42,0.0006298123680930492,2.1451471116766547,70,0.8991360654516443,285.82423333974106,0.02848544055775076,0.4908256880733945,,,2316019.119266055,,pruned
43,0.0004564170294260186,8.628826240597942,59,0.9073035410878604,251.75616245172182,0.05487034606026611,0.4908256880733945,,,2318589.408256881,,pruned
44,0.00012205666721523719,1.6702978143487566,96,0.8454691987766262,320.42098986080447,0.020891965938276504,0.4908256880733945,,,2326318.8073394494,,pruned
45,0.0006451233876769393,7.74565699614556,83,0.8185620983268531,243.6217325921322,0.1257247557481055,0.4908256880733945,,,2337348.038990826,,pruned
46,0.00040360158140041285,6.519029569571264,97,0.9874206494525901,331.87069360142266,0.1489543404972223,0.4908256880733945,,,2304689.112385321,,pruned
47,0.0001556865784890793,2.940381990046306,142,0.876371639232191,276.8567757328481,0.042727870596648725,0.4908256880733945,,,2321766.9518348626,,pruned
48,0.0007475655996061392,8.418221191199306,113,0.9451708904922941,435.0582320770504,0.07046703208609131,0.4908256880733945,0.7477064220183486,0.2568807339449541,2331156.2866972475,0.5283852088342019,completed
49,0.0007737833077272469,9.421734332530038,124,0.9610179397131848,459.0271633903863,0.06475239868278612,0.4908256880733945,,,2320389.3050458715,,pruned
